_id , 1whsp_name , other_name , BZcat_name , RA , Dec , WISE magnitudes , WISE mag2 , WISE mag3 , NVSS/FIRSTflux density , Redshift , Log(νpeak) , Log(peak flux) , γ-ray counterpart , Blazar type , Fermi γ-ray slope , TEV FOM, LII, BII
1 , "1WHSP J000116.37+293534" , " - " , " -- " , 0.31821 , 29.59297 , 0 , 14.9 , 0 , 4 , 0 , ">17" , ">-12.8" , " -- " , "Candidate blazar" , " -- " , 0.03 , "110.06" , "-32.03"
2 , "1WHSP J000132.74-415525" , "2FGLJ0001.7-4159 " , " -- " , 0.38642 , -41.92364 , 0 , 13.3 , 0 , 13.2 , 0 , 15.8 , -11.7 , "3FGL J0002.2-4152 " , "Candidate blazar" , "2.1+/-0.19" , 0.4 , "334.32" , "-72.04"
3 , "1WHSP J000213.77-103816" , " - " , " -- " , 0.55738 , -10.63778 , 0 , 14.4 , 0 , 1.9 , 0 , 16.6 , -13.1 , " -- " , "Candidate blazar" , " -- " , 0.02 , "85.5" , "-69.85"
4 , "1WHSP J000319.56-524727" , "1RXSJ000320.4-524727" , " -- " , 0.8315 , -52.79094 , 0 , 13.9 , 0 , 65.3 , 0 , "15.4?" , "-12.4?" , "3FGL J0003.2-5246 " , "Candidate blazar" , "1.9+/-0.17" , 0.08 , "318.94" , "-62.82"
5 , "1WHSP J000513.72-261438" , "1WGAJ0005.2-2614 " , " -- " , 1.30717 , -26.24394 , 0 , 14.5 , 0 , 37.4 , 0 , 15.4 , -12.6 , " -- " , "Candidate blazar" , " -- " , 0.05 , "35.22" , "-79.65"
6 , "1WHSP J000835.38-233927" , "1RXSJ000835.4-233917" , "5BZBJ0008-2339 " , 2.14742 , -23.65772 , 0 , 13.4 , 0 , 36.3 , 0.147 , ">17" , ">-11.8" , "3FGL J0008.6-2340 " , "WISE extended" , "1.6+/-0.18" , 0.32 , "50.31" , "-79.73"
7 , "1WHSP J000949.74-431650" , "1RXSJ000950.7-431653" , " -- " , 2.45729 , -43.28058 , 0 , 12.8 , 0 , 51 , " > 0.56" , 15.6 , -12 , " -- " , "New blazar" , " -- " , 0.2 , "327.79" , "-71.79"
8 , "1WHSP J001011.7+334851" , " - " , " -- " , 2.54875 , 33.81433 , 0 , 13.1 , 0 , 17.1 , 0 , 15.2 , -12.1 , " -- " , "Candidate blazar" , " -- " , 0.16 , "113.21" , "-28.28"
9 , "1WHSP J001253.86-162656" , "1RXSJ001254.3-16265 " , " -- " , 3.22442 , -16.44894 , 0 , 14.7 , 0 , 10.1 , 0 , 15.7 , -11.6 , " -- " , "Candidate blazar" , " -- " , 0.5 , "81.07" , "-76.09"
10 , "1WHSP J001356.03-185406" , "SHBLJ001356.6-18540 " , "5BZGJ0013-1854 " , 3.4835 , -18.90181 , 0 , 12.3 , 0 , 29.6 , 0.094 , 17.4 , -11.3 , "3FGL J0013.9-1853 " , "Known blazar " , "1.9+/-0.17" , 1 , "74.63" , "-78.09"
11 , "1WHSP J001411.45-502234" , "BZBJ0014-5022 " , "5BZBJ0014-5022 " , 3.54771 , -50.37636 , 0 , 14.4 , 0 , 15.1 , "0.01?" , 17 , -11.5 , "3FGL J0014.0-5025 " , "Known blazar " , "1.9+/-0.16" , 0.63 , "317.44" , "-65.7"
12 , "1WHSP J001527.96+353639" , "SHBLJ001528.3+35364 " , "5BZBJ0015+3536 " , 3.86654 , 35.611 , 0 , 14 , 0 , 11.2 , " > 0.57" , 16.7 , -12 , " -- " , "Known blazar " , " -- " , 0.2 , "114.75" , "-26.69"
13 , "1WHSP J001827.78+294730" , "SHBLJ001827.8+29473 " , "5BZBJ0018+2947 " , 4.61579 , 29.79189 , 0 , 13.8 , 0 , 33.8 , "0.1?" , 17.1 , -11.4 , "3FGL J0018.4+2947 " , "Known blazar " , "1.9+/-0.21" , 0.79 , "114.44" , "-32.54"
