_id , agile1rcat_name , other_name , RA , Dec , LII , BII , 95percPositionError , NDetect , MeanExposure , OBNum , sqrt(TS) , OBFlux , FluxError , 1AGLFlux , V_McLaugh , Vsys3sig_McLaugh , Vsys2sig_McLaugh , Fsys , Off-Axis_angle , Time , ConfirmedCounterp , PossibleAssociation , 1AGLName , BZCATName , 3EGName , 2FGLName , Classification 
1   , "1AGLR J0007+7307"   ,  "---"   ,  1.765   ,  73.11433   ,  119.67   ,  10.52   ,  0.08   ,  13   ,  256   ,  6720   ,  9.1   ,  3.23   ,  0.45   ,  2.3   ,  0.1   ,  0.05   ,  0.05   ,  6.41   ,  2.4   ,  "2009-01-19"   ,  "PSRJ0007+7303"   ,  "---"   ,  "1AGL J0006+7311"   ,  "BZQJ0019+7327"   ,  "3EGJ0010+7309"   ,  "2FGL J0007.0+7303"   ,  "Radio Pulsar"
2   , "1AGLR J0135+4759"   ,  "S40133+47"   ,  23.75708   ,  47.97767   ,  130.43   ,  -14.26   ,  0.24   ,  10   ,  137   ,  7600   ,  3.7   ,  2.01   ,  0.64   ,  0   ,  0.5   ,  0.44   ,  0.13   ,  5.98   ,  22   ,  "2009-06-25"   ,  "---"   ,  "S40133+47"   ,  "---"   ,  "BZQJ0136+4751"   ,  "---"   ,  "2FGL J0136.9+4751"   ,  "QSO Radio Loud flat radio sp."
3   , "1AGLR J0222+4305"   ,  "3C66A"   ,  35.55083   ,  43.07717   ,  140.05   ,  -16.76   ,  0.21   ,  7   ,  72   ,  6110   ,  4   ,  3.28   ,  1.02   ,  0   ,  0.5   ,  0.44   ,  0.22   ,  4.59   ,  24.4   ,  "2008-08-31"   ,  "---"   ,  "3C66A"   ,  "---"   ,  "BZBJ0222+4302"   ,  "---"   ,  "2FGL J0222.6+4302"   ,  "BL Lac"
4   , "1AGLR J0240+6115"   ,  "---"   ,  40.04417   ,  61.24581   ,  135.63   ,  1.08   ,  0.5   ,  12   ,  201   ,  7700   ,  10.5   ,  10.34   ,  1.11   ,  5.4   ,  2.7   ,  1.54   ,  1.1   ,  18.11   ,  22.4   ,  "2009-07-15"   ,  "LSI+61303"   ,  "---"   ,  "1AGL J0242+6111"   ,  "---"   ,  "3EGJ0241+6103"   ,  "2FGL J0240.5+6113"   ,  "HMXRB"
5   , "1AGLR J0321+4137"   ,  "NGC1275"   ,  50.15583   ,  41.61994   ,  150.65   ,  -13.09   ,  0.41   ,  4   ,  201   ,  7700   ,  3.4   ,  2.5   ,  0.85   ,  0   ,  0.2   ,  0.19   ,  0.14   ,  1.33   ,  41.3   ,  "2009-07-15"   ,  "---"   ,  "NGC1275"   ,  "---"   ,  "BZUJ0319+4130"   ,  "---"   ,  "2FGL J0319.8+4130"   ,  "AGN"
6   , "1AGL J0535+2205"   ,  "---"   ,  83.775   ,  22.09492   ,  184.56   ,  -5.63   ,  0   ,  31   ,  55   ,  4200   ,  27.9   ,  61.66   ,  3.48   ,  22   ,  17.8   ,  3.42   ,  3.42   ,  63.1   ,  21.9   ,  "2007-10-04"   ,  "Crab*"   ,  "---"   ,  "1AGL J0535+2205"   ,  "---"   ,  "3EGJ0534+2200"   ,  "2FGL J0534.5+2201"   ,  "Radio Pulsar"
7   , "1AGLR J0539-4358"   ,  "---"   ,  84.635   ,  -43.97319   ,  249.94   ,  -31.12   ,  0.5   ,  6   ,  50   ,  6210   ,  6   ,  5.65   ,  1.33   ,  4.3   ,  1.1   ,  1.05   ,  1.4   ,  11.64   ,  11.9   ,  "2008-10-10"   ,  "PKS0537-441"   ,  "---"   ,  "1AGL J0538-4424"   ,  "BZBJ0538-4405"   ,  "3EGJ0540-4402"   ,  "2FGL J0538.8-4405"   ,  "BL Lac"
8   , "1AGL J0617+2236"   ,  "---"   ,  94.34083   ,  22.60397   ,  189.04   ,  3.07   ,  0   ,  13   ,  36   ,  5500   ,  5.7   ,  7.91   ,  1.86   ,  6.9   ,  0.3   ,  0.28   ,  0.09   ,  7.75   ,  10.6   ,  "2008-03-30"   ,  "IC443"   ,  "---"   ,  "1AGL J0617+2236"   ,  "---"   ,  "3EGJ0617+2238"   ,  "2FGL J0617.2+2234"   ,  "SNR "
9   , "1AGL J0634+1748"   ,  "---"   ,  98.56625   ,  17.80772   ,  195.14   ,  4.36   ,  0   ,  30   ,  55   ,  4200   ,  28.6   ,  38.14   ,  2.37   ,  32   ,  1.2   ,  0.37   ,  0.37   ,  29.68   ,  9.1   ,  "2007-10-04"   ,  "GEMINGA"   ,  "---"   ,  "1AGL J0634+1748"   ,  "---"   ,  "3EGJ0633+1751"   ,  "2FGL J0633.9+1746"   ,  "Radio Pulsar"
10   , "1AGLR J0713+3324"   ,  "---"   ,  108.18   ,  33.39606   ,  184.26   ,  18.66   ,  0.25   ,  7   ,  55   ,  4200   ,  3.9   ,  3.92   ,  1.24   ,  1.8   ,  0.1   ,  0.05   ,  0.11   ,  3.21   ,  11.9   ,  "2007-10-04"   ,  "---"   ,  "---"   ,  "1AGL J0714+3341"   ,  "BZUJ0719+3307"   ,  "---"   ,  "---"   ,  "Unknown class"
11   , "1AGLR J0723+7121"   ,  "---"   ,  110.66458   ,  71.34572   ,  143.98   ,  28.08   ,  0.12   ,  9   ,  59   ,  2300   ,  8.5   ,  7.91   ,  1.31   ,  6.8   ,  3.2   ,  2.53   ,  2.42   ,  22.67   ,  15.2   ,  "2007-09-04"   ,  "S50716+714"   ,  "---"   ,  "1AGL J0722+7125"   ,  "BZBJ0721+7120"   ,  "3EGJ0721+7120"   ,  "2FGL J0721.9+7120"   ,  "BL Lac"
12   , "1AGL J0835-4509"   ,  "---"   ,  128.80583   ,  -45.1525   ,  263.52   ,  -2.79   ,  0   ,  12   ,  167   ,  5900   ,  61.1   ,  91.15   ,  2.52   ,  78   ,  0.8   ,  0   ,  0   ,  1.87   ,  33.4   ,  "2008-06-30"   ,  "VelaPSR"   ,  "---"   ,  "1AGL J0835-4509"   ,  "---"   ,  "3EGJ0834-4511"   ,  "2FGL J0835.3-4510"   ,  "Radio Pulsar"
13   , "1AGLR J1018-5852"   ,  "---"   ,  154.40333   ,  -58.86025   ,  284.16   ,  -1.71   ,  0.5   ,  7   ,  167   ,  5900   ,  3.6   ,  4.41   ,  1.29   ,  0   ,  -1   ,  -1   ,  0.06   ,  2.47   ,  17.2   ,  "2008-06-30"   ,  "---"   ,  "---"   ,  "---"   ,  "---"   ,  "---"   ,  "2FGL J1019.0-5856"   ,  "Unknown class"
14   , "1AGLR J1022-5751"   ,  "---"   ,  155.38875   ,  -57.84569   ,  284.04   ,  -0.58   ,  0.5   ,  6   ,  75   ,  1000   ,  5   ,  8.17   ,  1.88   ,  0   ,  0.2   ,  0.15   ,  0.42   ,  5.31   ,  6   ,  "2007-07-13"   ,  "---"   ,  "---"   ,  "---"   ,  "---"   ,  "---"   ,  "2FGL J1022.7-5741"   ,  "Unknown class"
15   , "1AGLR J1022-5825"   ,  "---"   ,  155.40583   ,  -58.4225   ,  284.36   ,  -1.06   ,  -0.9   ,  5   ,  137   ,  7800   ,  3.8   ,  9.11   ,  2.28   ,  5.9   ,  0.1   ,  0.08   ,  0.08   ,  1.48   ,  29.7   ,  "2009-08-12"   ,  "---"   ,  "---"   ,  "1AGL J1022-5822"   ,  "---"   ,  "3EGJ1013-5915"   ,  "---"   ,  "Unknown class"
16   , "1AGLR J1044-5944"   ,  "---"   ,  161.10792   ,  -59.73372   ,  287.55   ,  -0.71   ,  0.25   ,  6   ,  75   ,  1000   ,  4.8   ,  6.85   ,  1.65   ,  2.7   ,  1.1   ,  0.95   ,  0.93   ,  8.79   ,  2.5   ,  "2007-07-13"   ,  "EtaCar"   ,  "---"   ,  "1AGL J1044-5936"   ,  "---"   ,  "3EGJ1048-5840"   ,  "2FGL J1045.0-5941"   ,  " CWB"
17   , "1AGLR J1048-5843"   ,  "PSRJ1048-5832"   ,  161.88667   ,  -58.71211   ,  287.43   ,  0.38   ,  0.29   ,  4   ,  59   ,  1400   ,  3.9   ,  7.77   ,  2.29   ,  0   ,  -1   ,  -1   ,  0.63   ,  4.26   ,  13.8   ,  "2007-08-02"   ,  "---"   ,  "PSRJ1048-5832"   ,  "---"   ,  "---"   ,  "---"   ,  "2FGL J1048.2-5831"   ,  "Unknown class"
18   , "1AGL J1058-5239"   ,  "---"   ,  164.62958   ,  -52.66317   ,  286.15   ,  6.49   ,  0   ,  12   ,  126   ,  5300   ,  6.4   ,  5.93   ,  1.15   ,  2.9   ,  0.4   ,  0.26   ,  0.11   ,  7.37   ,  28   ,  "2008-02-14"   ,  "PSRJ1057-5226"   ,  "---"   ,  "1AGL J1058-5239"   ,  "---"   ,  "3EGJ1058-5234"   ,  "2FGL J1057.9-5226"   ,  "Radio Pulsar"
19   , "1AGLR J1105+3818"   ,  "---"   ,  166.19375   ,  38.30017   ,  179.58   ,  65.06   ,  0.35   ,  2   ,  38   ,  5810   ,  3.7   ,  3.98   ,  1.39   ,  4.2   ,  -1   ,  -1   ,  0.53   ,  1.09   ,  19   ,  "2008-06-09"   ,  "Mkn421"   ,  "---"   ,  "1AGL J1104+3754"   ,  "BZUJ1105+3946"   ,  "3EGJ1104+3809"   ,  "2FGL J1104.4+3812"   ,  "BL Lac"
20   , "1AGLR J1107-6115"   ,  "PSRJ1105-6107"   ,  166.63125   ,  -61.25681   ,  290.66   ,  -0.91   ,  -0.9   ,  3   ,  126   ,  5300   ,  3.3   ,  3.68   ,  1.24   ,  3   ,  -1   ,  -1   ,  0.05   ,  0.24   ,  19.9   ,  "2008-02-14"   ,  "---"   ,  "PSRJ1105-6107"   ,  "1AGL J1108-6103"   ,  "---"   ,  "3EGJ1102-6103"   ,  "2FGL J1105.6-6114"   ,  "Unknown class"
21   , "1AGLR J1112-6104"   ,  "PSRJ1112-6103"   ,  168.09167   ,  -61.07258   ,  291.24   ,  -0.47   ,  0.37   ,  6   ,  131   ,  5100   ,  4.3   ,  4.15   ,  1.09   ,  3   ,  0   ,  0.04   ,  0   ,  0.21   ,  4.2   ,  "2008-01-08"   ,  "---"   ,  "PSRJ1112-6103"   ,  "1AGL J1108-6103"   ,  "---"   ,  "3EGJ1102-6103"   ,  "2FGL J1112.1-6040"   ,  "Unknown class"
22   , "1AGL J1228+0142"   ,  "---"   ,  187.24792   ,  1.7115   ,  290.04   ,  64.02   ,  0   ,  2   ,  38   ,  5810   ,  3.2   ,  4.81   ,  1.86   ,  2.4   ,  0.9   ,  0.88   ,  0.88   ,  2.28   ,  27.8   ,  "2008-06-09"   ,  "3C273"   ,  "---"   ,  "1AGL J1228+0142"   ,  "BZQJ1229+0203"   ,  "3EGJ1229+0210"   ,  "2FGL J1229.1+0202"   ,  "QSO Radio Loud flat radio sp."
23   , "1AGL J1238+0406"   ,  "GB6J1239+0443"   ,  189.62917   ,  4.10397   ,  294.74   ,  66.77   ,  0   ,  1   ,  110   ,  5010   ,  4.1   ,  2.54   ,  0.74   ,  2.5   ,  -1   ,  -1   ,  -1   ,  -1   ,  11.2   ,  "2007-12-16"   ,  "---"   ,  "GB6J1239+0443"   ,  "1AGL J1238+0406"   ,  "BZQJ1239+0443"   ,  "3EGJ1236+0457"   ,  "---"   ,  "QSO Radio Loud flat radio sp."
24   , "1AGL J1256-0549"   ,  "---"   ,  194.13833   ,  -5.8285   ,  305.27   ,  57.02   ,  0   ,  3   ,  25   ,  900   ,  10.1   ,  18.5   ,  2.73   ,  6.5   ,  6.4   ,  4.41   ,  4.41   ,  20.32   ,  5   ,  "2007-07-09"   ,  "3C279"   ,  "---"   ,  "1AGL J1256-0549"   ,  "BZBJ1258-0447"   ,  "3EGJ1255-0549"   ,  "2FGL J1256.1-0547"   ,  "QSO Radio Loud flat radio sp."
25   , "1AGLR J1417-6108"   ,  "PSRJ1420-6048"   ,  214.36917   ,  -61.12658   ,  313.13   ,  0.03   ,  0.31   ,  11   ,  167   ,  5900   ,  6.5   ,  9.03   ,  1.54   ,  5.2   ,  0.2   ,  0.14   ,  0.04   ,  4.63   ,  23.6   ,  "2008-06-30"   ,  "---"   ,  "PSRJ1420-6048"   ,  "1AGL J1419-6055"   ,  "---"   ,  "3EGJ1420-6038"   ,  "2FGL J1420.1-6047"   ,  "Unknown class"
