_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1 , "PBC J0002.5+0320" , 0.6425 , 3.33714 , "99.89" , "-57.34" , "(9+/-6)x10-12" , "Sy1 " , 0.026 , " -- " , "NGC 7811 "
2 , "PBC J0004.1+7017" , 1.035 , 70.29772 , "118.93" , "7.79" , "(9+/-5.5)x10-12" , "AG? " , 0.096 , " -- " , "2MASX J0004019"
3 , "PBC J0006.3+2012" , 1.59125 , 20.19944 , "108.77" , "-41.43" , "(14.4+/-7.9)x10-12" , "Sy1 " , 0.025 , " -- " , "Mrk 335 "
4 , "PBC J0009.3-0034" , 2.33792 , -0.57617 , "100.36" , "-61.59" , "(8.2+/-5)x10-12" , "Sy2 " , 0.073 , " -- " , "2MASX J0009115"
5 , "PBC J0009.3-0034" , 2.33792 , -0.57617 , "100.36" , "-61.59" , "(8.2+/-5)x10-12" , "Sy1 " , 0.04 , " -- " , "[VV2003c] J000"
6 , "PBC J0010.4+1059" , 2.60542 , 10.99 , "106.95" , "-50.61" , "(24.6+/-6.6)x10-12" , "BLA " , 0.089 , "BZQ (FSRQ)" , "Mrk 1501 "
7 , "PBC J0014.3-1851" , 3.57833 , -18.85989 , "75.09" , "-78.12" , "(5.8+/-3.6)x10-12" , "BLA " , 0.094 , " -- " , "BZBJ0013-1854 "
8 , "PBC J0018.3+8135" , 4.60542 , 81.58733 , "121.66" , "18.79" , "(9.2+/-5.2)x10-12" , "BLA " , 3.387 , "BZQ (FSRQ)" , "S5 0014+81 "
9 , "PBC J0017.4-8152" , 4.36542 , -81.87031 , "304.39" , "-35.17" , "(4.9+/-3.7)x10-12" , "X " , 0 , " -- " , "1RXS J001928.1"
10 , "PBC J0021.0-1908" , 5.26375 , -19.14517 , "80.19" , "-79.4" , "(11.1+/-6.9)x10-12" , "X " , 0.095 , " -- " , "1RXSJ002108.1-"
11 , "PBC J0023.0+6138" , 5.73292 , 61.65475 , "119.55" , "-1.03" , "(5.3+/-3.1)x10-12" , "CV* " , 0 , " -- " , "IGR J00234+614"
12 , "PBC J0024.9+6407" , 6.29125 , 64.17125 , "120.07" , "1.44" , "(13.5+/-7.2)x10-12" , "SNR " , 0 , " -- " , "TYCHO SNR "
13 , "PBC J0025.6+6823" , 6.39417 , 68.40061 , "120.54" , "5.65" , "(14.3+/-9)x10-12" , "Sy2 " , 0.012 , " -- " , "IGR J00256+682"
14 , "PBC J0025.8-1900" , 6.46958 , -19.00586 , "85.73" , "-79.98" , "(7.6+/-5.5)x10-12" , "X " , 0 , " -- " , "1RXS J002605.4"
15 , "PBC J0025.8-1900" , 6.46958 , -19.00586 , "85.73" , "-79.98" , "(7.6+/-5.5)x10-12" , "Sy1 " , 0.245 , " -- " , "2MASX J0025423"
16 , "PBC J0026.7-5309" , 6.68458 , -53.1625 , "311.26" , "-63.57" , "(9+/-6.2)x10-12" , "X " , 0.063 , " -- " , "1RXS J002640.2"
17 , "PBC J0028.9+5917" , 7.21292 , 59.29625 , "120.04" , "-3.45" , "(68.4+/-3)x10-12" , "DQ* " , 0 , " -- " , "V709 Cas "
18 , "PBC J0029.3+1317" , 7.30292 , 13.26497 , "114.63" , "-49.25" , "(9.7+/-5.8)x10-12" , "Sy1 " , 0.145 , " -- " , "RBS 0068 "
19 , "PBC J0030.5-5902" , 7.64708 , -59.04169 , "307.97" , "-57.89" , "(9.9+/-6.2)x10-12" , " " , 0 , " -- " , "PBC J0030.5-59"
20 , "PBC J0033.2+6130" , 8.43333 , 61.46586 , "120.81" , "-1.34" , "(14.9+/-5.3)x10-12" , "Sy1 " , 0.105 , " -- " , "IGR J00333+612"
21 , "PBC J0034.6-0424" , 8.6525 , -4.40333 , "112.17" , "-66.93" , "(12.2+/-7.7)x10-12" , "G " , 0 , " -- " , "2MASX J0034328"
22 , "PBC J0034.1-7906" , 8.54292 , -79.11303 , "303.96" , "-37.99" , "(4.4+/-2.6)x10-12" , "Sy1 " , 0.074 , " -- " , "2MASX J0034166"
23 , "PBC J0035.8+5951" , 8.95417 , 59.84892 , "120.96" , "-2.97" , "(24.7+/-4)x10-12" , "BLA " , 0 , "BZB (BL Lac)" , "1ES 0033+59.5 "
24 , "PBC J0036.3+4539" , 9.06458 , 45.64011 , "120.15" , "-17.15" , "(10.3+/-6)x10-12" , "Sy1 " , 0.048 , " -- " , "2MASX J0036209"
25 , "PBC J0037.2+6120" , 9.22917 , 61.38431 , "121.19" , "-1.44" , "(16.4+/-5.7)x10-12" , "HXB " , 0 , " -- " , "IGR J00370+612"
