_id , bat60_name , RA , Dec , LII , BII , Flux_15-55keV , Type , Redshift , other_name
1 , "J0004.2+7018 " , 1.05 , 70.3 , "118.93" , "7.79" , "(7.6+/-1.4)x10-12" , "AGN " , 0.096 , " -- "
2 , "J0006.2+2010 " , 1.57083 , 20.168 , "108.74" , "-41.46" , "(10.6+/-1.6)x10-12" , "Sy1 " , 0.025 , " -- "
3 , "J0010.4+1056 " , 2.62167 , 10.947 , "106.95" , "-50.65" , "(18.5+/-1.7)x10-12" , "BLAZAR" , 0.089 , "BZQ (FSRQ)"
4 , "J0018.9+8135 " , 4.73167 , 81.592 , "121.68" , "18.8" , "(9.4+/-1.4)x10-12" , "BLAZAR" , 3.36 , "BZQ (FSRQ)"
5 , "J0021.2-1908 " , 5.3 , -19.15 , "80.31" , "-79.43" , "(9.2+/-1.8)x10-12" , "AGN " , 0.095 , " -- "
6 , "J0025.0+6826 " , 6.26375 , 68.436 , "120.5" , "5.69" , "(7.8+/-1.4)x10-12" , "Sy2 " , 0.012 , " -- "
7 , "J0033.4+6125 " , 8.35083 , 61.431 , "120.77" , "-1.37" , "(10.1+/-1.4)x10-12" , "AGN " , 0.105 , " -- "
8 , "J0034.6-0423 " , 8.65083 , -4.4 , "112.17" , "-66.92" , "(9.2+/-1.8)x10-12" , "AGN " , 0 , " -- "
9 , "J0035.8+5951 " , 8.965 , 59.852 , "120.97" , "-2.96" , "(20.5+/-1.4)x10-12" , "BLAZAR" , 0.086 , "BZB (BL Lac)"
10 , "J0038.5+2336 " , 9.64792 , 23.6 , "119.13" , "-39.18" , "(10.1+/-1.6)x10-12" , "AGN " , 0.024 , " -- "
11 , "J0042.8-2332 " , 10.70083 , -23.548 , "93.88" , "-85.93" , "(25.2+/-1.7)x10-12" , "Sy2 " , 0.022 , " -- "
12 , "J0048.7+3157 " , 12.19 , 31.964 , "122.27" , "-30.91" , "(83.1+/-1.6)x10-12" , "Sy2 " , 0.015 , "BZU (uncertain type)"
13 , "J0051.9+1725 " , 12.99875 , 17.427 , "123.12" , "-45.45" , "(18.5+/-1.7)x10-12" , "Sy1 " , 0.064 , " -- "
14 , "J0059.9+3150 " , 14.98292 , 31.844 , "125.03" , "-31" , "(15.7+/-1.6)x10-12" , "Sy1 " , 0.015 , " -- "
15 , "J0100.8-4747 " , 15.2 , -47.8 , "298.49" , "-69.25" , "(7.1+/-1.4)x10-12" , "AGN " , 0.048 , " -- "
