_id , RA  , Dec  , CounterpartRA , CounterpartDEC , LII , BII , bat70_name , Type , other_name , SNR , Flux15-195KeV, Flux_low , Flux_high , Redshift , lum , Error radius, Chi^2 , Gamma , Gamma_low , Gamma_high
1 , 0.66417 , 3.33247 , 0.6103 , 3.3519 , "99.92" , "-57.35" , "SWIFT J0002.5+03" , "Sy1.5" , " " , 5.1 , 11.69 , 7.36 , 16.64 , 0.026 , 43.24 , 5.5 , 0.5 , 1.82 , 1.31 , 2.39
2 , 0.86167 , 27.67589 , 0.8643 , 27.6548 , "110.1" , "-34" , "SWIFT J0003.3+27" , "Galaxy" , " " , 5 , 13 , 8.76 , 17.7 , -1 , -9.9 , 5.57 , 1 , 1.66 , 1.25 , 2.12
3 , 1.01083 , 70.32742 , 1.008167 , 70.321747 , "118.93" , "7.82" , "SWIFT J0005.0+70" , "Sy2" , "IGR J00040+702" , 7.2 , 12.67 , 9.38 , 16.33 , 0.096 , 44.469 , 3.9 , 0.7 , 2.19 , 1.83 , 2.61
4 , 1.57958 , 20.17758 , 1.5813 , 20.2029 , "108.75" , "-41.45" , "SWIFT J0006.2+20" , "Sy1.2" , " " , 10 , 18.43 , 14.79 , 22.42 , 0.026 , 43.446 , 2.81 , 0.3 , 2.32 , 2.03 , 2.65
5 , 2.31583 , -0.57458 , 2.298239 , -0.615202 , "100.32" , "-61.58" , "SWIFT J0009.4-00" , "Sy2" , " " , 5 , 9.26 , 5.31 , 13.99 , 0.073 , 44.084 , 5.62 , 0.4 , 2.14 , 1.52 , 2.97
6 , 2.61167 , 10.95286 , 2.6292 , 10.9749 , "106.94" , "-50.65" , "SWIFT J0010.5+10" , "Sy1.2" , " " , 13.4 , 31.37 , 26.89 , 36.08 , 0.089 , 44.796 , 2.12 , 0.9 , 1.87 , 1.68 , 2.07
7 , 4.26792 , 81.56719 , 4.285312 , 81.585594 , "121.6" , "18.78" , "SWIFT J0017.1+81" , "QSO/FSRQ" , " " , 6.6 , 10.12 , 7.16 , 13.58 , 3.366 , 48.014 , 4.26 , 1.6 , 2.53 , 2.04 , 3.14
8 , 5.305 , -19.15089 , 5.2814 , -19.1682 , "80.33" , "-79.43" , "SWIFT J0021.2-19" , "Sy2" , "PKS 0018-19" , 8.5 , 17.28 , 13.33 , 21.64 , 0.096 , 44.6 , 3.29 , 0.8 , 2.06 , 1.76 , 2.41
9 , 5.80083 , 61.69583 , 5.7 , 61.66 , "119.59" , "-1" , "SWIFT J0023.2+61" , "CV" , " " , 6.2 , 8.43 , 6.23 , 11 , 0 , -9.9 , 4.52 , 1.7 , 3.04 , 2.54 , 3.68
10 , 6.3 , 64.1685 , 6.284 , 64.165001 , "120.07" , "1.44" , "SWIFT J0025.2+64" , "SNR" , " " , 9.7 , 12.41 , 10.19 , 14.97 , 0 , -9.9 , 2.91 , 2.5 , 3.39 , 2.94 , 3.95
