_id , blazars_name , other_name , RA , Dec , LII , BII , Redshift , Vmag , Radio_flux_5GHz , Survey , Classification
1   , "1ES 0033+595"   , "---" ,  8.9696   ,  59.8344   ,  "120.97"   ,  "-2.98"   ,  0   ,  19.5   ,  66   ,  "Slew"   ,  "BL Lac"
2   , "PKS 0048-097"   , "---" ,  12.6721   ,  -9.4847   ,  "122.32"   ,  "-72.36"   ,  0   ,  16.27   ,  1980   ,  "1 Jy"   ,  "BL Lac"
3   , "1ES 0120+340"   , "---" ,  20.7862   ,  34.3469   ,  "130.34"   ,  "-28.07"   ,  0.272   ,  15.19   ,  33.6   ,  "Slew"   ,  "BL Lac"
4   , "1ES 0145+138 "   , "---" ,  27.1238   ,  14.0383   ,  "143.27"   ,  "-46.57"   ,  0.125   ,  17.9   ,  5.7   ,  "Slew"   ,  "BL Lac"
5   , "MS 0158.5+0019 "   , "---" ,  30.2758   ,  0.5667   ,  "156.92"   ,  "-57.64"   ,  0.299   ,  17.96   ,  11.3   ,  "EMSS"   ,  "BL Lac"
6   , "3C 66A "   , "---" ,  35.665   ,  43.0356   ,  "140.14"   ,  "-16.77"   ,  0.444   ,  15.5   ,  806   ,  "Slew "   ,  "BL Lac"
7   , "AO 0235+164 "   , "---" ,  39.6617   ,  16.6164   ,  "156.76"   ,  "-39.11"   ,  0.94   ,  17.04   ,  2850   ,  "1 Jy "   ,  "BL Lac"
8   , "MS 0317.0+1834 "   , "---" ,  49.9663   ,  18.7594   ,  "165.1"   ,  "-31.7"   ,  0.19   ,  18.12   ,  17   ,  "EMSS"   ,  "BL Lac"
9   , "1H 0323+022 "   , "---" ,  51.5579   ,  2.4208   ,  "180.74"   ,  "-42.44"   ,  0.147   ,  17.4   ,  42   ,  "HEAO-1"   ,  "BL Lac"
10   , "1ES 0347-121 "   , "---" ,  57.3467   ,  -11.9908   ,  "201.92"   ,  "-45.71"   ,  0.188   ,  18.2   ,  9   ,  "Slew "   ,  "BL Lac"
11   , "1H 0414+009 "   , "---" ,  64.2183   ,  1.09   ,  "191.81"   ,  "-33.16"   ,  0.287   ,  17.5   ,  70   ,  "HEAO-1"   ,  "BL Lac"
12   , "1ES 0502+675 "   , "---" ,  76.9842   ,  67.6233   ,  "143.79"   ,  "15.89"   ,  0.314   ,  17   ,  32.7   ,  "Slew "   ,  "BL Lac"
