_id , bzcat4_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4GHz, Flux density143GHz , X-ray flux0.1-2.4 keV , Commenton_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100GeV, Fermi_slope , aro-aox-arx, other_name
1 , "BZBJ0002-0024 " , 0.73825 , -0.41314 , "97.39" , "-60.86" , "0.523 " , 19.7 , "BL Lac" , 178 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.758 , "PKS0000-006 "
2 , "BZQJ0003+2129 " , 0.83063 , 21.49569 , "108.26" , "-40.01" , "0.45 " , 19.7 , "QSO RLoud flat radio sp." , 83 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.735 , "GB6B0000+2113 "
3 , "BZQJ0004+4615 " , 1.06721 , 46.255 , "114.48" , "-15.84" , "1.81 " , 20.4 , "QSO RLoud flat radio sp." , 120 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.735 , "3EGJ0004+4615 "
4 , "BZQJ0004+2019 " , 1.149 , 20.32842 , "108.27" , "-41.21" , "0.677 " , 20.2 , "QSO RLoud flat radio sp." , 55 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.718 , "BZQJ0004+2019 "
5 , "BZQJ0004-4736 " , 1.14867 , -47.60517 , "323.94" , "-67.57" , "0.88 " , 15.9 , "QSO RLoud flat radio sp." , 909 , 0 , 0.85 , ". " , ". " , "s " , 9.2e-10 , 2.45 , 0.58 , "PKS 0002-478 "
6 , "BZQJ0005+0524 " , 1.33425 , 5.40297 , "102.31" , "-55.62" , "1.9 " , 16.3 , "QSO RLoud flat radio sp." , 127 , 0 , 0.26 , ". " , ". " , ". " , 0 , 0 , 0.44 , "UM 18 "
7 , "BZQJ0005+3820 " , 1.48825 , 38.33753 , "113.21" , "-23.68" , "0.229 " , 17.6 , "QSO RLoud flat radio sp." , 572 , 684.7 , 0.75 , ". " , ". " , ". " , 8.97e-10 , 2.6 , 0.638 , "S40003+380 "
8 , "BZQJ0006-0623 " , 1.55788 , -6.39314 , "93.5" , "-66.65" , "0.347 " , 17.8 , "QSO RLoud flat radio sp." , 2051 , 1029.9 , 0.82 , ". " , ". " , ". " , 0 , 0 , -9.9 , "PKS0003-066 "
9 , "BZBJ0006+1051 " , 1.5845 , 10.86433 , "105.37" , "-50.47" , "0.168 " , 14.6 , "BL Lac Candidate" , 12 , 0 , 1.72 , ". " , "g " , ". " , 0 , 0 , 0.033 , "1RXS J000620.3+1"
10 , "BZQJ0006+2422 " , 1.70329 , 24.37681 , "110.11" , "-37.39" , "1.684 " , 18.7 , "QSO RLoud flat radio sp." , 184 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.652 , "CRATESJ000649+24"
11 , "BZBJ0007+4712 " , 1.99988 , 47.20217 , "115.31" , "-15.03" , "0.28 " , 18.2 , "BL Lac" , 60 , 0 , 0.53 , ". " , ". " , ". " , 1.45e-9 , 2.1 , 0.505 , "RXJ00079+4712 "
12 , "BZQJ0008-2339 " , 2.00154 , -23.65503 , "50.04" , "-79.6" , "1.412 " , 15.8 , "QSO RLoud flat radio sp." , 375 , 0 , 0 , ". " , ". " , ". " , 5.74e-10 , 1.62 , -9.9 , "PKS 0005-239 "
13 , "BZBJ0008-2339 " , 2.14746 , -23.65783 , "50.31" , "-79.73" , "0.147 " , 16.8 , "BL Lac Candidate" , 36 , 0 , 2.42 , ". " , ". " , ". " , 5.74e-10 , 1.62 , 0.308 , "1RXS J000835.4-2"
14 , "BZQJ0008-4619 " , 2.15642 , -46.328 , "323.91" , "-69.02" , "1.85 " , 16.6 , "QSO RLoud flat radio sp." , 109 , 0 , 0 , ". " , ". " , "s " , 0 , 0 , 0.373 , "C16.07 "
15 , "BZBJ0009+0628 " , 2.26638 , 6.47256 , "104.42" , "-54.87" , "0 " , 19.1 , "BL Lac Candidate" , 247 , 0 , 0.55 , ". " , ". " , ". " , 3.47e-10 , 2.4 , 0.675 , "1RXS J000904.4+0"
16 , "BZBJ0009+0625 " , 2.32104 , 6.43186 , "104.49" , "-54.93" , "0 " , 19 , "BL Lac Candidate" , 180 , 0 , 0 , ". " , ". " , ". " , 3.47e-10 , 2.4 , 0.624 , "CRATESJ000917+06"
17 , "BZQJ0010+2047 " , 2.61975 , 20.79714 , "110.2" , "-41.06" , "0.6 " , 18.4 , "QSO RLoud flat radio sp." , 159 , 0 , 0.51 , ". " , ". " , ". " , 0 , 0 , 0.601 , "1RXS J001029.4+2"
18 , "BZQJ0010+1058 " , 2.62921 , 10.97486 , "106.98" , "-50.63" , "0.089 " , 13.9 , "QSO RLoud flat radio sp." , 98 , 1404.2 , 6.14 , ". " , "g " , ". " , 0 , 0 , 0.316 , "III ZW 2 "
19 , "BZQJ0010+1724 " , 2.64158 , 17.40519 , "109.23" , "-44.38" , "1.601 " , 16.9 , "QSO RLoud flat radio sp." , 918 , 0 , 0.65 , ". " , ". " , ". " , 0 , 0 , 0.652 , "PKS 0008+171 "
20 , "BZQJ0010-3027 " , 2.64867 , -30.46275 , "10.09" , "-80.46" , "1.19 " , 18.8 , "QSO RLoud flat radio sp." , 315 , 0 , 0.17 , ". " , ". " , ". " , 0 , 0 , 0.761 , "PKS0008-307 "
21 , "BZQJ0011-2612 " , 2.75521 , -26.20928 , "36.46" , "-80.93" , "1.096 " , 18.8 , "QSO RLoud flat radio sp." , 210 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.765 , "PKS 0008-264 "
22 , "BZQJ0011-3620 " , 2.81133 , -36.34428 , "343.22" , "-77.45" , "2.324 " , 21.3 , "QSO RLoud flat radio sp." , 66 , 0 , 0.02 , ". " , ". " , ". " , 0 , 0 , 0.785 , "1WGA J0011.2-362"
23 , "BZQJ0011+0057 " , 2.87667 , 0.96439 , "102.44" , "-60.31" , "1.492 " , 20.1 , "QSO RLoud flat radio sp." , 167 , 0 , 0.28 , ". " , ". " , ". " , 4.63e-10 , 2.43 , 0.754 , "1RXS J001129.6+0"
24 , "BZUJ0012-1628 " , 3.14092 , -16.46847 , "80.76" , "-76.05" , "0.151 " , 15 , "Blazar Uncertain type" , 94 , 0 , 0.9 , ". " , "g " , ". " , 0 , 0 , 0.234 , "1RXS J001234.8-1"
25 , "BZQJ0012+3353 " , 3.19742 , 33.89403 , "113.82" , "-28.3" , "1.682 " , 19.6 , "QSO RLoud flat radio sp." , 81 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.647 , "GC0010+33 "
26 , "BZBJ0012-3954 " , 3.24962 , -39.90725 , "332.46" , "-74.95" , "0 " , 18.9 , "BL Lac Candidate" , 494 , 394.7 , 0 , ". " , ". " , ". " , 4.73e-10 , 2.16 , 0.843 , "PKS0010-401 "
27 , "BZQJ0013-1513 " , 3.33629 , -15.22997 , "84.35" , "-75.17" , "1.838 " , 19.2 , "QSO RLoud flat radio sp." , 117 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , -9.9 , "CGRaBSJ0013-1513"
