_id , bzcat5_name , other_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux_density_1.4/0.843GHz , Flux_density143GHz , X-ray flux0.1-2.4keV , Comment_on_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100 GeV, aro-aox-arx
1 , "5BZQJ0000-3221 " , "PKS 2357-326 " , 0.08496 , -32.35028 , "4.64" , "-77.76" , "1.275 " , 18.2 , "QSO RLoud flat radio sp." , 521 , 0 , 0.05 , ". " , " " , " " , 0 , 0.707
2 , "5BZQJ0001-1551 " , "PKS 2358-161 " , 0.27208 , -15.85194 , "74.36" , "-73.77" , "2.044 " , 18.1 , "QSO RLoud flat radio sp." , 348 , 0 , 0 , ". " , " " , " " , 0 , 0.661
3 , "5BZQJ0001+1914 " , "TEX 2358+189 " , 0.28592 , 19.24283 , "106.86" , "-42.06" , "3.1 " , 21.6 , "QSO RLoud flat radio sp." , 265 , 0 , 0 , ". " , " " , " " , 0 , 0.917
4 , "5BZBJ0001-0746 " , "CRATESJ000117-07" , 0.32504 , -7.77408 , "89.08" , "-67.29" , "0 " , 17.9 , "BL Lac" , 208 , 0 , 0.35 , ". " , " " , " " , 5e-10 , 0.553
5 , "5BZBJ0001-0011 " , "SDSSJ00013-0011 " , 0.33954 , -0.19442 , "96.81" , "-60.5" , "0.462 ? " , 19.6 , "BL Lac" , 111 , 0 , 0 , " ? " , " " , " " , 0 , 0.706
6 , "5BZGJ0001-1031 " , "SDSSJ00019-1031 " , 0.48858 , -10.52147 , "85.52" , "-69.72" , "0.252 " , 17.8 , "BL Lac-galaxy dominated" , 41 , 0 , 0 , ". " , " " , " " , 0 , 0.393
7 , "5BZBJ0002-0024 " , "PKS0000-006 " , 0.73817 , -0.41308 , "97.39" , "-60.86" , "0.523 " , 19.7 , "BL Lac" , 178 , 0 , 0 , ". " , " " , " " , 0 , 0.757
8 , "5BZQJ0003+2129 " , "GB6J0003+2129 " , 0.83058 , 21.49572 , "108.26" , "-40.01" , "0.45 " , 20.1 , "QSO RLoud flat radio sp." , 83 , 0 , 0 , ". " , " " , " " , 0 , 0.767
9 , "5BZBJ0004-1148 " , "CGRaBSJ0004-1148" , 1.02033 , -11.81611 , "84.66" , "-71.08" , "0 " , 18.8 , "BL Lac" , 459 , 308 , 0 , ". " , " " , " " , 0 , 0.797
10 , "5BZQJ0004+4615 " , "3EGJ0004+4615 " , 1.06738 , 46.25506 , "114.48" , "-15.84" , "1.81 " , 20.4 , "QSO RLoud flat radio sp." , 120 , 0 , 0 , ". " , " " , " " , 0 , 0.735
11 , "5BZQJ0004-4736 " , "PKS 0002-478 " , 1.1485 , -47.60542 , "323.94" , "-67.57" , "0.884 " , 15.9 , "QSO RLoud flat radio sp." , 909 , 0 , 0.85 , ". " , " " , " " , 9e-10 , 0.564
12 , "5BZQJ0004+2019 " , "CRATESJ000435+20" , 1.14896 , 20.3285 , "108.27" , "-41.21" , "0.677 " , 21.6 , "QSO RLoud flat radio sp." , 55 , 0 , 0 , ". " , " " , " " , 0 , 0.834
