_id ,egcat3_name , RA, Dec, Sp.index , Err.Sp.index , other_name , other_name1 , other_name2, LII, BII
1 , "3EG J0010+7309 " , 2.56 , 73.17 , 1.85 , 0.1 , "2EG J0008+7307" , "GEV J0008+7304" , "SNR CTA 1? " , "119.91" , "10.54"
2 , "3EG J0038-0949 " , 9.74 , -9.82 , 2.7 , 0.44 , " -------- " , " -------- " , " -------- " , "112.69" , "-72.45"
3 , "3EG J0118+0248 " , 19.6 , 2.81 , 2.63 , 0.66 , "2EG J0119+0312" , "0119+041? " , " -------- " , "136.23" , "-59.37"
4 , "3EG J0130-1758 " , 22.7 , -17.97 , 2.5 , 0.29 , "2EG J0129-1748" , "0130-171? " , " -------- " , "169.7" , "-77.11"
5 , "3EG J0159-3603 " , 29.84 , -36.06 , 2.89 , 0.51 , "2EG J0159-3557" , " -------- " , " -------- " , "248.89" , "-73.05"
6 , "3EG J0204+1458 " , 31.11 , 14.97 , 2.23 , 0.28 , "2EG J0204+1512" , "0202+149 " , "4C+15.05 " , "147.95" , "-44.33"
7 , "3EG J0210-5055 " , 32.58 , -50.93 , 1.99 , 0.05 , "2EG J0210-5051" , "GEV J0210-5053" , "0208-512 " , "276.09" , "-61.9"
8 , "3EG J0215+1123 " , 34 , 11.38 , 2.03 , 0.62 , "2EG J0216+1107" , " -------- " , " -------- " , "153.75" , "-46.37"
9 , "3EG J0222+4253 " , 35.7 , 42.9 , 2.01 , 0.14 , "2EG J0220+4228" , "GEV J0223+4254" , "0219+428 " , "140.21" , "-16.89"
10 , "3EG J0229+6151 " , 37.32 , 61.86 , 2.29 , 0.18 , " -------- " , " -------- " , " -------- " , "134.19" , "1.14"
11 , "3EG J0237+1635 " , 39.36 , 16.59 , 1.85 , 0.12 , "2EG J0238+1657" , "GEV J0237+1648" , "0235+164 " , "156.46" , "-39.28"
12 , "3EG J0239+2815 " , 39.99 , 28.26 , 2.53 , 0.22 , "2EG J0239+2818" , "0234+285? " , "(4C+28.07) " , "150.21" , "-28.8"
13 , "3EG J0241+6103 " , 40.41 , 61.07 , 2.21 , 0.07 , "2EG J0241+6118" , "GEV J0241+6102" , "LSI +61 303? " , "135.86" , "0.99"
14 , "3EG J0245+1758 " , 41.36 , 17.97 , 2.61 , 0.44 , " -------- " , " -------- " , " -------- " , "157.62" , "-37.11"
15 , "3EG J0253-0345 " , 43.49 , -3.76 , 0 , 0 , " -------- " , " -------- " , " -------- " , "179.69" , "-52.57"
16 , "3EG J0323+5122 " , 50.9 , 51.37 , 2.38 , 0.41 , "2EG J0323+5126" , " -------- " , " -------- " , "145.63" , "-4.67"
17 , "3EG J0329+2149 " , 52.41 , 21.82 , 2.61 , 0.33 , " -------- " , " -------- " , " -------- " , "164.9" , "-27.88"
18 , "3EG J0340-0201 " , 55.04 , -2.02 , 1.84 , 0.25 , "0336-019 " , "CTA 026 " , " -------- " , "188.39" , "-42.47"
19 , "3EG J0348+3510 " , 57.03 , 35.18 , 2.16 , 0.27 , " -------- " , " -------- " , " -------- " , "159.06" , "-15.02"
20 , "3EG J0348-5708 " , 57.12 , -57.14 , 0 , 0 , " -------- " , " -------- " , " -------- " , "269.35" , "-46.8"
21 , "3EG J0404+0700 " , 61.15 , 7 , 2.65 , 0.26 , " -------- " , " -------- " , " -------- " , "183.99" , "-32.16"
22 , "3EG J0407+1710 " , 61.82 , 17.18 , 2.93 , 0.37 , "2EG J0406+1704" , " -------- " , " -------- " , "175.63" , "-25.07"
23 , "3EG J0412-1853 " , 63.14 , -18.88 , 3.25 , 0.68 , "0414-189 " , " -------- " , " -------- " , "213.89" , "-43.29"
24 , "3EG J0416+3650 " , 64.04 , 36.84 , 2.59 , 0.32 , "0415+379? " , "(3C 111) " , " -------- " , "162.21" , "-9.97"
25 , "3EG J0422-0102 " , 65.65 , -1.04 , 2.44 , 0.19 , "2EG J0423-0058" , "0420-014 " , " -------- " , "194.87" , "-33.12"
26 , "3EG J0423+1707 " , 65.92 , 17.13 , 2.43 , 0.21 , "2EGS J0426+163" , " -------- " , " -------- " , "178.47" , "-22.14"
27 , "3EG J0426+1333 " , 66.67 , 13.56 , 2.17 , 0.25 , "2EG J0422+1414" , " -------- " , " -------- " , "181.98" , "-23.83"
