_id , ercsc143_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC143 G117.61+02.31"    ,, 0.3475 , 64.67278 , 117.61 , 2.31953 , "2047+/-121" , "502.13+/-64" , "1594.3+/-70.07" , "3697.9+/-806.9" , 0.681 , 0 , 1 , 4 , "0.958+/-0.056"
2 , "PLCKERC143 G117.43+01.08"    ,, 0.49583 , 63.42611 , 117.43445 , 1.08352 , "641.6+/-67" , "327.24+/-59.3" , "619.2+/-39.63" , "653.2+/-200.1" , 0.681 , 1 , 1 , 3 , "0.962+/-0.064"
3 , "PLCKERC143 G084.63-71.06"    ,, 1.00625 , -11.81222 , 84.63685 , -71.06884 , "365+/-65" , "316.13+/-48.6" , "427+/-32.23" , "303.8+/-316.3" , 0.669 , 0 , 1 , 2 , "0.952+/-0.043"
4 , "PLCKERC143 G118.63+06.13"    ,, 1.08167 , 68.61611 , 118.6392 , 6.13794 , "3682.2+/-118" , "1564.71+/-64" , "3036.8+/-65.19" , "4512.9+/-103.49" , 0.681 , 0 , 0 , 4 , "0.988+/-0.045"
5 , "PLCKERC143 G312.83-55.22"    ,, 1.18333 , -60.99306 , 312.83999 , -55.22759 , "407.4+/-54" , "216.39+/-42.4" , "286.2+/-33.39" , "863.2+/-202.69" , 0.681 , 2 , 1 , 3 , "0.969+/-0.076"
6 , "PLCKERC143 G113.22-23.66"    ,, 1.50375 , 38.34417 , 113.22496 , -23.66988 , "684.7+/-42" , "602.51+/-51.7" , "709.2+/-35.17" , "774.7+/-88.01" , 0.669 , 0 , 0 , 1 , "0.996+/-0.046"
7 , "PLCKERC143 G093.54-66.65"    ,, 1.57167 , -6.39028 , 93.5403 , -66.65024 , "1029.9+/-70" , "1043.53+/-48.9" , "1046.6+/-31.21" , "1002+/-69.16" , 0.681 , 0 , 0 , 2 , "0.998+/-0.045"
8 , "PLCKERC143 G118.28+02.51"    ,, 1.81583 , 64.98194 , 118.28089 , 2.51006 , "626.6+/-79" , "362.28+/-67.1" , "604.3+/-31.59" , "1359.1+/-102.09" , 0.681 , 2 , 1 , 4 , "0.972+/-0.091"
9 , "PLCKERC143 G106.96-50.63"    ,, 2.62167 , 10.96472 , 106.9643 , -50.63291 , "1404.2+/-52" , "1423.34+/-49.2" , "1415.3+/-34.1" , "1389.6+/-76.07" , 0.681 , 0 , 0 , 2 , "0.999+/-0.045"
10 , "PLCKERC143 G116.62-10.54"   ,, 2.78958 , 51.83222 , 116.62201 , -10.54531 , "578+/-77" , "352.33+/-50.5" , "598.9+/-34.28" , "983.1+/-134.69" , 0.669 , 1 , 0 , 2 , "0.965+/-0.044"
