_id , ercsc_857_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC857 G104.21-47.89"    ,, 0.09375 , 13.11306 , 104.2114 , -47.89402 , "3427.1+/-480" , "1.22e+4+/-272.9" , "2701.4+/-351" , "4.3e+4+/-1.37e+4" , 0.462 , 0 , 1 , 1 , "0.878+/-0.043"
2 , "PLCKERC857 G304.22-31.96"    ,, 0.1 , -85.03472 , 304.22293 , -31.96473 , "9421.9+/-886" , "1.56e+4+/-153.2" , "6735.5+/-630.84" , "2.3e+4+/-1357.37" , 0.422 , 0 , 1 , 3 , "0.887+/-0.043"
3 , "PLCKERC857 G112.57-21.29"    ,, 0.12167 , 40.55333 , 112.57409 , -21.29137 , "1.5e+4+/-2074" , "2.19e+4+/-138.5" , "1.0e+4+/-954.24" , "3.6e+4+/-3554.11" , 0.422 , 0 , 1 , 1 , "0.985+/-0.045"
4 , "PLCKERC857 G116.67-02.21"    ,, 0.27 , 60.04694 , 116.67958 , -2.21203 , "6.0e+4+/-1e+4" , "8.73e+4+/-1250.9" , "4.4e+4+/-4879.62" , "1.9e+5+/-1.30e+4" , 0.422 , 0 , 1 , 2 , "0.834+/-0.042"
5 , "PLCKERC857 G114.64-12.33"    ,, 0.27667 , 49.72139 , 114.64288 , -12.3385 , "6216.1+/-765" , "1.50e+4+/-439.9" , "4761.1+/-452.42" , "3.3e+4+/-5627.22" , 0.462 , 0 , 1 , 1 , "0.844+/-0.041"
6 , "PLCKERC857 G118.15+05.14"    ,, 0.3075 , 67.54833 , 118.15177 , 5.1438 , "5.9e+5+/-7e+4" , "1.11e+6+/-2473.3" , "4.2e+5+/-3.78e+4" , "1.7e+6+/-1.89e+5" , 0.422 , 0 , 1 , 2 , "1+/-0.047"
7 , "PLCKERC857 G105.91-44.68"    ,, 0.32708 , 16.52083 , 105.91732 , -44.68835 , "3708.7+/-411" , "3332.82+/-122.2" , "2789+/-225.82" , "4409+/-692.82" , 0.305 , 0 , 0 , 2 , "0.853+/-0.043"
8 , "PLCKERC857 G117.60+02.31"    ,, 0.33917 , 64.66778 , 117.60543 , 2.31524 , "1.5e+5+/-9350" , "2.03e+5+/-1812.9" , "1.4e+5+/-7182.29" , "2.2e+5+/-1.56e+4" , 0.422 , 0 , 0 , 1 , "0.889+/-0.043"
9 , "PLCKERC857 G114.44-13.56"    ,, 0.36458 , 48.48 , 114.44807 , -13.56666 , "3.0e+4+/-2805" , "4.17e+4+/-279.1" , "2.3e+4+/-2143.29" , "6.8e+4+/-9411.62" , 0.422 , 0 , 1 , 1 , "1+/-0.047"
10 , "PLCKERC857 G114.42-13.94"   ,, 0.44917 , 48.10194 , 114.428 , -13.94829 , "4.2e+4+/-3025" , "5.42e+4+/-267" , "3.4e+4+/-1510.28" , "5.3e+4+/-3709.66" , 0.422 , 0 , 0 , 1 , "0.999+/-0.047"
