_id , fava_name,RA,Dec,LII, BII ,Flares , HE_Flares , Neg_Flares , LAT_Assoc , Assoc , Atel  , src,other_name
1 , J0019-05 , 4.77 , -5.35 , 102.01 , -66.9 , 1 , 0 , 0 , 2FGL_J0017.6-0510 , PMN_J0017-0512 , 0 , 183,
2 , J0029-55 , 7.28 , -55.05 , 309.69 , -61.79 , 1 , 0 , 0 , 2FGL_J0032.7-5521 , none , 0 , 201,
3 , J0031-02 , 7.85 , -2.3 , 111.14 , -64.72 , 1 , 1 , 0 , none , none , 0 , 170,
4 , J0104+58 , 16.04 , 58.34 , 124.6 , -4.49 , 7 , 5 , 0 , 2FGL_J0102.7+5827 , TXS_0059+581 , 0 , 161,
5 , J0112+61 , 18.12 , 61.26997 , 125.45 , -1.5 , 7 , 3 , 0 , 2FGL_J0109.9+6132 , TXS_0106+612 , 0 , 87,
6 , J0112+23 , 18.03 , 23.04 , 129.1 , -39.59 , 1 , 1 , 0 , 2FGL_J0112.1+2245 , S2_0109+22 , 0 , 97,
7 , J0113+32 , 18.41 , 32.2 , 128.37 , -30.44 , 4 , 2 , 0 , 2FGL_J0112.8+3208 , 4C_31.03 , 0 , 49,
8 , J0115-11 , 18.94 , -11.54 , 144.22 , -73.4 , 5 , 5 , 0 , 2FGL_J0116.0-1134 , PKS_0113-118 , 0 , 69,
9 , J0139+47 , 24.81 , 47.51 , 131.24 , -14.59 , 1 , 0 , 0 , 2FGL_J0136.9+4751 , OC_457 , 0 , 193,
10 , J0203+30 , 30.87 , 30.37 , 140.86 , -29.98 , 5 , 5 , 0 , none , none , 0 , 133,
11 , J0203+15 , 30.95 , 15.5 , 147.46 , -43.9 , 1 , 1 , 0 , 2FGL_J0205.0+1514 , 4C_+15.05 , 0 , 114,
12 , J0203-17 , 30.96 , -17.3 , 186.23 , -70.61 , 1 , 0 , 0 , 2FGL_J0205.3-1657 , PKS_0202-17 , 0 , 208,
