_id , fermi1fhl_name , other_name , Association , RA , Dec , LII , BII,Flux (E>10 GeV),Spectral index,Sqrt(TS),Flux Density,Energy Flux,Pivot Energy,Flux10-30GeV,Errors on Flux10-30GeV,Flux30-100GeV,Errors on Flux30-100GeV,Flux100-500GeV,Errors on Flux100-500GeV,Sqrt(TS)10-30GeV,Sqrt(TS)30-100GeV,Sqrt(TS)100-500GeV,Class,Z,TeV Assoc.,Tev Flag,Variability,Sed Class,Ext name
1 , 1FHL J0007.3+7303 , 2FGL J0007.0+7303 , LAT PSR J0007+7303 , 1.8269 , 73.0595 , 119.68 , 10.46 , (12.51±1.03) e-10 , 3.7267 ± 0.2363 , 31.81 , (97.41±7.97) e-12 , (31.59±3.14) e-12 , 13.994 , 1.20e-9 , -9.778e-11 +1.031e-10 , 4.58e-11 , -1.715e-11 +2.251e-11 , 8.81e-12 , -6.536e-12 +1.25e-11 , 31 , 5.89 , 1.91 , HPSR , 0 , CTA1 , E , 1 , , 
2 , 1FHL J0007.7+4709 , 2FGL J0007.8+4713 , MG4 J000800+4712 , 1.9469 , 47.1547 , 115.27 , -15.07 , (14.53±4.15) e-11 , 3.5669 ± 0.7389 , 7.14 , (10.15±2.89) e-12 , (3.8±1.32) e-12 , 14.3995 , 1.34e-10 , -3.701e-11 +4.43e-11 , 9.63e-12 , -6.975e-12 +1.353e-11 , < 3.02e-11 , - , 7.24 , 2.17 , 0 , bzb , 0.28 , , N , 1 , LSP , 
3 , 1FHL J0008.7-2340 , 2FGL J0008.7-2344 , RBS 0016 , 2.1942 , -23.6744 , 50.31 , -79.77 , (8.17±3.39) e-11 , 2.5734 ± 0.6936 , 4.55 , (2.54±1.05) e-12 , (3.22±1.97) e-12 , 18.8094 , 7.12e-11 , -2.74e-11 +3.587e-11 , 9.17e-12 , -7.939e-12 +1.537e-11 , < 4.33e-11 , - , 5.19 , 1.29 , 0 , bzb , 0.147 , , N , 1 , - , 
4 , 1FHL J0009.2+5032 , 2FGL J0009.1+5030 , NVSS J000922+503028 , 2.3159 , 50.5405 , 116.1 , -11.78 , (27.19±5.4) e-11 , 2.3796 ± 0.2957 , 10.6 , (7.27±1.44) e-12 , (12.3±3.79) e-12 , 19.9705 , 2.12e-10 , -4.483e-11 +5.141e-11 , 6.39e-11 , -2.23e-11 +2.863e-11 , < 3.16e-11 , - , 9.52 , 6.27 , 0 , bzb , 0 , , N , 1 , - , 
5 , 1FHL J0018.6+2946 , 2FGL J0018.5+2945 , RBS 0042 , 4.6727 , 29.776 , 114.49 , -32.56 , (7.51±3.11) e-11 , 2.0156 ± 0.4942 , 4.61 , (12.54±5.19) e-13 , (4.73±3.1) e-12 , 24.726 , 3.42e-11 , -1.76e-11 +2.527e-11 , 3.89e-11 , -1.827e-11 +2.559e-11 , < 3.59e-11 , - , 3.4 , 4.13 , 0 , bzb , 0 , , N , 1 , HSP , 
6 , 1FHL J0022.2-1853 , 2FGL J0022.2-1853 , 1RXS J002209.2-185333 , 5.555 , -18.899 , 82.19 , -79.38 , (12.17±4.1) e-11 , 1.8458 ± 0.3749 , 7 , (15.37±5.18) e-13 , (9.19±4.9) e-12 , 28.5834 , 5.92e-11 , -2.513e-11 +3.37e-11 , 6.03e-11 , -2.322e-11 +3.125e-11 , < 3.95e-11 , - , 4.17 , 6.67 , 0 , bzb , 0 , , N , 1 , HSP , 
7 , 1FHL J0022.5+0607 , 2FGL J0022.5+0607 , PKS 0019+058 , 5.643 , 6.1237 , 110.01 , -56.03 , (14.12±4.48) e-11 , 2.528 ± 0.5072 , 6.35 , (4.33±1.37) e-12 , (5.73±2.71) e-12 , 18.8878 , 1.01e-10 , -3.353e-11 +4.189e-11 , 3.52e-11 , -1.73e-11 +2.528e-11 , < 3.89e-11 , - , 6.27 , 4.01 , 0 , bzb , 0 , , N , 1 , LSP , 
8 , 1FHL J0030.1-1647 , , , 7.5252 , -16.7971 , 96.29 , -78.55 , (5.65±2.8) e-11 , 1.5606 ± 0.4998 , 4.29 , (5.03±2.49) e-13 , (5.95±4.71) e-12 , 35.067 , < 3.89e-11 , - , 4.68e-11 , -2.041e-11 +2.842e-11 , < 4.02e-11 , - , 0.92 , 5.3 , 0 , , 0 , , N , 1 , , 
9 , 1FHL J0033.6-1921 , 2FGL J0033.5-1921 , KUV 00311-1938 , 8.4066 , -19.3609 , 94.24 , -81.23 , (41.97±7.32) e-11 , 1.9285 ± 0.2088 , 15.4 , (6.09±1.06) e-12 , (28.94±8.21) e-12 , 26.536 , 2.46e-10 , -5.282e-11 +6.093e-11 , 1.37e-10 , -3.628e-11 +4.398e-11 , 2.61e-11 , -1.442e-11 +2.31e-11 , 10.57 , 10.34 , 4.15 , bzb , 0.61 , KUV 00311-1938 , P , 1 , HSP , 
10 , 1FHL J0035.2+1514 , 2FGL J0035.2+1515 , RX J0035.2+1515 , 8.8059 , 15.2339 , 117.14 , -47.46 , (14.58±4.44) e-11 , 2.7318 ± 0.5371 , 6.93 , (5.35±1.63) e-12 , (5.22±2.24) e-12 , 17.6582 , 1.22e-10 , -3.647e-11 +4.449e-11 , 2.47e-11 , -1.393e-11 +2.186e-11 , < 3.73e-11 , - , 6.79 , 3.59 , 0 , bzb , 0 , , N , 1 , HSP , 
11 , 1FHL J0035.9+5950 , 2FGL J0035.8+5951 , 1ES 0033+595 , 8.9898 , 59.8378 , 120.98 , -2.98 , (34.91±5.99) e-11 , 1.7377 ± 0.1852 , 13.32 , (35.58±6.1) e-13 , (29.82±7.99) e-12 , 32.2863 , 2.25e-10 , -4.585e-11 +5.216e-11 , 7.95e-11 , -2.455e-11 +3.04e-11 , 4.80e-11 , -1.847e-11 +2.484e-11 , 9.82 , 7.06 , 6.84 , bzb , 0 , 1ES 0033+595 , P , 1 , HSP , 
12 , 1FHL J0037.8+1238 , 2FGL J0037.8+1238 , NVSS J003750+123818 , 9.4731 , 12.6449 , 117.77 , -50.09 , (7.14±3.13) e-11 , 3.2163 ± 0.959 , 4.33 , (4.2±1.84) e-12 , (2.07±1.17) e-12 , 15.1061 , 7.35e-11 , -2.754e-11 +3.572e-11 , < 4.15e-11 , - , < 3.71e-11 , - , 5.19 , 0 , 0 , bzb , 0.089 , , N , 1 , HSP , 
13 , 1FHL J0040.3+4049 , , 1ES 0037+405 , 10.0957 , 40.8273 , 120.67 , -22 , (6.92±3.1) e-11 , 1.4017 ± 0.4251 , 5.32 , (3.69±1.63) e-13 , (8.82±5.55) e-12 , 49.9077 , 3.57e-11 , -1.946e-11 +2.773e-11 , 1.28e-11 , -8.998e-12 +1.651e-11 , 2.31e-11 , -1.277e-11 +2.044e-11 , 2.65 , 2.49 , 4.72 , bzb , 0 , , N , 1 , HSP , 
