_id , fermi1lac_name , other_name , RA , Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
1 , 1FGL J0003.1+6227 , , 0.79792 , 62.45878 , 117.38 , 0.1 , , (21.4+/-5.1) e-10 , 2.527 , 0.101 , < 3.00e-8 , (16.6+/-2.6) e-9 , (19.8+/-4.9) e-10 , < 4.33e-10 , < 1.36e-10 , Unassociated , N , 15.191
2 , 1FGL J0004.3+2207 , , 1.08042 , 22.12339 , 108.75 , -39.45 , , (6.1+/-2.1) e-10 , 2.349 , 0.21 , < 1.77e-8 , < 3.60e-9 , (4.1+/-1.8) e-10 , (19.4+/-9.1) e-11 , < 8.58e-11 , Unassociated , N , 5.456
3 , 1FGL J0004.7-4737 , PKS 0002-478 , 1.18625 , -47.62458 , 323.86 , -67.57 , , (8.4+/-2.7) e-10 , 2.564 , 0.172 , (24.1+/-7.7) e-9 , (30.6+/-9.7) e-10 , (7.9+/-2.4) e-10 , < 1.97e-10 , < 1.53e-10 , FSRQ , N , 9.321
4 , 1FGL J0005.1+6829 , , 1.28292 , 68.48819 , 118.68 , 6 , , (13.9+/-5.1) e-10 , 2.579 , 0.116 , < 3.90e-8 , (13+/-2.6) e-9 , < 2.17e-9 , < 4.90e-10 , < 1.04e-10 , Unassociated , N , 13.565
5 , 1FGL J0005.7+3815 , B2 0003+38A , 1.43625 , 38.25939 , 113.15 , -23.75 , , (6.3+/-2.9) e-10 , 2.865 , 0.132 , (33+/-9.2) e-9 , (4.9+/-1.3) e-9 , < 1.11e-9 , < 2.47e-10 , < 1.13e-10 , FSRQ , N , 20.548
6 , 1FGL J0007.0+7303 , LAT PSR J0007+7303 , 1.75625 , 73.05228 , 119.65 , 10.46 , 1AGL J0006+7311 , (63.4+/-1.5) e-9 , 1.967 , 0.013 , (20.9+/-1.2) e-8 , (120+/-3) e-9 , (49+/-1.3) e-9 , (136+/-6.5) e-10 , (8.5+/-1.6) e-10 , Pulsar , N , 15.281
7 , 1FGL J0006.9+4652 , , 1.74625 , 46.88158 , 115.08 , -15.31 , , (11.2+/-3) e-10 , 2.554 , 0.11 , (28.8+/-9) e-9 , (7.3+/-1.3) e-9 , (7.8+/-2.7) e-10 , (3+/-1.3) e-10 , < 1.54e-10 , Unassociated , N , 18.754
8 , 1FGL J0008.3+1452 , , 2.08417 , 14.88158 , 107.65 , -46.71 , , (7.7+/-2.3) e-10 , 1.996 , 0.21 , < 9.31e-9 , < 2.18e-9 , (5.7+/-2.1) e-10 , (20.2+/-8.9) e-11 , < 1.22e-10 , Unassociated , N , 3.652
9 , 1FGL J0008.9+0635 , CRATES J0009+0628 , 2.2325 , 6.5865 , 104.42 , -54.75 , , < 8.47e-10 , 2.276 , 0.215 , < 1.57e-8 , < 4.86e-9 , < 5.34e-10 , (21.9+/-9.8) e-11 , < 1.46e-10 , BL Lac , N , 14.31
10 , 1FGL J0009.1+5031 , , 2.28833 , 50.52008 , 116.08 , -11.79 , , (12.8+/-3.1) e-10 , 2.41 , 0.133 , < 3.98e-8 , (5.4+/-1.3) e-9 , (9+/-2.8) e-10 , (3.5+/-1.3) e-10 , < 1.38e-10 , Unassociated , N , 12.63
11 , 1FGL J0011.1+0050 , CGRaBS J0011+0057 , 2.78583 , 0.84119 , 102.19 , -60.4 , , (5.6+/-2.2) e-10 , 2.514 , 0.15 , < 1.16e-8 , (4.5+/-1.1) e-9 , (5.4+/-2) e-10 , < 1.74e-10 , < 8.73e-11 , FSRQ , N , 20.75
12 , 1FGL J0013.1-3952 , PKS 0010-401 , 3.29833 , -39.88328 , 332.39 , -74.99 , , (5.3+/-2.6) e-10 , 2.092 , 0.216 , < 1.19e-8 , < 2.66e-9 , < 8.72e-10 , < 2.29e-10 , < 2.14e-10 , BL Lac , N , 8.492
13 , 1FGL J0013.7-5022 , BZB J0014-5022 , 3.42875 , -50.37219 , 317.62 , -65.67 , , (6.2+/-2.4) e-10 , 2.229 , 0.225 , < 1.65e-8 , < 3.60e-9 , (5.8+/-2.2) e-10 , < 1.57e-10 , < 1.58e-10 , BL Lac , N , 7.935
14 , 1FGL J0016.6+1706 , , 4.15375 , 17.10828 , 111.13 , -44.97 , , (5.3+/-2.6) e-10 , 2.567 , 0.198 , < 3.37e-8 , < 3.61e-9 , < 8.72e-10 , < 3.00e-10 , < 1.28e-10 , Unassociated , N , 10.663
15 , 1FGL J0017.4-0510 , CGRaBS J0017-0512 , 4.37167 , -5.18158 , 101.2 , -66.61 , , (15.4+/-3) e-10 , 2.603 , 0.068 , (59.7+/-7.8) e-9 , (15.8+/-1.4) e-9 , (13.7+/-2.7) e-10 , < 2.90e-10 , < 1.99e-10 , FSRQ , N , 80.804
16 , 1FGL J0017.7-0019 , , 4.42875 , -0.32628 , 104.73 , -62 , , (4.7+/-2.3) e-10 , 2.88 , 0.178 , (4.4+/-1) e-8 , < 4.63e-9 , < 7.84e-10 , < 2.81e-10 , < 9.39e-11 , Unassociated , N , 16.469
