_id , fermi2fgl_name ,  other_name , RA, Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
1 , 2FGL J0002.7+6220 , , 0.67958 , 62.33961 , 117.31 , 0 , , (28.7+/-3.1) e-10 , 2.499 , 0.128 , (18.6+/-7.3) e-9 , (12.6+/-1.6) e-9 , (25.6+/-3.6) e-10 , (4.2+/-1.1) e-10 , < 4.93e-11 , Unassociated , N , 22.17
2 , 2FGL J0004.2+2208 , , 1.05542 , 22.1365 , 108.73 , -39.43 , , (4.3+/-1.1) e-10 , 2.494 , 0.149 , < 1.60e-8 , (31.8+/-7.3) e-10 , < 3.95e-10 , (13+/-5.6) e-11 , < 4.90e-11 , Unassociated , N , 17.977
3 , 2FGL J0004.7-4736 , PKS 0002-478 , 1.18 , -47.61156 , 323.89 , -67.58 , , (9.4+/-1.4) e-10 , 2.451 , 0.091 , (22+/-4.1) e-9 , (44.3+/-6.8) e-10 , (9.2+/-1.8) e-10 , (13.4+/-5.5) e-11 , < 6.16e-11 , FSRQ , N , 52.31
4 , 2FGL J0006.1+3821 , S4 0003+38 , 1.525 , 38.35017 , 113.24 , -23.67 , , (9.6+/-1.4) e-10 , 2.604 , 0.081 , (26.7+/-4.7) e-9 , (54+/-8.6) e-10 , (9+/-1.9) e-10 , < 2.29e-10 , < 5.97e-11 , FSRQ , N , 32.625
5 , 2FGL J0007.0+7303 , LAT PSR J0007+7303 , 1.77333 , 73.0545 , 119.66 , 10.46 , 1AGL J0006+7311 , (657+/-8.6) e-10 , 1.45 , 0.018 , (179+/-5.6) e-9 , (116+/-1.9) e-9 , (499+/-8.7) e-10 , (150+/-4.3) e-10 , (12.5+/-1.2) e-10 , Pulsar , N , 27.18
6 , 2FGL J0007.7+6825c , , 1.925 , 68.42319 , 118.91 , 5.89 , , (10.3+/-2.1) e-10 , 2.613 , 0.099 , < 2.82e-8 , (10.8+/-1.8) e-9 , (8.7+/-3) e-10 , < 1.32e-10 , < 1.02e-10 , Unassociated , N , 26.886
7 , 2FGL J0007.8+4713 , MG4 J000800+4712 , 1.97417 , 47.22981 , 115.3 , -15 , , (21.3+/-2) e-10 , 2.098 , 0.064 , (26.9+/-4.3) e-9 , (59.5+/-8.2) e-10 , (14.5+/-2.2) e-10 , (49.4+/-10) e-11 , (11.7+/-4.7) e-11 , BL Lac , N , 19.322
8 , 2FGL J0008.7-2344 , RBS 0016 , 2.19583 , -23.73628 , 49.99 , -79.8 , , (3.2+/-1.1) e-10 , 1.625 , 0.247 , < 5.46e-9 , < 1.05e-9 , < 5.74e-10 , < 1.43e-10 , < 1.80e-10 , BL Lac , N , 22.282
9 , 2FGL J0009.0+0632 , CRATES J000903.95+062821 , 2.26208 , 6.54233 , 104.45 , -54.8 , , (5.1+/-1.2) e-10 , 2.398 , 0.159 , < 2.08e-8 , < 3.06e-9 , (3.5+/-1.4) e-10 , (13.9+/-5.9) e-11 , < 7.10e-11 , BL Lac , N , 35.027
10 , 2FGL J0009.1+5030 , NVSS J000922+503028 , 2.29125 , 50.50617 , 116.08 , -11.81 , , (21.5+/-2) e-10 , 1.853 , 0.065 , < 9.42e-9 , (40.8+/-7.7) e-10 , (15.2+/-2.2) e-10 , (5.9+/-1.1) e-10 , (18.8+/-5.5) e-11 , AGU , N , 42.506
11 , 2FGL J0009.9-3206 , IC 1531 , 2.48417 , -32.11183 , 1.52 , -79.71 , , (4.5+/-1.1) e-10 , 2.167 , 0.159 , < 6.91e-9 , < 2.81e-9 , (4.9+/-1.4) e-10 , < 1.67e-10 , < 8.72e-11 , AGU , N , 20.098
12 , 2FGL J0010.5+6556c , GB6 J0011+6603 , 2.64042 , 65.93386 , 118.77 , 3.39 , , (10.2+/-2.4) e-10 , 2.413 , 0.229 , < 2.65e-8 , (12.2+/-2) e-9 , < 1.75e-9 , < 3.21e-10 , < 6.75e-11 , AGU , N , 17.732
13 , 2FGL J0011.3+0054 , PMN J0011+0058 , 2.8275 , 0.90356 , 102.31 , -60.36 , , (5.4+/-1.2) e-10 , 2.435 , 0.133 , < 1.35e-8 , (32.3+/-7.6) e-10 , (4.6+/-1.4) e-10 , < 1.88e-10 , < 6.28e-11 , FSRQ , N , 48.725
14 , 2FGL J0012.9-3954 , PKS 0010-401 , 3.24625 , -39.9005 , 332.48 , -74.95 , , (5.2+/-1.1) e-10 , 2.163 , 0.161 , < 1.53e-8 , < 2.55e-9 , (4.7+/-1.4) e-10 , < 2.08e-10 , < 1.18e-10 , BL Lac , N , 14.459
15 , 2FGL J0013.8+1907 , GB6 J0013+1910 , 3.46375 , 19.12603 , 110.78 , -42.86 , , (4+/-1.1) e-10 , 2.056 , 0.193 , < 1.03e-8 , < 2.75e-9 , < 3.52e-10 , (19+/-6.5) e-11 , < 4.73e-11 , BL Lac , N , 50.07
16 , 2FGL J0014.3-0509 , , 3.58083 , -5.15294 , 99.37 , -66.32 , , (5.1+/-1.3) e-10 , 2.445 , 0.16 , < 3.37e-8 , < 4.52e-9 , < 7.63e-10 , < 1.54e-10 , < 9.41e-11 , Unassociated , N , 28.495
17 , 2FGL J0017.4-0018 , S3 0013-00 , 4.36375 , -0.302 , 104.61 , -61.96 , , (4.1+/-1) e-10 , 2.603 , 0.138 , (19.4+/-5.2) e-9 , (29.4+/-7.5) e-10 , < 5.33e-10 , < 1.41e-10 , < 4.66e-11 , FSRQ , N , 33.827
18 , 2FGL J0017.6-0510 , PMN J0017-0512 , 4.40333 , -5.18247 , 101.27 , -66.62 , , (13.9+/-1.7) e-10 , 2.445 , 0.074 , < 3.92e-8 , (7.7+/-1.1) e-9 , (10.9+/-2) e-10 , (12.7+/-5.3) e-11 , < 1.11e-10 , FSRQ , N , 135.077
