_id,fermi_name , Counterpart_name , RA, Dec  , LII , BII , AngSep , Theta95 , Class , Redshift , SED_Class , Probability_Bayesian , Reliability_LR_RG , Reliability_LR_XG , ProbabilityLogN-logS , LR_RG , LR_XG , Flux1GeV-100 GeV , Spectral_index , Spectral_Index_Error , TS , Radio_flux , X_Flux , USNOVmag , SDSSVmag , ARO , AOX , CLEAN , IN 2FGL
1 , 2FGLJ0004.7-4736 , PKS 0002-478 , 1.14833 , -47.60567 , 323.94 , -67.57 , 0.022 , 0.104 , FSRQ , 0.88 , LSP , 0.998 , 0.99 , 0.95 , 1 , 3.279 , 2.73 , (9.4+/-1.4) e-10 , 2.451 , 0.091 , 173 , 995 , 1.47e-12 , 17.3 , - , 0.67 , 1.12 , YES , YES
2 , 2FGLJ0006.1+3821 , S4 0003+38 , 1.48792 , 38.33753 , 113.21 , -23.68 , 0.032 , 0.133 , FSRQ , 0.229 , LSP , 0.998 , 0.99 , 0 , 1 , 2.54 , -9.9 , (9.6+/-1.4) e-10 , 2.604 , 0.081 , 164 , 572 , 1.41e-12 , 17.72 , - , 0.648 , 1.201 , YES , YES
3 , 2FGLJ0007.8+4713 , MG4 J000800+4712 , 1.99958 , 47.20211 , 115.31 , -15.03 , 0.033 , 0.058 , BL Lac , 0.28 , LSP , 0.999 , 0.98 , 0.96 , 0.98 , 1.752 , 3.057 , (21.3+/-2) e-10 , 2.098 , 0.064 , 326 , 60 , 1.48e-12 , 18.28 , - , 0.512 , 1.084 , YES , YES
4 , 2FGLJ0008.7-2344 , PKS 0005-239 , 2.00125 , -23.65511 , 50.04 , -79.6 , 0.196 , 0.174 , FSRQ , 1.412 , - , 0 , 0.96 , 0 , 0 , 1.302 , -9.9 , (3.2+/-1.1) e-10 , 1.625 , 0.247 , 25 , 374 , - , 16.51 , - , 0.555 , - , NO , NO
5 , 2FGLJ0008.7-2344 , RBS 0016 , 2.14708 , -23.65772 , 50.31 , -79.73 , 0.09 , 0.174 , BL Lac , 0.147 , - , 0.989 , 0.92 , 0 , 0 , 0.542 , -9.9 , (3.2+/-1.1) e-10 , 1.625 , 0.247 , 25 , 36 , - , 16.64 , - , 0.417 , - , NO , YES
6 , 2FGLJ0009.0+0632 , CRATES J000903.95+0628 , 2.26667 , 6.47264 , 104.42 , -54.87 , 0.07 , 0.126 , BL Lac , 0 , LSP , 0.994 , 0.98 , 0.91 , 0.97 , 1.812 , 2.35 , (5.1+/-1.2) e-10 , 2.398 , 0.159 , 43 , 247 , 1.3e-12 , 18.7 , 18.1 , 0.625 , 1.168 , NO , YES
7 , 2FGLJ0009.0+0632 , GB6 J0009+0625 , 2.32083 , 6.43161 , 104.49 , -54.93 , 0.125 , 0.126 , AGU , -999 , - , 0 , 0.96 , 0 , 0 , 1.258 , -9.9 , (5.1+/-1.2) e-10 , 2.398 , 0.159 , 43 , 180 , - , 19.49 , 19.19 , - , - , NO , NO
8 , 2FGLJ0009.1+5030 , NVSS J000922+503028 , 2.34458 , 50.508 , 116.12 , -11.81 , 0.034 , 0.05 , AGU , -999 , - , 0 , 0 , 0 , 0.88 , -9.9 , -9.9 , (21.5+/-2) e-10 , 1.853 , 0.065 , 310 , 11 , - , 19.52 , - , - , - , YES , YES
9 , 2FGLJ0009.9-3206 , IC 1531 , 2.39875 , -32.27694 , 0.87 , -79.57 , 0.18 , 0.147 , AGU , 0.025 , LSP , 0 , 0.97 , 0 , 0 , 1.341 , 0.963 , (4.5+/-1.1) e-10 , 2.167 , 0.159 , 35 , 388 , 5.01e-13 , 8.91 , - , -0.088 , 2.778 , NO , YES
10 , 2FGLJ0011.3+0054 , PMN J0011+0058 , 2.87625 , 0.96428 , 102.44 , -60.31 , 0.078 , 0.199 , FSRQ , 1.4934 , LSP , 0.99 , 0.96 , 0 , 0.99 , 1.297 , 1.505 , (5.4+/-1.2) e-10 , 2.435 , 0.133 , 49 , 167 , 5.41e-13 , 20.17 , 20.4 , 0.778 , 0.859 , NO , YES
