_id ,fermi2psr_name , RA, Dec, LII, BII, P0, P1 (10-15) , Edot (1034), S1400, Type , Flux 100MeV, Spectral index , Energy Flux, TS , ECutoff , TSCutoff , Luminosity, Luminosity Error , Efficiency , Efficiency Error , Radio Lag , Gamma Peak , History , Distance, Distance Error , Method , Peak Mult. ,other_name
1 , J0007+7303 , 1.75625 , 73.05228 , 119.65 , 10.46 , 316 , 3.57e-13 , 4.5e+35 , < 0.005 , YRQ , 3.294e-7±4.5e-9 , 1.397±0.016 , 4.006e-10±4.47e-12 , 43388 , 4660±174 , 1884 , 9.39e+34 , 3.59e+34 +4.46e+34 , 0.21 , 0.08 +0.1 , -9.9±-9.9 , 0.216±0.005 , Gamma , 1.4 , ±0.3 , K , 2,
2 , J0023+0923 , 5.82 , 9.39 , 111.38 , -52.85 , 3.05 , 1.09e-20 , 1.5e+34 , 0.189 , MSP , 1.178e-8±3.54e-9 , 1.405±0.395 , 8.01e-12±1.23e-12 , 131 , 1410±601 , 16 , 4.56e+32 , 1.34e+32 +3.2e+32 , 0.03 , 0.009 +0.021 , 0.375±0.064 , 0.608±0.192 , Radio , 0.69 , 0.21 +0.11 , DM , 2,
3 , J0030+0451 , 7.61417 , 4.861 , 113.14 , -57.61 , 4.87 , 1.02e-20 , 3.6e+33 , 0.6 , MSP , 6.599e-8±3.32e-9 , 1.211±0.072 , 6.135e-11±1.82e-12 , 4788 , 1820±171 , 316 , 5.75e+32 , 2.2e+32 +4.84e+32 , 0.159 , 0.061 +0.134 , 0.16±0.001 , 0.45±0.001 , Radio , 0.28 , 0.1 +0.06 , P , 2,
4 , J0034-0534 , 8.59083 , -5.57689 , 111.49 , -68.07 , 1.88 , 4.98e-21 , 1.7e+34 , 0.61 , MSP , 2.18e-8±2.91e-9 , 1.436±0.169 , 1.625e-11±1.18e-12 , 563 , 1830±417 , 45 , 5.67e+32 , 1.9e+32 +2.55e+32 , 0.033 , 0.011 +0.015 , 0.866±0.005 , 0.285±0.023 , Radio , 0.54 , 0.11 +0.1 , DM , 2,
5 , J0101-6422 , 15.29625 , -64.375 , 301.19 , -52.73 , 2.57 , 4.8e-21 , 1e+34 , 0.28 , MSP , 7.51e-9±1.4e-9 , 0.693±0.29 , 1.047e-11±9.1e-13 , 491 , 1520±358 , 59 , 3.79e+32 , 1.02e+32 +1.34e+32 , 0.038 , 0.01 +0.013 , 0.145±0.005 , 0.417±0.018 , Radio , 0.55 , 0.09 +0.08 , DM , 2,
6 , J0102+4839 , 15.71083 , 48.66189 , 124.87 , -14.17 , 2.96 , 1.17e-20 , 1.7e+34 , 0.218 , MSP , 1.316e-8±3.41e-9 , 1.401±0.249 , 1.321e-11±1.58e-12 , 251 , 3160±1140 , 29 , 8.51e+33 , 2.86e+33 +4.06e+33 , 0.486 , 0.163 +0.232 , 0.259±0.004 , 0.454±0.015 , Radio , 2.32 , 0.5 +0.43 , DM , 2,
7 , J0106+4855 , 16.60417 , 48.931 , 125.46 , -13.87 , 83.2 , 4.28e-16 , 2.9e+34 , 0.008 , YRQ , 1.665e-8±3.8e-9 , 1.223±0.211 , 1.93e-11±1.82e-12 , 544 , 2740±603 , 58 , 2.09e+34 , 8.49e+33 +1.81e+34 , 0.712 , 0.289 +0.616 , 0.062±0.002 , 0.487±0.003 , Gamma , 3.01 , 1.1 +0.69 , DM , 2,
8 , J0205+6449 , 31.40792 , 64.82858 , 130.71 , 3.08 , 65.7 , 1.9e-13 , 2.6e+37 , 0.045 , YRL , 1.053e-7±6.71e-9 , 1.834±0.106 , 5.358e-11±2.28e-12 , 1019 , 1610±332 , 86 , 2.44e+34 , 9.9e+32 +1.01e+33 , 0.001 , - , 0.075±0.004 , 0.503±0.004 , Xrays , 1.95 , ±0.04 , KP , 2,
9 , J0218+4232 , 34.52625 , 42.53819 , 139.5 , -17.53 , 2.32 , 7.74e-20 , 2.4e+35 , 0.9 , MSP , 7.753e-8±6.67e-9 , 1.981±0.085 , 4.56e-11±2.38e-12 , 1313 , 4640±1200 , 38 , 3.8e+34 , 1.62e+34 +3.75e+34 , 0.156 , 0.067 +0.154 , 0.351±0.077 , 0.388±0.08 , Radio , 2.64 , 1.08 +0.64 , DM , 2,
10 , J0248+6021 , 42.0775 , 60.35969 , 136.9 , 0.69 , 217 , 5.5e-14 , 2.1e+35 , 13.7 , YRL , 9.896e-8±1.26e-8 , 1.783±0.146 , 5.163e-11±3.92e-12 , 578 , 1560±316 , 61 , 2.47e+34 , 4.69e+33 +5.19e+33 , 0.116 , 0.022 +0.024 , 0.336±0.017 , -9.9±-9.9 , Radio , 2 , ±0.2 , K , 1,
11 , J0340+4130 , 55.09667 , 41.51258 , 153.78 , -11.03 , 3.3 , 5.9e-21 , 7.9e+33 , 0.173 , MSP , 1.502e-8±2.35e-9 , 1.078±0.183 , 2.036e-11±1.54e-12 , 553 , 2650±595 , 73 , 7.29e+33 , 2.31e+33 +2.65e+33 , 0.926 , 0.293 +0.337 , 0.751±0.006 , 0.232±0.016 , Radio , 1.73 , 0.29 +0.3 , DM , 2,
12 , J0357+3205 , 59.46708 , 32.09 , 162.75 , -16.01 , 444 , 1.31e-14 , 5.9e+33 , < 0.004 , YRQ , 9.04e-8±4.18e-9 , 0.988±0.093 , 6.419e-11±1.77e-12 , 3468 , 817±67.9 , 461 , - , - , - , - , -9.9±-9.9 , -9.9±-9.9 , Gamma , - , - , DMM , 1,
13 , J0437-4715 , 69.31583 , -47.2525 , 253.39 , -41.97 , 5.76 , 5.73e-20 , 2.9e+33 , 149 , MSP , 2.678e-8±3.17e-9 , 1.382±0.198 , 1.669e-11±1.11e-12 , 687 , 1120±248 , 67 , 4.86e+31 , 6.21e+29 +6.25e+29 , 0.017 , - , 0.442±0.01 , -9.9±-9.9 , Radio , 0.156 , ±0.001 , P , 1,
14 , J0534+2200 , 83.63292 , 22.0145 , 184.55 , -5.79 , 33.6 , 4.2e-13 , 1e+38 , 14 , YRL , 0.000002076±1.45e-8 , 1.908±0.01 , 1.293e-9±8.46e-12 , 102653 , 4240±175 , 1461 , 6.19e+35 , 2.71e+35 +3.48e+35 , 0.001 , ±0.001 , 0.109±0 , 0.407±0.001 , Radio , 2 , ±0.5 , O , 2,
15 , J0610-2100 , 92.55625 , -21.00778 , 227.74 , -18.19 , 3.86 , 1.23e-20 , 8.3e+32 , 0.4 , MSP , 7.81e-9±2.53e-9 , 1.235±0.424 , 6.57e-12±1.07e-12 , 98 , 1580±754 , 14 , 9.85e+33 , 4.78e+33 +5.38e+34 , 11.8 , 5.727 +64.49 , 0.236±0.006 , -9.9±-9.9 , Radio , 3.54 , 5.46 +1 , DM , 1,
16 , J0613-0200 , 93.43292 , -2.01308 , 210.41 , -9.31 , 3.06 , 9.59e-21 , 1.2e+34 , 2.3 , MSP , 2.75e-8±3.69e-9 , 1.224±0.155 , 2.989e-11±1.9e-12 , 760 , 2460±480 , 88 , 2.9e+33 , 1.14e+33 +3.15e+33 , 0.241 , 0.095 +0.262 , 0.261±0.02 , 0.175±0.021 , Radio , 0.9 , 0.4 +0.2 , P , 2,
17 , J0614-3329 , 93.54292 , -33.49839 , 240.5 , -21.83 , 3.15 , 1.78e-20 , 2.2e+34 , 0.604 , MSP , 8.529e-8±2.91e-9 , 1.299±0.042 , 1.094e-10±2.71e-12 , 9408 , 3890±313 , 416 , 4.72e+34 , 1.58e+34 +2.44e+34 , 2.147 , 0.718 +1.11 , 0.126±0.002 , 0.554±0.002 , Radio , 1.9 , 0.44 +0.35 , DM , 2,
18 , J0622+3749 , 95.54375 , 37.81939 , 175.87 , 10.95 , 333 , 2.54e-14 , 2.7e+34 , < 0.012 , YRQ , 1.994e-8±3.23e-9 , 0.616±0.353 , 1.448e-11±1.27e-12 , 302 , 569±127 , 91 , - , - , - , - , -9.9±-9.9 , 0.457±0.034 , Gamma , - , - , DMM , 2,
19 , J0631+1036 , 97.86542 , 10.6165 , 201.22 , 0.45 , 288 , 1.05e-13 , 1.7e+35 , 0.8 , YRL , 6.437e-8±6.38e-9 , 1.837±0.089 , 4.653e-11±2.74e-12 , 621 , 5520±1420 , 39 , 5.57e+33 , 2.44e+33 +3.13e+33 , 0.032 , 0.014 +0.018 , 0.497±0.022 , -9.9±-9.9 , Radio , 1 , ±0.25 , O , 1,
20 , J0633+1746 , 98.47583 , 17.77078 , 195.13 , 4.26 , 237 , 1.1e-14 , 3.2e+34 , < 0.507 , YRQ , 0.000004159±1.24e-8 , 1.231±0.005 , 4.233e-9±1.23e-11 , 906994 , 2220±19.3 , 33861 , 3.17e+34 , 1.7e+34 +8.5e+34 , 0.974 , 0.524 +2.617 , -9.9±-9.9 , 0.508±0.001 , Xrays , 0.25 , 0.23 +0.08 , P , 2,
21 , J0633+0632 , 98.43375 , 6.54158 , 205.09 , -0.94 , 297 , 7.96e-14 , 1.2e+35 , < 0.003 , YRQ , 9.731e-8±1.07e-8 , 1.369±0.098 , 9.417e-11±4.88e-12 , 2448 , 2710±334 , 203 , - , - , - , - , -9.9±-9.9 , 0.476±0.003 , Gamma , - , - , DMM , 2,
