_id , fermi3fgl_name , other_name , Class , RA, Dec, Significance , Flux 1-100 GeV, Flux 1-100 GeV Error , Spectral Index , Spectral Index Error , Beta , Spectral Type , Power Law Index , TeV Cat , Gamma Assoc. , Prev. Fermi Assoc. , Variability index
1 , 3FGL J0002.6+6218 , , , 0.67417 , 62.30058 , 17.972 , 2.84e-9 , 2.11e-10 , 2.086 , 0.111 , 0.45 , LogParabo , 2.347 , N , , , 48.024
2 , 3FGL J0003.2-5246 , RBS 0006 , bcu , 0.815 , -52.77708 , 5.67 , 2.59e-10 , 6.53e-11 , 1.895 , 0.174 , -9.9 , PowerLaw , 1.895 , N , , , 45.28
3 , 3FGL J0003.4+3100 , , , 0.8575 , 31.0085 , 6.295 , 3.14e-10 , 6.98e-11 , 2.554 , 0.131 , -9.9 , PowerLaw , 2.554 , N , , , 38.536
4 , 3FGL J0003.5+5721 , , , 0.89 , 57.35969 , 5.381 , 4.72e-10 , 9.65e-11 , 2.183 , 0.126 , -9.9 , PowerLaw , 2.183 , N , , , 31.121
5 , 3FGL J0003.8-1151 , PMN J0004-1148 , bcu , 0.95875 , -11.86269 , 4.181 , 2.34e-10 , 6.33e-11 , 2.024 , 0.176 , -9.9 , PowerLaw , 2.024 , N , , , 48.492
6 , 3FGL J0004.2+6757 , , , 1.055 , 67.95928 , 6.006 , 8.16e-10 , 1.40e-10 , 2.497 , 0.094 , -9.9 , PowerLaw , 2.497 , N , , , 34.815
7 , 3FGL J0004.2+0843 , , , 1.05708 , 8.72739 , 4.716 , 2.68e-10 , 7.17e-11 , 2.05 , 0.191 , -9.9 , PowerLaw , 2.05 , N , , , 45.332
8 , 3FGL J0004.7-4740 , PKS 0002-478 , fsrq , 1.18042 , -47.67108 , 14.52 , 6.93e-10 , 8.13e-11 , 2.404 , 0.076 , -9.9 , PowerLaw , 2.404 , N , , 1FGL J0004.7-4737 , 112.933
9 , 3FGL J0006.2+0135 , , , 1.57167 , 1.58528 , 5.521 , 2.99e-10 , 6.77e-11 , 2.187 , 0.167 , -9.9 , PowerLaw , 2.187 , N , , , 45.566
10 , 3FGL J0006.4+3825 , S4 0003+38 , fsrq , 1.61208 , 38.41828 , 10.546 , 6.06e-10 , 8.90e-11 , 2.617 , 0.082 , -9.9 , PowerLaw , 2.617 , N , , 1FGL J0005.7+3815 , 80.463
11 , 3FGL J0006.6+4618 , , , 1.65083 , 46.30539 , 4.606 , 3.1e-10 , 7.41e-11 , 2.417 , 0.188 , -9.9 , PowerLaw , 2.417 , N , , , 48.82
12 , 3FGL J0007.0+7302 , LAT PSR J0007+7303 , PSR , 1.76542 , 73.04989 , 288.746 , 6.49e-8 , 5.73e-10 , 1.208 , 0.048 , -9.9 , PLSuperEx , 1.879 , E , 1AGL J0006+7311 , 1FGL J0007.0+7303 , 46.169
13 , 3FGL J0007.4+1742 , , , 1.86917 , 17.711 , 4.561 , 2.74e-10 , 6.74e-11 , 2.312 , 0.171 , -9.9 , PowerLaw , 2.312 , N , , , 46.571
14 , 3FGL J0007.9+4006 , , , 1.9825 , 40.10678 , 4.519 , 3e-10 , 7.07e-11 , 2.276 , 0.161 , -9.9 , PowerLaw , 2.276 , N , , , 44.39
15 , 3FGL J0008.0+4713 , MG4 J000800+4712 , bll , 2.01625 , 47.22808 , 24.745 , 1.97e-9 , 1.29e-10 , 2.021 , 0.05 , -9.9 , PowerLaw , 2.021 , N , , , 36.713
16 , 3FGL J0008.3+1456 , , , 2.08792 , 14.93358 , 6.461 , 4.12e-10 , 7.78e-11 , 2.27 , 0.128 , -9.9 , PowerLaw , 2.27 , N , , 1FGL J0008.3+1452 , 34.44
17 , 3FGL J0008.5+6853 , , , 2.14083 , 68.887 , 8.449 , 1.05e-9 , 1.81e-10 , 2.423 , 0.23 , 0.936 , LogParabo , 2.455 , N , , 1FGL J0005.1+6829 , 35.034
18 , 3FGL J0008.7+6558 , , , 2.19125 , 65.96769 , 8.738 , 7.19e-10 , 1.49e-10 , 2.508 , 0.202 , 0.999 , LogParabo , 2.458 , N , , , 42.767
19 , 3FGL J0008.6-2340 , RBS 0016 , bll , 2.17417 , -23.67208 , 6.656 , 2.28e-10 , 6.37e-11 , 1.599 , 0.178 , -9.9 , PowerLaw , 1.599 , N , , , 47.349
20 , 3FGL J0009.1+0630 , CRATES J000903.95+062821 , bll , 2.295 , 6.50519 , 8.971 , 5.49e-10 , 8.46e-11 , 2.179 , 0.11 , -9.9 , PowerLaw , 2.179 , N , , 1FGL J0008.9+0635 , 61.357
21 , 3FGL J0009.3+5030 , NVSS J000922+503028 , bll , 2.33333 , 50.51039 , 36.493 , 3.09e-9 , 1.49e-10 , 1.929 , 0.032 , -9.9 , PowerLaw , 1.929 , N , , 1FGL J0009.1+5031 , 99.437
22 , 3FGL J0009.6-3211 , IC 1531 , bcu , 2.40125 , -32.19869 , 5.536 , 2.77e-10 , 6.16e-11 , 2.31 , 0.145 , -9.9 , PowerLaw , 2.31 , N , , , 42.534
23 , 3FGL J0010.5-1425 , , , 2.62875 , -14.4195 , 4.297 , 2.49e-10 , 6.33e-11 , 2.308 , 0.149 , -9.9 , PowerLaw , 2.308 , N , , , 56.522
24 , 3FGL J0012.4+7040 , TXS 0008+704 , bcu , 3.11 , 70.67208 , 4.55 , 4.36e-10 , 9.79e-11 , 2.484 , 0.144 , -9.9 , PowerLaw , 2.484 , N , , , 51.576
25 , 3FGL J0013.2-3954 , PKS 0010-401 , bll , 3.30375 , -39.90828 , 12.025 , 6.07e-10 , 7.77e-11 , 2.212 , 0.09 , -9.9 , PowerLaw , 2.212 , N , , 1FGL J0013.1-3952 , 55.228
26 , 3FGL J0013.9-1853 , RBS 0030 , bll , 3.47583 , -18.89658 , 5.585 , 2.37e-10 , 5.93e-11 , 1.935 , 0.167 , -9.9 , PowerLaw , 1.935 , P , , , 36.459
27 , 3FGL J0014.0-5025 , RBS 0032 , bll , 3.515 , -50.4285 , 5.65 , 2.45e-10 , 5.80e-11 , 1.924 , 0.16 , -9.9 , PowerLaw , 1.924 , N , , 1FGL J0013.7-5022 , 46.377
28 , 3FGL J0014.3-0455 , , , 3.58542 , -4.91958 , 6.325 , 4.4e-10 , 8.55e-11 , 2.504 , 0.128 , -9.9 , PowerLaw , 2.504 , N , , , 54.382
