_id , fermibsl_name , other_name , RA , Dec , LII , BII , Sqrt(TS) , Variability Flag , Gamma flux ph/cm2/s , Source classification , 95% conf. radius 
1 , 0FGL J0007.4+7303 , LAT PSR J0007+7303 , 1.85167 , 73.065 , 119.68 , 10.47 , 64.6 , F , (32.4+/-1.3)10^-8 , Pulsar , 3.2
2 , 0FGL J0017.4-0503 , CGRaBS J0017-0512 , 4.35792 , -5.054 , 101.27 , -66.49 , 14.7 , T , (11.8+/-1.4)10^-8 , FSRQ , 15.1
3 , 0FGL J0025.1-7202 , NGC 104 , 6.295 , -72.042 , 305.78 , -44.95 , 12.7 , F , (5.1+/-2)10^-8 , Globular cluster , 9.8
4 , 0FGL J0030.3+0450 , PSR J0030+0451 , 7.6 , 4.848 , 113.11 , -57.63 , 18.7 , F , < 8.910^-8 , Pulsar , 8.3
5 , 0FGL J0033.6-1921 , BZB J0033-1921 , 8.40083 , -19.36 , 94.21 , -81.22 , 10.7 , F , < 1.410^-8 , BL Lac , 8.8
6 , 0FGL J0036.7+5951 , BZB J0035+5950 , 9.17667 , 59.854 , 121.08 , -2.97 , 10.3 , F , (6.7+/-3.1)10^-8 , BL Lac , 8.6
7 , 0FGL J0050.5-0928 , CGRaBS J0050-0929 , 12.63667 , -9.47 , 122.2 , -72.34 , 20.5 , T , (8.1+/-1.3)10^-8 , BL Lac , 7.8
8 , 0FGL J0051.1-0647 , CGRaBS J0051-0650 , 12.79583 , -6.795 , 122.75 , -69.67 , 15.7 , T , (6.6+/-1.4)10^-8 , FSRQ , 7.6
9 , 0FGL J0100.2+0750 , CRATES J0100+0745 , 15.05083 , 7.844 , 126.71 , -54.97 , 11.1 , F , < 2.510^-8 , Blazar uncertain type , 6.6
10 , 0FGL J0112.1+2247 , CGRaBS J0112+2244 , 18.03375 , 22.79 , 129.14 , -39.84 , 17.6 , F , (54+/-7)10^-9 , BL Lac , 8
11 , 0FGL J0118.7-2139 , CGRaBS J0118-2141 , 19.67583 , -21.656 , 172.98 , -81.73 , 17.8 , T , (7+/-1.1)10^-8 , FSRQ , 9.8
12 , 0FGL J0120.5-2703 , CGRaBS J0120-2701 , 20.12792 , -27.056 , 213.93 , -83.53 , 11.8 , F , (23+/-8)10^-9 , BL Lac , 8.4
13 , 0FGL J0136.6+3903 , BZB J0136+3905 , 24.16292 , 39.066 , 132.44 , -22.97 , 12.5 , F , < 610^-8 , BL Lac , 5.2
