_id ,fermilbas_name,other_name,RA,Dec,LII,BII,Flux100 Mev,Spectral_index,Sigma,Associated_name,Association_Probability,FoM,FluxPeak,Flux_Summed,Redshift,Classification,Variability
1 , 0FGLJ0017.4-0503 , - , 4.35792 , -5.054 , 101.27 , -66.49 , (13.9+/-2.4) e-8 , 2.71 , 14.7 , CGRaBS J0017-0512 , 0.92 , 16.2 , (34.8+/-6.5) e-8 , (12.1+/-1.4) e-8 , 0.227 , FSRQ , T 
2 , 0FGLJ0033.6-1921 , KUV 00311-1938 , 8.40083 , -19.36 , 94.21 , -81.22 , (16+/-4) e-9 , 1.7 , 10.7 , BZB J0033-1921 , 0.99 , 0 , (2.9+/-1.3) e-8 , (4+/-1) e-9 , 0.61 , BL Lac , - 
3 , 0FGLJ0050.5-0928 , PKS 0048-097 , 12.63667 , -9.47 , 122.2 , -72.34 , (10.2+/-1.4) e-8 , 2.15 , 20.5 , CRATES J0050-0929 , 0.99 , 61.01 , (19+/-4) e-8 , (8.8+/-1.3) e-8 , 0 , BL Lac , T 
4 , 0FGLJ0051.1-0647 , PKS 0048-071 , 12.79583 , -6.794 , 122.75 , -69.67 , (8.5+/-1.5) e-8 , 2.22 , 15.7 , CRATES J0051-0650 , 0.99 , 42.95 , (19.7+/-4.4) e-8 , (7.2+/-1.4) e-8 , 1.975 , FSRQ , T 
5 , 0FGLJ0100.2+0750 , - , 15.05083 , 7.844 , 126.71 , -54.97 , (19+/-7) e-9 , 1.8 , 11.1 , - , 0 , 5.12 , (3.9+/-1.7) e-8 , (3+/-1) e-9 , 0 , AGN , - 
6 , 0FGLJ0112.1+2247 , S2 0109+22 , 18.03375 , 22.789 , 129.14 , -39.84 , (7.4+/-1.2) e-8 , 2.1 , 17.6 , S2 0109+22 , 1 , 48.96 , (12.6+/-2.7) e-8 , (60+/-7) e-9 , 0 , BL Lac , - 
7 , 0FGLJ0118.7-2139 , PKS 0116-219 , 19.67583 , -21.656 , 172.98 , -81.73 , (9.6+/-1.4) e-8 , 2.32 , 17.8 , CGRaBS J0118-2141 , 0.99 , 35.02 , (21.4+/-4.5) e-8 , (7.6+/-1.1) e-8 , 1.165 , FSRQ , T 
8 , 0FGLJ0120.5-2703 , PKS 0118-272 , 20.12792 , -27.056 , 213.93 , -83.53 , (32+/-8) e-9 , 1.99 , 11.8 , PKS 0118-272 , 1 , 60.25 , (6.7+/-2.3) e-8 , (26+/-8) e-9 , 0.557 , BL Lac , - 
9 , 0FGLJ0136.6+3903 , B3 0133+388 , 24.16292 , 39.066 , 132.44 , -22.97 , (18+/-5) e-9 , 1.65 , 12.5 , B3 0133+388 , 1 , 12.45 , (4.7+/-1.5) e-8 , (5+/-1) e-9 , 0 , BL Lac , - 
10 , 0FGLJ0137.1+4751 , DA 55 , 24.285 , 47.854 , 130.81 , -14.32 , (10.9+/-1.7) e-8 , 2.2 , 18.8 , CGRaBS J0136+4751 , 0.99 , 52.21 , (18.6+/-4.5) e-8 , (10.8+/-1.6) e-8 , 0.859 , FSRQ , T 
11 , 0FGLJ0144.5+2709 , TXS 0141+268 , 26.14167 , 27.159 , 137.24 , -34.23 , (5.4+/-1.3) e-8 , 2.22 , 10.4 , CRATES J0144+2705 , 0.58 , 30.93 , (12.7+/-3.8) e-8 , (20+/-5) e-9 , 0 , BL Lac , - 
12 , 0FGLJ0145.1-2728 , PKS 0142-278 , 26.28875 , -27.478 , 217.68 , -78.07 , (9.2+/-1.7) e-8 , 2.55 , 13.4 , CGRaBS J0145-2733 , 0.96 , 37.41 , (26.3+/-5.4) e-8 , (9.4+/-1.3) e-8 , 1.148 , FSRQ , T 
13 , 0FGLJ0204.8-1704 , PKS 0202-17 , 31.21875 , -17.068 , 186.06 , -70.28 , (11.1+/-1.7) e-8 , 2.48 , 16.6 , CGRaBS J0204-1701 , 0.96 , 55.22 , (18.9+/-3.9) e-8 , (10.7+/-1.3) e-8 , 1.74 , FSRQ , - 
14 , 0FGLJ0210.8-5100 , PKS 0208-512 , 32.70583 , -51.013 , 276.08 , -61.78 , (24.4+/-2) e-8 , 2.28 , 34.1 , PKS 0208-512 , 1 , 69.87 , (76.2+/-6.9) e-8 , (22.8+/-1.2) e-8 , 1.003 , FSRQ , T 
15 , 0FGLJ0217.8+0146 , PKS 0215+015 , 34.46667 , 1.768 , 162.13 , -54.39 , (10.2+/-1.3) e-8 , 2.13 , 21.7 , CGRaBS J0217+0144 , 1 , 52.67 , (16.5+/-3.8) e-8 , (9.8+/-1.2) e-8 , 1.715 , FSRQ , T 
16 , 0FGLJ0220.9+3607 , B2 0218+35 , 35.24292 , 36.121 , 142.5 , -23.33 , (11+/-2.4) e-8 , 2.61 , 12.3 , CGRaBS J0221+3556 , 0.95 , 7.66 , (22.5+/-6.1) e-8 , (10.9+/-1.3) e-8 , 0.944 , FSRQ , - 
17 , 0FGLJ0222.6+4302 , 3C 66A , 35.65292 , 43.043 , 140.13 , -16.77 , (25.9+/-1.6) e-8 , 1.97 , 47.4 , 3C 66A , 1 , 23.18 , (49.6+/-4.8) e-8 , (26.6+/-1.4) e-8 , 0.444 , BL Lac , T 
18 , 0FGLJ0229.5-3640 , PKS 0227-369 , 37.375 , -36.681 , 243.79 , -67.19 , (15.8+/-2.1) e-8 , 2.57 , 19.2 , BZQJ0229-3643 , 0.94 , 29.2 , (34.1+/-6.2) e-8 , (14.1+/-1.5) e-8 , 2.115 , FSRQ , T 
