_id , gbmcatalog_name , other_name , RA, Dec, trigger time , LII , BII , Error Radius , Redshift , Swift Trigger , GBM trigger , T50, T50 error , T90 , T90 error , Detection Mask , Fitting Mask , best fitting model peak flux , best fitting model fluence , Reduced Chi2 peak model , Reduced Chi2 fln model , TSTART spe peak , TSTOP spe peak , TSTART spe fln , TSTOP spe fln , Fluence, Fluence error, Flux1.024s,Flux1.024sError
1 , GRB090703329 , 090703 , 0.77 , 9.68 , 268300444 , 103.621 , -51.369 , 5.25 , - , NULL , 090703329 , 3.072 , 0.92 , 8.96 , 1.86 , 11000000010000 , 11000000010010 , Power Law Model , Power Law Model , 1.05 , 1.07 , -1.02 , 0 , -2.05 , 5.12 , 8.46e-7 , 2.88e-8 , 2.46 , 0.209
2 , GRB090428552 , 090428B , 0.8 , 11.5 , 262617313 , 104.503 , -49.638 , 3.9 , - , NULL , 090428552 , 7.168 , 1.49 , 31.49 , 11.85 , 00001100000000 , 00001100000010 , Power Law Model , Power Law Model , 0.9 , 1.37 , 3.07 , 4.1 , -10.24 , 19.46 , 0.0000056 , 1.24e-7 , 7.61 , 0.24
3 , GRB090412061 , 090412 , 1.3 , -51.9 , 261192487 , 319.163 , -63.747 , 10.6 , - , NULL , 090412061 , 0.128 , 0.09 , 0.9 , 0.26 , 00011000100000 , 00011000100010 , Comptonized Model , Comptonized Model , 0.89 , 0.84 , 0 , 0.06 , -0.13 , 0.06 , 1.25e-7 , 1.36e-8 , 0.867 , 0.196
4 , GRB100212588 , 100212A , 1.82 , 45.96 , 287676444 , 114.963 , -16.227 , 5 , - , 412081 , 100212588 , 0.768 , 0.14 , 2.5 , 0.2 , 10010000000000 , 10010010000010 , Power Law Model , Power Law Model , 1.01 , 1.05 , -1.02 , 0 , -1.02 , 1.02 , 3.46e-7 , 1.61e-8 , 2.98 , 0.207
5 , GRB090625560 , 090625B , 2.26179 , -65.78028 , 267629184 , 309.785 , -50.78 , 0.0011 , - , 020105 , 090625560 , 4.092 , 0.72 , 11.78 , 2.67 , 00001000100000 , 00001000100010 , Comptonized Model , Comptonized Model , 0.87 , 1.14 , 3.07 , 4.1 , -2.05 , 6.14 , 0.00000246 , 8.72e-8 , 3.44 , 0.261
6 , GRB100507577 , 100507577 , 2.9 , -79.01 , 294933077 , 305.328 , -37.932 , 2.53 , - , NULL , 100507577 , 14.336 , 1.45 , 44.03 , 5.22 , 00000000011100 , 00000000011101 , Comptonized Model , Comptonized Model , 0.98 , 1.07 , 15.36 , 16.38 , -13.31 , 31.74 , 0.00000997 , 1.15e-7 , 3.29 , 0.204
7 , GRB090227310 , 090227A , 3.3 , -43 , 257412359 , 326.523 , -72.333 , 1.2 , - , NULL , 090227310 , 7.424 , 1.06 , 16.19 , 0.83 , 11010001000000 , 10010000000010 , Comptonized Model , Comptonized Model , 1.13 , 1.41 , 2.05 , 3.07 , 0 , 20.48 , 0.00000286 , 2.08e-8 , 3.94 , 0.267
8 , GRB100107074 , 100107074 , 6.31 , -21.24 , 284521593 , 76.127 , -81.615 , 5.97 , - , NULL , 100107074 , 0.032 , 0.18 , 0.58 , 0.47 , 10000000000000 , 01000000010010 , Power Law Model , Power Law Model , 1.1 , 1.1 , -0.06 , 0 , -0.06 , 0 , 1.68e-7 , 2.13e-8 , 1.37 , 0.23
9 , GRB100522157 , 100522157 , 6.98667 , 9.40228 , 296192754 , 113.27 , -53.028 , 0.0001 , - , NULL , 100522157 , 11.712 , 1.54 , 35.33 , 0.72 , 01110100000000 , 01110000000010 , Band Model , Comptonized Model , 0.95 , 1.15 , 0 , 1.02 , -1.02 , 35.84 , 0.00000386 , 4.07e-8 , 11.1 , 0.249
10 , GRB100424876 , 100424876 , 7.79 , 43.35 , 293835714 , 119.027 , -19.368 , 2.42 , - , NULL , 100424876 , 20.48 , 2.29 , 169.99 , 3.56 , 11000100000000 , 11000100000010 , Comptonized Model , Comptonized Model , 1.07 , 1.09 , 150.53 , 151.55 , -9.22 , 171.01 , 0.0000149 , 1.72e-7 , 4.53 , 0.18
11 , GRB090629543 , 090629543 , 8.48 , 17.67 , 267973283 , 117.026 , -45.001 , 7.37 , - , NULL , 090629543 , 9.728 , 1.49 , 20.48 , 4.76 , 00010011100000 , 00010011000001 , Power Law Model , Power Law Model , 0.96 , 1.11 , 8.19 , 9.22 , 0 , 9.22 , 4.39e-7 , 2.48e-8 , 1.07 , 0.207
12 , GRB100118100 , 100118100 , 9.26 , -37.37 , 285474215 , 318.547 , -79.318 , 5.87 , - , NULL , 100118100 , 2.56 , 0.92 , 9.22 , 6.72 , 01100100000000 , 01100100000010 , Smoothly Broken Power Law , Comptonized Model , 0.97 , 0.89 , 1.02 , 2.05 , -2.05 , 2.05 , 0.00000144 , 1.08e-7 , 3.2 , 0.17
13 , GRB100517243 , 100517243 , 10.44 , 4.43 , 295768194 , 118.331 , -58.355 , 11.81 , - , NULL , 100517243 , 10.816 , 0.89 , 29.63 , 4.48 , 01110100000000 , 01110000000010 , Power Law Model , Comptonized Model , 0.97 , 1.02 , -1.02 , 0 , -13.31 , 6.14 , 0.00000269 , 4.27e-8 , 4.65 , 0.22
14 , GRB090621185 , 090621 , 11.01979 , 61.94119 , 267251196 , 122.067 , -0.918 , 0.0014 , - , 355303 , 090621185 , 31.744 , 2.43 , 106.75 , 14.37 , 00000011010000 , 00000011010001 , Power Law Model , Band Model , 1.03 , 1.81 , 9.22 , 10.24 , -5.12 , 62.46 , 0.0000108 , 2.11e-7 , 3.63 , 0.194
15 , GRB100117879 , 100117A , 11.26 , -1.594 , 285455181 , 119.227 , -64.42 , 0.05 , - , 382941 , 100117879 , 0.064 , 0.18 , 0.26 , 0.83 , 00011000100000 , 00011000100010 , Power Law Model , Smoothly Broken Power Law , 0.87 , 0.88 , -0.06 , 0 , -0.06 , 0.13 , 4.23e-7 , 6.93e-8 , 1.59 , 0.135
16 , GRB090227772 , 090227B , 11.8 , 32.2 , 257452263 , 121.89 , -30.663 , 1.8 , - , NULL , 090227772 , 0.192 , 0.09 , 1.28 , 1.03 , 11100000000000 , 11100000000010 , Smoothly Broken Power Law , Smoothly Broken Power Law , 0.97 , 1.08 , 0 , 0.06 , -3.01 , 0.9 , 0.00000786 , 4.06e-8 , 17 , 0.928
