_id , grb_wfc_name , other_name , RA , Dec , LII , BII , Trigger_TimeMJD , Trigger_TimeUT , Duration , Duration_comment , 2-26keVPeak_flux , 40-700keVPeak_flux_Gamma , Redshift , Redshift_Reference
1   , "GRB960720"   , "---" ,  262.7   ,  49.1   ,  "75.76"   ,  "33.05"   ,  50284.48395   ,  11.6148   ,  44   ,  "-"   ,  0.25   ,  10   ,  " - "   ,  " - "
2   , "GRB970111"   , "---" ,  232   ,  19.6   ,  "29.59"   ,  "53.44"   ,  50459.405556   ,  9.733   ,  72   ,  "-"   ,  1.4   ,  56   ,  " - "   ,  " - "
3   , "GRB970228"   , "---" ,  75.45   ,  11.78   ,  "188.91"   ,  "-17.94"   ,  50507.12362   ,  2.967   ,  86   ,  "-"   ,  1.4   ,  37   ,  " 0.695"   ,  "GCN289"
4   , "GRB970402"   , "---" ,  222.5   ,  -68.67   ,  "313.4"   ,  "-8.25"   ,  50540.930312   ,  22.32   ,  124   ,  "n"   ,  0.16   ,  2.4   ,  "-"   ,  " - "
5   , "GRB970508"   , "---" ,  103.5   ,  79.27   ,  "134.96"   ,  "26.73"   ,  50576.904   ,  21.696   ,  42   ,  "-"   ,  0.35   ,  3.4   ,  " 0.835"   ,  "IAUC6655"
6   , "GRB971206(*)"   , "---" ,  150.6   ,  -19.67   ,  "257.2"   ,  "27.82"   ,  50788.805648   ,  19.33   ,  137   ,  "n"   ,  "-"   ,  "-"   ,  "-"   ,  " - "
7   , "GRB971214"   , "---" ,  179.1   ,  65.21   ,  "132.03"   ,  "50.93"   ,  50796.97272   ,  23.345   ,  103   ,  "n"   ,  0.2   ,  6.8   ,  " 3.42"   ,  "GCN29"
8   , "GRB971227"   , "---" ,  194.3   ,  59.39   ,  "121.55"   ,  "57.72"   ,  50809.349375   ,  8.3835   ,  51   ,  "n-pr"   ,  0.36   ,  3.8   ,  " - "   ,  " - "
9   , "GRB980109"   , "---" ,  6.483   ,  -62.98   ,  "307.84"   ,  "-53.91"   ,  50822.05024   ,  1.206   ,  46   ,  "n"   ,  0.16   ,  3.9   ,  " - "   ,  " - "
10   , "GRB980326"   , "---" ,  129.1   ,  -17.12   ,  "240.87"   ,  "13.99"   ,  50898.888   ,  1.312   ,  13   ,  "-"   ,  0.84   ,  2.7   ,  " ~1 "   ,  "Bloom et al. (1999)"
11   , "GRB980329"   , "---" ,  105.7   ,  38.85   ,  "178.12"   ,  "18.68"   ,  50901.156   ,  3.741   ,  69   ,  "-"   ,  1.3   ,  51   ,  "<3.9 "   ,  "Djorgovski (1999)"
12   , "GRB980425"   , "---" ,  293.8   ,  -51.16   ,  "346.87"   ,  "-27.46"   ,  50928.909155   ,  21.82   ,  52   ,  "pr"   ,  0.61   ,  2.4   ,  "0.0085"   ,  "IAUC6896"
13   , "GRB980515"   , "---" ,  319.2   ,  -66.78   ,  "326.99"   ,  "-38.83"   ,  50948.708449   ,  17.003   ,  45   ,  "-"   ,  0.3   ,  3   ,  " - "   ,  " - "
14   , "GRB980519"   , "---" ,  350.6   ,  77.26   ,  "117.96"   ,  "15.25"   ,  50952.5141   ,  12.337   ,  205   ,  "pr"   ,  0.51   ,  13   ,  " - "   ,  " - "
15   , "GRB980613"   , "---" ,  154.5   ,  71.57   ,  "137.95"   ,  "40.78"   ,  50977.202153   ,  4.852   ,  73   ,  "-"   ,  0.13   ,  1.6   ,  " 1.1 "   ,  "GCN189"
16   , "GRB981226"   , "---" ,  352.4   ,  -22.07   ,  "43.68"   ,  "-70.75"   ,  51173.408   ,  9.783   ,  77   ,  "pr"   ,  0.085   ,  0.65   ,  " - "   ,  " - "
17   , "GRB990123"   , "---" ,  231.4   ,  44.76   ,  "73.09"   ,  "54.62"   ,  51201.4078   ,  9.787   ,  ">72"   ,  "-"   ,  0.5   ,  170   ,  " 1.62 "   ,  "IAUC7096"
18   , "GRB990217"   , "---" ,  45.69   ,  -52.9   ,  "268.59"   ,  "-54.57"   ,  51226.224618   ,  5.391   ,  60   ,  "-"   ,  0.11   ,  1.1   ,  " - "   ,  " - "
19   , "GRB990510"   , "---" ,  204.5   ,  -79.5   ,  "305.13"   ,  "-16.83"   ,  51308.36743   ,  8.817   ,  105   ,  "-"   ,  1.4   ,  24   ,  " 1.6 "   ,  "GCN324"
20   , "GRB990520"   , "---" ,  129   ,  51.31   ,  "167.53"   ,  "36.94"   ,  51318.085393   ,  2.049   ,  15   ,  "-"   ,  "-"   ,  "-"   ,  " - "   ,  " - "
21   , "GRB990625"   , "---" ,  6.642   ,  -31.8   ,  "350.65"   ,  "-82.86"   ,  51354.017084   ,  0.409   ,  40   ,  "-"   ,  0.065   ,  0.11   ,  " - "   ,  " - "
22   , "GRB990627"   , "---" ,  27.1   ,  -76.91   ,  "298.77"   ,  "-39.76"   ,  51356.20894   ,  5.014   ,  60   ,  "-"   ,  0.065   ,  1.6   ,  " - "   ,  " - "
23   , "GRB990704"   , "---" ,  184.9   ,  -2.167   ,  "287"   ,  "59.71"   ,  51363.729401   ,  17.506   ,  34   ,  "-"   ,  1.3   ,  1.8   ,  " - "   ,  " - "
24   , "GRB990705"   , "---" ,  77.47   ,  -71.87   ,  "283.22"   ,  "-33.52"   ,  51364.668   ,  16.024   ,  72   ,  "lt"   ,  0.85   ,  37   ,  " 0.86"   ,  "Amati et al. (2000)"
25   , "GRB990712"   , "---" ,  338   ,  -72.59   ,  "315.99"   ,  "-40.82"   ,  51371.696551   ,  16.717   ,  52   ,  "-"   ,  3.1   ,  6.3   ,  " 0.43"   ,  "GCN388"
26   , "GRB990806"   , "---" ,  47.65   ,  -67.88   ,  "285.48"   ,  "-44.24"   ,  51396.602859   ,  14.469   ,  55   ,  "-"   ,  0.35   ,  5.5   ,  " - "   ,  " - "
27   , "GRB990907"   , "---" ,  112.8   ,  -68.54   ,  "280.12"   ,  "-21.61"   ,  51428.731944   ,  17.567   ,  230   ,  "-"   ,  0.39   ,  9.5   ,  " - "   ,  " - "
28   , "GRB990908"   , "---" ,  103.2   ,  -73.01   ,  "284"   ,  "-25.76"   ,  51429.013   ,  0.3   ,  147   ,  "-"   ,  0.35   ,  1   ,  " - "   ,  " - "
29   , "GRB991014"   , "---" ,  102.8   ,  11.59   ,  "202.56"   ,  "5.2"   ,  51465.911505   ,  21.876   ,  79   ,  "-"   ,  0.54   ,  4.2   ,  " - "   ,  " - "
30   , "GRB991026(*)"   , "---" ,  102.3   ,  -78.63   ,  "290.18"   ,  "-26.67"   ,  51477.543252   ,  13.0381   ,  114   ,  "-"   ,  "-"   ,  "-"   ,  " - "   ,  " - "
31   , "GRB991030(*)"   , "---" ,  124.8   ,  -32.72   ,  "251.59"   ,  "1.9"   ,  51481.073634   ,  0.003   ,  138   ,  "-"   ,  "-"   ,  "-"   ,  " - "   ,  " - "
32   , "GRB991105"   , "---" ,  180.9   ,  -66.24   ,  "298.13"   ,  "-3.82"   ,  51487.694954   ,  16.679   ,  67   ,  "n"   ,  0.24   ,  6.4   ,  " - "   ,  " - "
33   , "GRB991106"   , "---" ,  336.2   ,  54.39   ,  "102.56"   ,  "-2.58"   ,  51488.454479   ,  10.9075   ,  26   ,  "-"   ,  "-"   ,  "-"   ,  " - "   ,  " - "
34   , "GRB991217"   , "---" ,  345.8   ,  0.2489   ,  "74.95"   ,  "-52.24"   ,  51529.175523   ,  4.205   ,  60   ,  "-"   ,  "-"   ,  "-"   ,  " - "   ,  " - "
35   , "GRB000210"   , "---" ,  29.82   ,  -39.35   ,  "258.11"   ,  "-71.34"   ,  51584.363958   ,  8.735   ,  72   ,  "pr-ps"   ,  1.6   ,  180   ,  " 0.846"   ,  "Piro et al. (2002)"
36   , "GRB000214"   , "---" ,  283.6   ,  -65.53   ,  "330.08"   ,  "-24.83"   ,  51588.042372   ,  1.017   ,  96   ,  "-"   ,  0.63   ,  40   ,  "0.37-0.47"   ,  "Antonelli et al. (2000)"
37   , "GRB000416"   , "---" ,  258.9   ,  -70.39   ,  "321.73"   ,  "-17.96"   ,  51650.6062   ,  14.548   ,  39   ,  "-"   ,  "-"   ,  "-"   ,  " - "   ,  " - "
38   , "GRB000424"   , "---" ,  104.7   ,  49.87   ,  "166.76"   ,  "21.53"   ,  51658.762581   ,  18.266   ,  18   ,  "-"   ,  "-"   ,  "-"   ,  " - "   ,  " - "
39   , "GRB000528"   , "---" ,  161.3   ,  -32.02   ,  "273.95"   ,  "23.65"   ,  51692.366   ,  8.776   ,  104   ,  "-"   ,  0.62   ,  14   ,  " - "   ,  " - "
40   , "GRB000529"   , "---" ,  2.362   ,  -60.47   ,  "312.14"   ,  "-55.91"   ,  51693.363322   ,  8.72   ,  28   ,  "ps"   ,  0.2   ,  7   ,  " - "   ,  " - "
41   , "GRB000608"   , "---" ,  6.25   ,  -68.7   ,  "306.53"   ,  "-48.25"   ,  51703.369   ,  8.862   ,  42   ,  "-"   ,  0   ,  0   ,  " - "   ,  " - "
42   , "GRB000615"   , "---" ,  233.2   ,  73.79   ,  "109.51"   ,  "38.84"   ,  51710.263   ,  6.307   ,  103   ,  "-"   ,  0.8   ,  1   ,  " - "   ,  " -"
43   , "GRB000620"   , "---" ,  113.9   ,  69.2   ,  "146.44"   ,  "29.13"   ,  51715.23169   ,  5.56   ,  24   ,  "-"   ,  0.9   ,  7   ,  " - "   ,  " - "
44   , "GRB001011"   , "---" ,  275.8   ,  50.9   ,  "79.24"   ,  "25.01"   ,  51828.663079   ,  15.914   ,  56   ,  "-"   ,  0.07   ,  25   ,  " - "   ,  " - "
45   , "GRB001109"   , "---" ,  277.5   ,  55.3   ,  "84.23"   ,  "24.97"   ,  51857.391116   ,  9.388   ,  75   ,  "-"   ,  0.6   ,  4.2   ,  " - "   ,  " - "
46   , "GRB010213(*)"   , "---" ,  257.3   ,  39.26   ,  "63.39"   ,  "35.86"   ,  51953.123183   ,  2.956   ,  "-"   ,  "-"   ,  0.65   ,  7   ,  " - "   ,  " - "
47   , "GRB010214"   , "---" ,  265.2   ,  48.58   ,  "75.34"   ,  "31.37"   ,  51954.366794   ,  8.803   ,  "36-68"   ,  "pr"   ,  1.7   ,  5.5   ,  " - "   ,  " - "
