_id , pccs1f100_name , other_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
1 , "PCCS1 100 G118.15+05.11 "     ,, 0.33125 , 67.51889 , 118.15507 , 5.11328 , "2087.8+/-74.6" , "8421.6+/-2958.6" , "5820.8+/-507.6" , "-" , 1 , "Not available" , 40 , 1 , "PLCKERC100 G118.15+05.11" , "-" , "-" , "-" , -9.9
2 , "PCCS1 100 G116.72-02.17 "     ,, 0.35458 , 60.09083 , 116.72966 , -2.17719 , "394.9+/-78.7" , "177.5+/-271.4" , "230.2+/-54.7" , "565.6+/-77.3" , 1 , "No" , 24 , 0 , " " , "19+/-1.9" , "7.7+/-1.4" , "79.7+/-0.000" , 12.1
3 , "PCCS1 100 G117.61+02.29 "     ,, 0.36667 , 64.65444 , 117.61449 , 2.29995 , "998.7+/-80.9" , "2654.8+/-286.8" , "2000.3+/-57.3" , "4318.6+/-138.6" , 1 , "Yes" , 24 , 2 , "PLCKERC100 G117.61+02.28" , "15.5+/-0.8" , "14.4+/-0.7" , "70+/-0.000" , 15
4 , "PCCS1 100 G117.41+01.09 "     ,, 0.45042 , 63.43639 , 117.41658 , 1.0975 , "351.1+/-63.3" , "471.3+/-179.5" , "432.7+/-38.8" , "1040.7+/-78" , 1 , "Yes" , 14 , 1 , " " , "21+/-2.2" , "11.4+/-1.3" , "148.2+/-0.000" , 15.4
5 , "PCCS1 100 G055.37-77.66 "     ,, 0.57708 , -21.89556 , 55.37171 , -77.66936 , "326.7+/-49.6" , "421.7+/-181.8" , "229.6+/-47.7" , "651.3+/-84.4" , 1 , "No" , 0 , 1 , " " , "22.2+/-1.8" , "9.1+/-1.5" , "145.7+/-0.000" , 14.2
6 , "PCCS1 100 G084.57-71.07 "     ,, 0.99125 , -11.82667 , 84.57491 , -71.07276 , "340.3+/-54.9" , "528.2+/-193.3" , "451+/-53.4" , "797.9+/-100.9" , 1 , "No" , 2 , 1 , "PLCKERC100 G084.63-71.06" , "17.7+/-3" , "11.1+/-2.1" , "49.4+/-0.000" , 14
7 , "PCCS1 100 G118.61+06.15 "     ,, 1.00292 , 68.62444 , 118.61235 , 6.15154 , "1513.7+/-77.7" , "3015.3+/-542.5" , "2516+/-83.7" , "5419.4+/-203.9" , 1 , "Yes" , 33 , 2 , "PLCKERC100 G118.62+06.16" , "17.8+/-1" , "13.1+/-0.8" , "55.2+/-0.000" , 15.3
8 , "PCCS1 100 G108.28-41.19 "     ,, 1.14833 , 20.33889 , 108.28093 , -41.19631 , "421.3+/-71" , "344.8+/-143.5" , "320.3+/-41.8" , "451.7+/-64.4" , 1 , "No" , 1 , 2 , " " , "12.5+/-2.1" , "8.8+/-1.5" , "24.7+/-0.000" , 10.5
9 , "PCCS1 100 G323.91-67.57 "     ,, 1.17125 , -47.60083 , 323.91697 , -67.57737 , "553+/-67.8" , "232.9+/-264.6" , "343+/-49.8" , "578.5+/-106.4" , 1 , "No" , 0 , 2 , " " , "18.8+/-4.5" , "7.8+/-1.7" , "11.1+/-0.000" , 12.1
10 , "PCCS1 100 G113.22-23.67 "    ,, 1.5025 , 38.34083 , 113.22324 , -23.6728 , "728.5+/-66.7" , "771.3+/-153.9" , "710.1+/-39.8" , "756.4+/-60.3" , 1 , "No" , 3 , 2 , "PLCKERC100 G113.19-23.68" , "11.1+/-1.1" , "9.6+/-0.9" , "12.2+/-0.000" , 10.3
