_id , pccs1f217_name , other_name , RA , Dec , LII , BII ,Detection pipeline flux density +/- err (mJy),Aperture photometry flux density +/- err (mJy),PSF fit flux density +/- err (mJy),Gaussian fit flux density +/- err (mJy),PositionError (arcmin),Extended,Cirrus flag,External validation,ERCSC source name,Gaussian fit semimajor axis +/- err (arcmin),Gaussian fit semiminor axis +/- err (arcmin),Gaussian fit orientation +/- err (degrees),Gaussian fit effective FWHM (arcmin) 
1 , "PCCS1 217 G117.97+04.82 "    , , 0.00875 , 67.20306 , 117.97073 , 4.82786 , "2615.9+/-198.6" , "6880.3+/-4630.9" , "5975.8+/-1334" , "1.6e+4+/-2886.7" , 0.7 , "Yes" , 47 , 2 , " " , "16.1+/-1" , "6.5+/-1.5" , "2+/-0.000" , 10.2
2 , "PCCS1 217 G112.54-21.32 "    , , 0.095 , 40.51583 , 112.54408 , -21.32356 , "323+/-34.7" , "592.1+/-96.9" , "546.5+/-52" , "1905.2+/-142.6" , 0.7 , "Yes" , 5 , 2 , "PLCKERC217 G112.54-21.31" , "16.5+/-1.5" , "8.9+/-0.9" , "45.6+/-0.000" , 12.2
3 , "PCCS1 217 G102.99-50.49 "    , , 0.11625 , 10.39306 , 102.99113 , -50.49456 , "179.9+/-37.4" , "225.1+/-83.4" , "212.4+/-35.1" , "1119.8+/-112.9" , 0.7 , "Yes" , 3 , 0 , " " , "21.4+/-0.8" , "8.6+/-1.2" , "80.9+/-0.000" , 13.6
4 , "PCCS1 217 G118.34+06.37 "    , , 0.15542 , 68.79361 , 118.34086 , 6.37606 , "600.9+/-76.6" , "1188.7+/-336" , "589.6+/-352.6" , "-" , 0.7 , "Not available" , 31 , 2 , " " , "-" , "-" , "-" , -9.9
5 , "PCCS1 217 G118.12+05.02 "    , , 0.30167 , 67.43083 , 118.12669 , 5.02906 , "2494.2+/-241.6" , "7601.6+/-5084.9" , "8318.5+/-1400.8" , "-" , 0.7 , "Not available" , 42 , 1 , " " , "-" , "-" , "-" , -9.9
6 , "PCCS1 217 G089.03-67.32 "    , , 0.32542 , -7.81472 , 89.0332 , -67.32569 , "190.3+/-33.3" , "188.1+/-166.3" , "172.7+/-69.5" , "196.4+/-90.9" , 0.7 , "No" , 140 , 0 , " " , "6.6+/-3.2" , "4.4+/-2.1" , "172.7+/-0.000" , 5.4
7 , "PCCS1 217 G116.71-02.21 "    , , 0.34 , 60.04583 , 116.71365 , -2.21989 , "664.3+/-100.9" , "2290.9+/-516.3" , "1676.1+/-245.5" , "5404.3+/-407.8" , 0.7 , "Yes" , 24 , 1 , "PLCKERC217 G116.70-02.21" , "15.2+/-0.6" , "6.1+/-0.6" , "86.7+/-0.000" , 9.6
8 , "PCCS1 217 G119.68+12.64 "    , , 0.34667 , 75.20389 , 119.68124 , 12.6492 , "244.4+/-48.9" , "35.7+/-119.5" , "-" , "-" , 0.7 , "Not available" , 3 , 0 , " " , "-" , "-" , "-" , -9.9
9 , "PCCS1 217 G117.60+02.29 "    , , 0.35083 , 64.65278 , 117.60746 , 2.29964 , "2452.3+/-132.3" , "5226+/-757.4" , "5160.8+/-270.3" , "1.9e+4+/-736.2" , 0.7 , "Yes" , 24 , 2 , "PLCKERC217 G117.60+02.31" , "13.3+/-0.7" , "11.5+/-0.6" , "135.1+/-0.000" , 12.4
10 , "PCCS1 217 G114.44-13.57 "   , , 0.3625 , 48.47306 , 114.44517 , -13.57324 , "362.9+/-37.2" , "775.1+/-163.5" , "648.8+/-61.7" , "1854.2+/-160.5" , 0.7 , "Yes" , 19 , 2 , "PLCKERC217 G114.44-13.56" , "12.4+/-1.2" , "7.6+/-0.8" , "16.4+/-0.000" , 9.7
