_id , pccs1f545_name , other_name, RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
1 , "PCCS1 545 G109.78-32.23 "     ,, 0.10667 , 29.32639 , 109.78006 , -32.23902 , "543.8+/-100.7" , "527.6+/-186.5" , "637.7+/-70.1" , "1827+/-179.4" , 0.5 , "Yes" , 0 , 0 , " " , "15.7+/-1.8" , "6.4+/-0.7" , "58.4+/-0.000" , 10
2 , "PCCS1 545 G118.33+06.38 "     ,, 0.12417 , 68.79917 , 118.33078 , 6.38373 , "7956.5+/-713.8" , "2.0e+4+/-6799.5" , "1.4e+4+/-4484.6" , "2.3e+4+/-4310.2" , 0.5 , "No" , 31 , 2 , " " , "10.9+/-0.2" , "4.4+/-1" , "56.5+/-0.000" , 6.9
3 , "PCCS1 545 G112.57-21.30 "     ,, 0.12542 , 40.54389 , 112.57498 , -21.30103 , "2038.6+/-130.6" , "5802.1+/-1197" , "5171.2+/-412.7" , "2.2e+4+/-1453.8" , 0.5 , "Yes" , 5 , 2 , "PLCKERC545 G112.50-21.27" , "20.4+/-1.8" , "9.4+/-0.8" , "64.8+/-0.000" , 13.9
4 , "PCCS1 545 G304.76-33.87 "     ,, 0.13667 , -83.06667 , 304.76692 , -33.87925 , "1430+/-165.1" , "5278.5+/-1773.9" , "4959.2+/-387.3" , "1.8e+4+/-1482.6" , 0.5 , "Yes" , 7 , 2 , "PLCKERC545 G304.76-33.88" , "16.9+/-1.7" , "7.2+/-0.7" , "122+/-0.000" , 11.1
5 , "PCCS1 545 G118.12+05.02 "     ,, 0.30583 , 67.4225 , 118.12666 , 5.02047 , "2.6e+4+/-1786.2" , "7.7e+4+/-7.1e+4" , "1.3e+5+/-2.0e+4" , "-" , 0.5 , "Not available" , 42 , 2 , " " , "-" , "-" , "-" , -9.9
6 , "PCCS1 545 G116.71-02.21 "     ,, 0.33917 , 60.04944 , 116.71413 , -2.21622 , "7560.9+/-1016.6" , "2.7e+4+/-5122.2" , "2.0e+4+/-2454.7" , "9.3e+4+/-7345.3" , 0.5 , "Yes" , 24 , 1 , "PLCKERC545 G116.67-02.21" , "18.8+/-1.6" , "7.7+/-0.7" , "88.3+/-0.000" , 12
7 , "PCCS1 545 G117.60+02.30 "     ,, 0.35542 , 64.65361 , 117.60967 , 2.3002 , "2.9e+4+/-1328.7" , "5.5e+4+/-8855.4" , "6.2e+4+/-3493.2" , "2.9e+5+/-1.3e+4" , 0.5 , "Yes" , 24 , 2 , "PLCKERC545 G117.60+02.31" , "16.9+/-1.1" , "12.2+/-0.8" , "138.6+/-0.000" , 14.4
8 , "PCCS1 545 G114.44-13.56 "     ,, 0.35833 , 48.4775 , 114.44338 , -13.56816 , "4694.2+/-203" , "1.2e+4+/-1434.6" , "1.1e+4+/-707.1" , "4.5e+4+/-2080.4" , 0.5 , "Yes" , 20 , 2 , "PLCKERC545 G114.44-13.56" , "17.2+/-1" , "8.8+/-0.5" , "15+/-0.000" , 12.3
9 , "PCCS1 545 G110.45-30.83 "     ,, 0.38042 , 30.82806 , 110.45265 , -30.83114 , "513.6+/-85.2" , "49.8+/-161.8" , "189.3+/-67.7" , "-" , 0.5 , "Not available" , 1 , 0 , " " , "-" , "-" , "-" , -9.9
10 , "PCCS1 545 G118.17+05.11 "    ,, 0.39125 , 67.53 , 118.17972 , 5.1196 , "5.1e+4+/-1554.3" , "2.0e+5+/-4.5e+4" , "1.8e+5+/-1.9e+4" , "-" , 0.5 , "Not available" , 40 , 1 , "PLCKERC545 G118.15+05.14" , "-" , "-" , "-" , -9.9
11 , "PCCS1 545 G118.10+04.70 "    ,, 0.39875 , 67.10972 , 118.1013 , 4.70679 , "1.9e+4+/-2501.1" , "2.2e+4+/-2.2e+4" , "1.6e+4+/-1.7e+4" , "-" , 0.5 , "Not available" , 43 , 2 , " " , "-" , "-" , "-" , -9.9
12 , "PCCS1 545 G117.97+04.02 "    ,, 0.40708 , 66.41972 , 117.97137 , 4.02915 , "1.1e+4+/-1485.1" , "1.4e+4+/-1.1e+4" , "2.4e+4+/-5221" , "-" , 0.5 , "Not available" , 41 , 1 , " " , "-" , "-" , "-" , -9.9
13 , "PCCS1 545 G107.83-39.73 "    ,, 0.40958 , 21.67528 , 107.83186 , -39.73179 , "565.4+/-104.9" , "427.6+/-195.7" , "515.6+/-81.5" , "-" , 0.5 , "Not available" , 5 , 0 , " " , "-" , "-" , "-" , -9.9
14 , "PCCS1 545 G108.41-37.99 "    ,, 0.42167 , 23.47389 , 108.41476 , -37.99134 , "1183+/-154.5" , "1193.8+/-296.6" , "1491.1+/-134.3" , "4572.6+/-339.3" , 0.5 , "Yes" , 8 , 2 , " " , "15.1+/-1.3" , "8.2+/-0.8" , "38.4+/-0.000" , 11.1
15 , "PCCS1 545 G117.40+01.08 "    ,, 0.425 , 63.41833 , 117.40202 , 1.08191 , "8220.3+/-823.3" , "2.8e+4+/-6239.6" , "3.0e+4+/-2191.1" , "1.5e+5+/-7519.6" , 0.5 , "Yes" , 14 , 2 , "PLCKERC545 G117.42+01.05" , "22.6+/-1.5" , "9.3+/-0.6" , "151.4+/-0.000" , 14.5
16 , "PCCS1 545 G114.47-13.65 "    ,, 0.43667 , 48.39917 , 114.47987 , -13.65535 , "2143.1+/-193" , "7205.9+/-2926.7" , "1.1e+4+/-783.7" , "5.7e+4+/-4274.8" , 0.5 , "Yes" , 18 , 2 , " " , "22+/-2.4" , "9.2+/-0.9" , "11.6+/-0.000" , 14.2
17 , "PCCS1 545 G117.45+01.26 "    ,, 0.46833 , 63.61278 , 117.45816 , 1.26907 , "1.1e+4+/-1356.5" , "2.5e+4+/-2598" , "2.1e+4+/-2202.7" , "5.9e+4+/-2491.4" , 0.5 , "Yes" , 16 , 1 , " " , "14.9+/-0.3" , "6+/-0.3" , "168.6+/-0.000" , 9.5
18 , "PCCS1 545 G114.44-13.95 "    ,, 0.47167 , 48.1 , 114.44279 , -13.95313 , "9674.8+/-203.9" , "1.6e+4+/-2526.7" , "1.4e+4+/-697.7" , "2.3e+4+/-1787.1" , 0.5 , "Yes" , 17 , 2 , "PLCKERC545 G114.43-13.95" , "9.1+/-0.8" , "6.3+/-0.5" , "78.3+/-0.000" , 7.6
19 , "PCCS1 545 G118.44+06.25 "    ,, 0.50833 , 68.69111 , 118.44709 , 6.25086 , "1.0e+4+/-994.7" , "2.0e+4+/-3.1e+4" , "3.1e+4+/-1.3e+4" , "-" , 0.5 , "Not available" , 29 , 1 , " " , "-" , "-" , "-" , -9.9
20 , "PCCS1 545 G114.51-13.76 "    ,, 0.52542 , 48.29972 , 114.51928 , -13.76445 , "2832.2+/-181.1" , "5306.3+/-2709" , "4924.2+/-1206.6" , "9454.4+/-2509.2" , 0.5 , "Yes" , 17 , 1 , " " , "12.8+/-3.6" , "5.3+/-1.5" , "0.3+/-0.000" , 8.2
21 , "PCCS1 545 G116.68-03.04 "    ,, 0.58583 , 59.23306 , 116.68023 , -3.04124 , "7570.4+/-1037.7" , "1.7e+4+/-1.5e+4" , "2.4e+4+/-2837" , "-" , 0.5 , "Not available" , 24 , 1 , " " , "-" , "-" , "-" , -9.9
22 , "PCCS1 545 G114.56-13.99 "    ,, 0.66292 , 48.08778 , 114.5695 , -13.99019 , "2356.9+/-186.2" , "6910.1+/-1000.1" , "7641.5+/-968.4" , "1.3e+4+/-739.9" , 0.5 , "Yes" , 16 , 1 , " " , "15.5+/-0.4" , "6.3+/-0.5" , "64.2+/-0.000" , 9.9
23 , "PCCS1 545 G117.73+02.18 "    ,, 0.6875 , 64.55972 , 117.73166 , 2.18076 , "1.0e+4+/-1126.1" , "1.8e+4+/-1.6e+4" , "1.2e+4+/-5579.1" , "8328.7+/-5937.8" , 0.5 , "No" , 26 , 2 , " " , "5.5+/-4.1" , "4.5+/-3.3" , "22.1+/-0.000" , 5
24 , "PCCS1 545 G097.30-60.84 "    ,, 0.69667 , -0.42139 , 97.30473 , -60.84931 , "1298.9+/-103.6" , "935+/-239.2" , "779.9+/-100.9" , "-" , 0.5 , "Not available" , 2 , 0 , " " , "-" , "-" , "-" , -9.9
25 , "PCCS1 545 G106.39-45.19 "    ,, 0.80917 , 16.1225 , 106.39695 , -45.19613 , "1002.6+/-156.5" , "973.5+/-159" , "1063.8+/-79" , "1357.6+/-129.2" , 0.5 , "Yes" , 6 , 2 , " " , "12.7+/-1.3" , "5.7+/-0.6" , "20.4+/-0.000" , 8.5
26 , "PCCS1 545 G097.56-60.96 "    ,, 0.85708 , -0.47472 , 97.56709 , -60.96017 , "918.1+/-101.7" , "1140.1+/-228.7" , "915.7+/-103.4" , "1895.4+/-209.1" , 0.5 , "Yes" , 2 , 1 , " " , "12.7+/-1.3" , "5.2+/-0.7" , "35.9+/-0.000" , 8.1
27 , "PCCS1 545 G108.86-38.36 "    ,, 0.89292 , 23.19667 , 108.86489 , -38.36402 , "839.9+/-136.9" , "1286.8+/-399.3" , "1628.9+/-175.8" , "7243.6+/-629.2" , 0.5 , "Yes" , 9 , 2 , " " , "21.7+/-1.4" , "8.8+/-1" , "112.6+/-0.000" , 13.8
28 , "PCCS1 545 G105.44-48.14 "    ,, 0.9775 , 13.10167 , 105.44067 , -48.14918 , "1401.1+/-175.7" , "3318.8+/-1379.7" , "3007.6+/-367.8" , "1.2e+4+/-1508.5" , 0.5 , "Yes" , 4 , 0 , "PLCKERC545 G105.43-48.14" , "18.7+/-3" , "8.8+/-1.5" , "124.9+/-0.000" , 12.8
29 , "PCCS1 545 G108.22-40.75 "    ,, 0.9925 , 20.76083 , 108.22798 , -40.75173 , "1435.1+/-141.7" , "1790.1+/-240.1" , "1695.5+/-94.9" , "2765.9+/-190.5" , 0.5 , "No" , 4 , 2 , "PLCKERC545 G108.21-40.75" , "7.5+/-0.6" , "6.3+/-0.5" , "83.8+/-0.000" , 6.9
30 , "PCCS1 545 G109.20-37.80 "    ,, 1.03792 , 23.80611 , 109.20966 , -37.80228 , "1269.5+/-211.1" , "2562.5+/-837.9" , "2661+/-437.6" , "1.2e+4+/-1210.5" , 0.5 , "Yes" , 9 , 2 , "PLCKERC545 G109.18-37.59" , "20.7+/-1.2" , "8.4+/-1.1" , "23.1+/-0.000" , 13.2
31 , "PCCS1 545 G106.50-45.75 "    ,, 1.03958 , 15.60417 , 106.50784 , -45.75429 , "659.3+/-140" , "1053.9+/-325.1" , "866+/-136.8" , "2146.2+/-211.5" , 0.5 , "Yes" , 6 , 0 , " " , "13.3+/-0.8" , "5.4+/-0.6" , "83.9+/-0.000" , 8.5
32 , "PCCS1 545 G118.63+06.12 "    ,, 1.06333 , 68.60639 , 118.63081 , 6.12972 , "9.1e+4+/-1386.7" , "2.1e+5+/-4.2e+4" , "1.9e+5+/-8452.6" , "3.9e+5+/-2.2e+4" , 0.5 , "Yes" , 33 , 1 , "PLCKERC545 G118.62+06.14" , "11.6+/-0.7" , "7.3+/-0.5" , "33+/-0.000" , 9.2
33 , "PCCS1 545 G118.09+02.94 "    ,, 1.18792 , 65.38 , 118.09116 , 2.94822 , "8123.7+/-947.2" , "2.4e+4+/-7907.5" , "2.0e+4+/-2286.2" , "7.9e+4+/-9327.8" , 0.5 , "Yes" , 32 , 1 , " " , "20.2+/-2.4" , "8.3+/-1.3" , "89.3+/-0.000" , 12.9
34 , "PCCS1 545 G118.28+03.84 "    ,, 1.26458 , 66.29278 , 118.28639 , 3.84044 , "1.1e+4+/-1491.5" , "2.0e+4+/-8732.6" , "1.7e+4+/-3147" , "3.0e+4+/-3823.8" , 0.5 , "Yes" , 38 , 0 , " " , "11+/-1.5" , "4.5+/-0.6" , "64.6+/-0.000" , 7.1
35 , "PCCS1 545 G043.57-79.29 "    ,, 1.27083 , -24.6775 , 43.57774 , -79.29617 , "540.9+/-108.7" , "490.9+/-253.6" , "391.5+/-61" , "669.2+/-157" , 0.5 , "No" , 1 , 0 , " " , "9.2+/-2.3" , "5+/-1.2" , "26.3+/-0.000" , 6.8
36 , "PCCS1 545 G118.49+04.93 "    ,, 1.29375 , 67.40278 , 118.4972 , 4.9303 , "1.5e+4+/-1949.2" , "2.0e+4+/-1.0e+4" , "1.5e+4+/-4506.1" , "-" , 0.5 , "Not available" , 35 , 1 , " " , "-" , "-" , "-" , -9.9
37 , "PCCS1 545 G001.76-78.81 "    ,, 1.51333 , -32.45667 , 1.76919 , -78.81413 , "466.8+/-84.8" , "559.6+/-127.6" , "543.2+/-48.4" , "906.6+/-73.4" , 0.5 , "No" , 0 , 0 , " " , "7.4+/-0.6" , "6.1+/-0.5" , "114.8+/-0.000" , 6.7
38 , "PCCS1 545 G109.68-38.23 "    ,, 1.54167 , 23.46722 , 109.68288 , -38.23697 , "1620.1+/-223" , "2579.8+/-739.8" , "2262.3+/-341.9" , "5828.4+/-664" , 0.5 , "Yes" , 9 , 2 , " " , "14.6+/-0.5" , "5.9+/-0.8" , "47.7+/-0.000" , 9.3
39 , "PCCS1 545 G093.49-66.64 "    ,, 1.55375 , -6.39556 , 93.49362 , -66.64715 , "791.5+/-107.1" , "707.2+/-184.2" , "747.4+/-68.8" , "906.1+/-124.6" , 0.5 , "Yes" , 5 , 1 , " " , "8.8+/-1.3" , "6.4+/-1" , "93.1+/-0.000" , 7.5
40 , "PCCS1 545 G332.78-72.92 "    ,, 1.60667 , -41.49222 , 332.78699 , -72.92531 , "1502+/-96.4" , "1514.1+/-134.3" , "1412.8+/-73.6" , "-" , 0.5 , "Not available" , 1 , 1 , "PLCKERC545 G332.82-72.91" , "-" , "-" , "-" , -9.9
41 , "PCCS1 545 G111.76-30.77 "    ,, 1.64792 , 31.12028 , 111.76123 , -30.77675 , "547.6+/-114.3" , "229.8+/-190.6" , "169.3+/-68.6" , "-" , 0.5 , "Not available" , 3 , 0 , " " , "-" , "-" , "-" , -9.9
42 , "PCCS1 545 G099.48-60.84 "    ,, 1.67917 , -0.02194 , 99.48197 , -60.84139 , "975.2+/-120.3" , "1404.4+/-359.1" , "1263.4+/-224.6" , "3196.7+/-352.7" , 0.5 , "Yes" , 14 , 1 , "PLCKERC545 G099.50-60.84" , "14.1+/-0.9" , "5.7+/-0.8" , "26.7+/-0.000" , 9
43 , "PCCS1 545 G099.56-60.96 "    ,, 1.75958 , -0.12472 , 99.56187 , -60.96597 , "660.7+/-132.5" , "1096.6+/-869.9" , "976.5+/-198.2" , "8075.1+/-1437.1" , 0.5 , "Yes" , 13 , 1 , " " , "23.9+/-3.7" , "9.7+/-2.3" , "41.7+/-0.000" , 15.3
44 , "PCCS1 545 G118.72+05.18 "    ,, 1.76917 , 67.69694 , 118.72844 , 5.18812 , "1.3e+4+/-1132.5" , "2.6e+4+/-9187" , "3.4e+4+/-4085.9" , "2.1e+5+/-8962.9" , 0.5 , "Yes" , 33 , 2 , " " , "22.7+/-1.4" , "9.9+/-0.6" , "119.1+/-0.000" , 15
45 , "PCCS1 545 G118.38+03.15 "    ,, 1.8 , 65.63556 , 118.38622 , 3.15502 , "1.2e+4+/-1208.4" , "2.7e+4+/-1.8e+4" , "3.1e+4+/-4187.4" , "9.7e+4+/-1.7e+4" , 0.5 , "Yes" , 38 , 2 , " " , "18.4+/-1.1" , "7.4+/-1.7" , "50.6+/-0.000" , 11.7
46 , "PCCS1 545 G107.88-44.95 "    ,, 1.80667 , 16.61667 , 107.88511 , -44.95939 , "561.2+/-113.2" , "383.6+/-341.6" , "650.2+/-114.2" , "-" , 0.5 , "Not available" , 1 , 0 , " " , "-" , "-" , "-" , -9.9
47 , "PCCS1 545 G112.26-29.34 "    ,, 1.81583 , 32.61111 , 112.26468 , -29.34392 , "521.6+/-104.3" , "526.1+/-144.5" , "518.5+/-64.4" , "416.4+/-74.7" , 0.5 , "No" , 5 , 1 , " " , "5.1+/-0.9" , "4.2+/-0.8" , "172.4+/-0.000" , 4.6
48 , "PCCS1 545 G099.95-60.63 "    ,, 1.82125 , 0.25167 , 99.95027 , -60.63477 , "707.3+/-149.5" , "2066+/-549.3" , "1968.6+/-196.9" , "8333.2+/-739" , 0.5 , "Yes" , 12 , 2 , "PLCKERC545 G099.89-60.61" , "19.7+/-1.3" , "8+/-0.9" , "51.5+/-0.000" , 12.5
49 , "PCCS1 545 G111.12-34.14 "    ,, 1.83 , 27.71194 , 111.12304 , -34.1459 , "650.3+/-108.7" , "402.1+/-246.9" , "386+/-131.3" , "-" , 0.5 , "Not available" , 5 , 2 , " " , "-" , "-" , "-" , -9.9
50 , "PCCS1 545 G118.28+02.48 "    ,, 1.84375 , 64.95944 , 118.28865 , 2.48582 , "1.7e+4+/-873" , "3.7e+4+/-1.3e+4" , "3.7e+4+/-2812.6" , "9.9e+4+/-1.3e+4" , 0.5 , "Yes" , 26 , 2 , "PLCKERC545 G118.28+02.49" , "13.7+/-2.1" , "7.7+/-1.2" , "85.4+/-0.000" , 10.3
51 , "PCCS1 545 G118.69+04.79 "    ,, 1.86208 , 67.30389 , 118.69617 , 4.79477 , "2.2e+4+/-1267.7" , "6.1e+4+/-2.3e+4" , "7.8e+4+/-5314.8" , "3.2e+5+/-2.4e+4" , 0.5 , "Yes" , 38 , 2 , " " , "13.7+/-1.4" , "11.5+/-1.2" , "174+/-0.000" , 12.5
52 , "PCCS1 545 G118.68+04.66 "    ,, 1.89125 , 67.17167 , 118.68468 , 4.66259 , "1.8e+4+/-1630.8" , "4.8e+4+/-1.7e+4" , "5.1e+4+/-6025.7" , "2.6e+5+/-2.0e+4" , 0.5 , "Yes" , 37 , 2 , " " , "22.2+/-0.8" , "8.9+/-0.9" , "153.1+/-0.000" , 14.1
53 , "PCCS1 545 G107.83-45.46 "    ,, 1.895 , 16.12056 , 107.83159 , -45.46139 , "829.9+/-125" , "348+/-432" , "386.4+/-126.4" , "-" , 0.5 , "Not available" , 2 , 1 , " " , "-" , "-" , "-" , -9.9
54 , "PCCS1 545 G099.82-61.06 "    ,, 1.91 , -0.16889 , 99.82042 , -61.06023 , "707.5+/-130.4" , "693.9+/-700.1" , "1227.5+/-192.3" , "2708.9+/-508.4" , 0.5 , "Yes" , 14 , 1 , " " , "13+/-0.6" , "5.3+/-1.2" , "1.2+/-0.000" , 8.3
55 , "PCCS1 545 G099.77-61.17 "    ,, 1.92875 , -0.28194 , 99.77503 , -61.17255 , "623.2+/-120.1" , "1252.3+/-612.2" , "993.9+/-210.8" , "3888.9+/-484" , 0.5 , "Yes" , 14 , 1 , " " , "15.6+/-1" , "6.3+/-1" , "19+/-0.000" , 10
56 , "PCCS1 545 G109.52-40.52 "    ,, 1.96542 , 21.20556 , 109.52822 , -40.52914 , "844.3+/-147.6" , "1443.1+/-497.2" , "1769.4+/-256.1" , "9554.7+/-629" , 0.5 , "Yes" , 10 , 0 , "PLCKERC545 G109.47-40.50" , "19.5+/-0.7" , "7.8+/-0.7" , "50.6+/-0.000" , 12.4
57 , "PCCS1 545 G118.76+04.92 "    ,, 1.97833 , 67.44528 , 118.76435 , 4.92664 , "8503.1+/-1202.5" , "1.5e+4+/-2.3e+4" , "2.3e+4+/-7156.9" , "1.8e+5+/-2.8e+4" , 0.5 , "Yes" , 36 , 1 , " " , "22.5+/-1.6" , "9.1+/-1.9" , "173.7+/-0.000" , 14.3
58 , "PCCS1 545 G118.83+05.21 "    ,, 2.02167 , 67.73694 , 118.83003 , 5.21122 , "1.3e+4+/-1037.2" , "3.9e+4+/-1.1e+4" , "3.6e+4+/-3879.4" , "-" , 0.5 , "Not available" , 32 , 2 , " " , "-" , "-" , "-" , -9.9
59 , "PCCS1 545 G084.53-72.88 "    ,, 2.03333 , -13.32694 , 84.5391 , -72.88494 , "455.4+/-94.4" , "437+/-154.7" , "361+/-57.3" , "358.5+/-79.7" , 0.5 , "No" , 2 , 0 , " " , "6.4+/-1.5" , "4.1+/-0.9" , "153.1+/-0.000" , 5.1
60 , "PCCS1 545 G099.95-61.30 "    ,, 2.055 , -0.37444 , 99.95341 , -61.30323 , "1324.6+/-127.8" , "2268.7+/-385" , "1741.1+/-175.8" , "3250.3+/-331.9" , 0.5 , "Yes" , 11 , 2 , "PLCKERC545 G099.94-61.30" , "12.9+/-0.7" , "5.2+/-0.6" , "27.8+/-0.000" , 8.2
61 , "PCCS1 545 G116.26-09.93 "    ,, 2.06542 , 52.3725 , 116.26614 , -9.9393 , "6561.2+/-318.1" , "1.3e+4+/-3046.4" , "1.1e+4+/-941.2" , "2.3e+4+/-1806.2" , 0.5 , "Yes" , 14 , 2 , "PLCKERC545 G116.25-09.92" , "14.7+/-0.6" , "5.9+/-0.6" , "49.9+/-0.000" , 9.4
62 , "PCCS1 545 G100.21-61.52 "    ,, 2.25083 , -0.54278 , 100.21616 , -61.52903 , "716+/-133.1" , "1189.2+/-267.7" , "883.5+/-160.5" , "1675.4+/-232.7" , 0.5 , "Yes" , 10 , 2 , "PLCKERC545 G100.22-61.52" , "11.6+/-0.4" , "4.7+/-0.8" , "33.4+/-0.000" , 7.4
63 , "PCCS1 545 G109.84-40.71 "    ,, 2.26083 , 21.08167 , 109.84655 , -40.71035 , "790+/-165.6" , "986.8+/-757.9" , "1783.1+/-245.6" , "1.6e+4+/-1425.9" , 0.5 , "Yes" , 8 , 0 , " " , "26+/-2.1" , "10.5+/-1.3" , "52.7+/-0.000" , 16.6
64 , "PCCS1 545 G118.58+02.83 "    ,, 2.40125 , 65.35333 , 118.58535 , 2.83527 , "1.8e+4+/-1200.6" , "5.2e+4+/-1.5e+4" , "4.5e+4+/-5321.7" , "1.3e+5+/-1.4e+4" , 0.5 , "Yes" , 29 , 1 , "PLCKERC545 G118.59+02.82" , "14.6+/-1.9" , "7.9+/-1.1" , "117.4+/-0.000" , 10.7
65 , "PCCS1 545 G100.54-61.68 "    ,, 2.44875 , -0.63278 , 100.54245 , -61.68097 , "695.4+/-143.7" , "783+/-405.5" , "905.8+/-136.6" , "2800.3+/-381" , 0.5 , "Yes" , 9 , 2 , "PLCKERC545 G100.53-61.69" , "17.3+/-1.6" , "7.1+/-1.2" , "61.3+/-0.000" , 11
66 , "PCCS1 545 G111.35-35.99 "    ,, 2.45542 , 25.93583 , 111.35228 , -35.99831 , "615.3+/-122.1" , "532.3+/-339.9" , "584.8+/-98.2" , "-" , 0.5 , "Not available" , 4 , 2 , " " , "-" , "-" , "-" , -9.9
67 , "PCCS1 545 G118.64+03.03 "    ,, 2.47 , 65.56444 , 118.64781 , 3.0392 , "1.5e+4+/-1503.5" , "3.1e+4+/-1.2e+4" , "2.8e+4+/-4320.1" , "1.5e+5+/-1.6e+4" , 0.5 , "Yes" , 30 , 1 , " " , "21.2+/-2.6" , "8.7+/-1.2" , "172.2+/-0.000" , 13.6
68 , "PCCS1 545 G109.91-41.38 "    ,, 2.47042 , 20.43056 , 109.91496 , -41.38833 , "746+/-120.8" , "1392.2+/-977.1" , "1158.3+/-439.6" , "1447.6+/-524.6" , 0.5 , "Yes" , 7 , 1 , " " , "11.3+/-0.7" , "4.6+/-2" , "143.4+/-0.000" , 7.2
69 , "PCCS1 545 G043.62-80.42 "    ,, 2.47333 , -24.97139 , 43.62576 , -80.42643 , "1186.4+/-95.1" , "1394+/-262.5" , "1420.4+/-72.1" , "1543.9+/-130.1" , 0.5 , "No" , 1 , 2 , "PLCKERC545 G043.72-80.43" , "6.5+/-0.6" , "4.5+/-0.4" , "94.6+/-0.000" , 5.4
70 , "PCCS1 545 G116.49-10.49 "    ,, 2.57167 , 51.86333 , 116.49191 , -10.49286 , "2725.2+/-256.1" , "1.1e+4+/-4304.3" , "1.8e+4+/-1677.8" , "8.1e+4+/-6762.7" , 0.5 , "Yes" , 15 , 0 , " " , "18.1+/-2.1" , "11+/-1.3" , "74+/-0.000" , 14.1
71 , "PCCS1 545 G110.10-41.26 "    ,, 2.59083 , 20.57722 , 110.10309 , -41.26899 , "2003+/-139.3" , "4893.5+/-1490.1" , "5060.4+/-386.3" , "2.6e+4+/-2782" , 0.5 , "Yes" , 7 , 2 , "PLCKERC545 G110.08-41.25" , "22.9+/-3.3" , "9.4+/-1.4" , "137.2+/-0.000" , 14.7
72 , "PCCS1 545 G323.04-69.08 "    ,, 2.60625 , -46.40722 , 323.04239 , -69.08678 , "806.6+/-97.6" , "959+/-163" , "907.5+/-57.2" , "1680.3+/-114.7" , 0.5 , "Yes" , 2 , 1 , "PLCKERC545 G323.01-69.05" , "13.5+/-0.6" , "5.5+/-0.4" , "27.7+/-0.000" , 8.6
