_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
1 , "PCCS1 070 G118.06+04.99 "   ,, 0.15708 , 67.37472 , 118.061 , 4.985 , "4711.8+/-265.1" , "1.6e+4+/-1625.3" , "1.2e+4+/-743.7" , "6.9e+4+/-1096.2" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G118.05+04.96" , "52.7+/-0.9" , "28.5+/-0.5" , "23.7+/-1" , 38.8
2 , "PCCS1 070 G117.61+02.27 "   ,, 0.37625 , 64.62583 , 117.613 , 2.271 , "1312.8+/-160.3" , "1986.7+/-194.2" , "1517.8+/-90.9" , "1542.5+/-128.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G117.59+02.27" , "14.9+/-1.3" , "13.1+/-1.1" , "37.6+/-26.5" , 13.9
3 , "PCCS1 070 G084.57-71.13 "   ,, 1.02542 , -11.87944 , 84.568 , -71.13499 , "844.2+/-153.7" , "934.4+/-250.7" , "293.3+/-94.6" , "941.7+/-151.8" , 1.4 , "No" , 0 , 2 , " " , "19+/-3.1" , "12.4+/-2.1" , "71+/-15" , 15.4
4 , "PCCS1 070 G323.86-67.49 "   ,, 1.13917 , -47.68278 , 323.86499 , -67.495 , "550.2+/-124.8" , "545.8+/-296.1" , "232.3+/-85.4" , "532.1+/-170.4" , 1.4 , "No" , 0 , 2 , " " , "25.4+/-4.6" , "10.4+/-3.8" , "47.6+/-14.5" , 16.3
5 , "PCCS1 070 G113.16-23.66 "   ,, 1.4325 , 38.33917 , 113.164 , -23.664 , "919.3+/-184.8" , "823.1+/-239.1" , "806+/-98.1" , "1528.9+/-248.6" , 1.4 , "Yes" , 0 , 2 , " " , "34.8+/-2.9" , "14.3+/-2.7" , "128.5+/-7.3" , 22.3
6 , "PCCS1 070 G093.54-66.63 "   ,, 1.56375 , -6.37167 , 93.543 , -66.63 , "1826.8+/-152.6" , "1489.6+/-406.9" , "1448.9+/-116.7" , "852.6+/-119.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G093.57-66.63" , "13.4+/-1.9" , "9.5+/-1.4" , "90.6+/-16.5" , 11.3
7 , "PCCS1 070 G106.98-50.63 "   ,, 2.62833 , 10.97361 , 106.978 , -50.62601 , "1917.8+/-157.6" , "2129.3+/-252.9" , "2000+/-104.9" , "2127.3+/-165.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G107.00-50.62" , "15.5+/-1.2" , "13.9+/-1.1" , "68+/-28.5" , 14.7
8 , "PCCS1 070 G332.50-74.93 "   ,, 3.2325 , -39.90667 , 332.5 , -74.93201 , "545.5+/-133.6" , "597.2+/-214.7" , "510+/-81.1" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
9 , "PCCS1 070 G120.03+09.88 "   ,, 3.3025 , 72.53611 , 120.033 , 9.88 , "781+/-146.9" , "570.9+/-230.1" , "670.8+/-80.3" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G120.02+09.88" , "-" , "-" , "-" , -9.9
10 , "PCCS1 070 G115.25-21.45 "  ,, 3.39667 , 40.85556 , 115.254 , -21.451 , "1023.5+/-148.5" , "930+/-341.4" , "260.7+/-117.9" , "988.1+/-143" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G115.26-21.47" , "16+/-2.4" , "11.5+/-1.7" , "33.5+/-17.5" , 13.6
11 , "PCCS1 070 G118.56-01.28 "  ,, 3.74167 , 61.28194 , 118.564 , -1.28 , "948.6+/-146.7" , "1037.2+/-235.4" , "1395.7+/-95.4" , "397.1+/-129.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G118.57-01.29" , "10.3+/-3.4" , "7.3+/-2.4" , "106.1+/-36.6" , 8.7
12 , "PCCS1 070 G120.68+10.72 "  ,, 5.07833 , 73.45361 , 120.683 , 10.718 , "705.6+/-140.6" , "540.2+/-284.4" , "670.8+/-80.3" , "82.2+/-44.9" , 1.4 , "No" , 0 , 2 , " " , "6.4+/-4.5" , "4.2+/-2.9" , "26.1+/-56.1" , 5.2
13 , "PCCS1 070 G119.32-00.91 "  ,, 5.21042 , 61.74583 , 119.319 , -0.911 , "802.1+/-155.3" , "1539.4+/-230.7" , "1395.7+/-95.4" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G119.28-00.87" , "-" , "-" , "-" , -9.9
14 , "PCCS1 070 G120.10+01.42 "  ,, 6.35 , 64.15222 , 120.098 , 1.424 , "3164.3+/-174.9" , "3783.7+/-283.1" , "3435.8+/-128" , "4607+/-152.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G120.07+01.41" , "18.4+/-0.6" , "14.5+/-0.5" , "24.8+/-5.7" , 16.4
15 , "PCCS1 070 G117.84-27.66 "  ,, 7.35417 , 34.98972 , 117.841 , -27.664 , "764.8+/-169.8" , "747.7+/-214.5" , "593.2+/-120.7" , "379.2+/-152" , 1.4 , "No" , 0 , 2 , " " , "19.7+/-8.1" , "9.6+/-3.9" , "25.2+/-20.9" , 13.7
16 , "PCCS1 070 G067.37-86.39 "  ,, 9.56958 , -25.04639 , 67.366 , -86.386 , "642.6+/-150.1" , "483.1+/-214.7" , "430.9+/-105.8" , "233+/-73.3" , 1.4 , "No" , 0 , 2 , " " , "11.6+/-3.7" , "4.9+/-1.5" , "54.2+/-13.3" , 7.5
17 , "PCCS1 070 G115.22-64.81 "  ,, 9.58375 , -2.13556 , 115.222 , -64.811 , "757.2+/-162.7" , "936.3+/-336" , "406.1+/-101.1" , "769.5+/-138.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G115.27-64.84" , "15.1+/-2.8" , "11.3+/-2.1" , "67.5+/-25.4" , 13
18 , "PCCS1 070 G118.22-55.14 "  ,, 10.14708 , 7.62833 , 118.225 , -55.144 , "600+/-147.9" , "462.5+/-234.7" , "370.2+/-102.8" , "98.9+/-117.9" , 1.4 , "No" , 0 , 0 , " " , "12.1+/-14.6" , "10.8+/-13.2" , "143.9+/-135.3" , 11.4
19 , "PCCS1 070 G121.73-05.75 "  ,, 10.66083 , 57.09917 , 121.732 , -5.752 , "677.2+/-153.2" , "499.2+/-304.1" , "1757.9+/-478.2" , "172+/-100.6" , 1.4 , "No" , 0 , 2 , " " , "15.9+/-9.4" , "7.6+/-4.5" , "50.1+/-29.9" , 11
20 , "PCCS1 070 G097.54-87.96 "  ,, 11.89208 , -25.28194 , 97.54 , -87.96001 , "898.3+/-171.4" , "686.5+/-258.4" , "573.3+/-123.2" , "2599.9+/-357.8" , 1.4 , "Yes" , 0 , 2 , " " , "53.4+/-0.9" , "21.5+/-3.6" , "28.3+/-6.1" , 33.9
