_id ,plotkin10_name , RA, Dec, LII , BII , Redshift , SDSSclassification , RMAG , RadioFluxDensityat1.4GHz, other_name
 1 , "SDSS J000257.17-002447.3" , 0.73792 , -0.41314 , "97.39" , "-60.86" , 0.522 , "H " , 19.9 , 159.13 ,,
 2 , "SDSS J001736.90+145101.9" , 4.40375 , 14.85053 , "110.85" , "-47.23" , 0.303 , "H " , 17.9 , 58.74 ,,
 3 , "SDSS J001741.84-105613.2" , 4.42417 , -10.93703 , "95.2" , "-71.97" , 1.806 , "L " , 18.8 , 1.78 ,,
 4 , "SDSS J002142.25-090044.4" , 5.42583 , -9.01233 , "100.34" , "-70.57" , 0.648 , "H " , 19.3 , 41.96 ,,
 5 , "SDSS J002200.95+000657.9" , 5.50375 , 0.11608 , "107.18" , "-61.86" , 0.306 , "H " , 19.3 , 1.73 ,,
 6 , "SDSS J002401.28+160233.8" , 6.005 , 16.04275 , "113.37" , "-46.32" , -1 , "H " , 18.9 , 57.16 ,,
 7 , "SDSS J003514.72+151504.1" , 8.81125 , 15.25114 , "117.15" , "-47.44" , 0.76 , "H " , 16.6 , 17.48 ,,
 8 , "SDSS J003808.50+001336.5" , 9.53542 , 0.22681 , "115.72" , "-62.46" , -1 , "H " , 19.3 , 89.71 ,,
 9 , "SDSS J004054.65-091526.8" , 10.2275 , -9.25744 , "114.51" , "-71.96" , 4.976 , "H " , 20.5 , 1.02 ,,
 10 , "SDSS J005041.30-092905.1" , 12.67208 , -9.48475 , "122.32" , "-72.36" , -1 , "H " , 16 , 893.68 ,,
 11 , "SDSS J005620.07-093629.7" , 14.08333 , -9.60825 , "126.93" , "-72.45" , 0.103 , "H " , 17 , 99.35 ,,
 12 , "SDSS J005713.01+004205.9" , 14.30417 , 0.70164 , "126.02" , "-62.14" , 1.538 , "H " , 19.1 , 0.92 ,,
 13 , "SDSS J010058.18-005547.7" , 15.24208 , -0.92992 , "128.31" , "-63.71" , 0.668 , "H " , 19.2 , 31.81 ,,
 14 , "SDSS J011452.77+132537.5" , 18.71958 , 13.42708 , "131.64" , "-49.05" , -1 , "H " , 17 , 63.44 ,,
 15 , "SDSS J012227.38+151023.0" , 20.61375 , 15.17306 , "133.94" , "-47.04" , -1 , "H " , 19.5 , 38.03 ,,
 16 , "SDSS J012716.31-082128.8" , 21.81792 , -8.35803 , "148.9" , "-69.41" , -1 , "H " , 19.1 , 172.23 ,,
 17 , "SDSS J014125.83-092843.7" , 25.3575 , -9.47881 , "159.04" , "-68.77" , 0.501 , "H " , 17.2 , 517.78 ,,
 18 , "SDSS J020106.17+003400.2" , 30.27542 , 0.56672 , "156.92" , "-57.64" , 0.298 , "H " , 18.2 , 13.93 ,,
 19 , "SDSS J022039.67-004048.0" , 35.165 , -0.68 , "165.63" , "-55.97" , -1 , "H " , 20 , 0.94 ,,
 20 , "SDSS J022040.94-010410.8" , 35.17042 , -1.06967 , "166.06" , "-56.28" , 0.35 , "H " , 19.9 , 24.13 ,,
 21 , "SDSS J022048.46-084250.3" , 35.20167 , -8.71397 , "176.03" , "-61.98" , 0.525 , "H " , 18.3 , 57.35 ,,
 22 , "SDSS J022509.75+001456.1" , 36.29042 , 0.24892 , "166.21" , "-54.55" , -1 , "H " , 19.6 , 3.19 ,,
 23 , "SDSS J023813.67-092431.4" , 39.55667 , -9.40869 , "182.88" , "-59.2" , 0.419 , "H " , 19.6 , 3.03 ,,
 24 , "SDSS J024157.36+000944.1" , 40.48875 , 0.16225 , "171.69" , "-51.93" , -1 , "H " , 20.6 , 0.67 ,,
 25 , "SDSS J024302.93+004627.3" , 40.76208 , 0.77425 , "171.36" , "-51.29" , 0.41 , "H " , 19.5 , 31.38 ,,
 26 , "SDSS J024540.77+004747.2" , 41.41958 , 0.79644 , "172.11" , "-50.83" , 1.701 , "L " , 20 , 0.93 ,,
 27 , "SDSS J024716.82+001638.4" , 41.82 , 0.27733 , "173.14" , "-50.94" , 0.553 , "H " , 20 , 0.77 ,,
 28 , "SDSS J025716.22-001433.5" , 44.3175 , -0.24264 , "176.49" , "-49.57" , 1.919 , "L " , 19.5 , 0.78 ,,
 29 , "SDSS J025743.73+011144.5" , 44.43208 , 1.19569 , "175.06" , "-48.47" , 1.712 , "L " , 18.9 , 1 ,,
 30 , "SDSS J030235.78-075026.9" , 45.64875 , -7.84081 , "187.21" , "-53.46" , -1 , "H " , 20.3 , 5.6 ,,
 31 , "SDSS J030433.95-005404.6" , 46.14125 , -0.90128 , "179.14" , "-48.69" , 0.511 , "H " , 18.8 , 23.28 ,,
 32 , "SDSS J031127.79-072736.6" , 47.86542 , -7.46017 , "188.8" , "-51.45" , 0.932 , "H " , 19.1 , -1 ,,
 33 , "SDSS J031712.23-075850.3" , 49.30083 , -7.98064 , "190.75" , "-50.57" , 2.643 , "H " , 18.8 , -1 ,,
 34 , "SDSS J032343.62-011146.0" , 50.93167 , -1.19611 , "184.03" , "-45.24" , -1 , "H " , 16.8 , 29.8 ,,
 35 , "SDSS J035219.85-055044.8" , 58.0825 , -5.84578 , "194.97" , "-42.07" , 0.033 , "H " , 19.3 , -1 ,,
 36 , "SDSS J072659.52+373423.0" , 111.74792 , 37.57306 , "181.06" , "22.77" , 1.577 , "H " , 19.1 , 9.43 ,,
 37 , "SDSS J073346.80+411120.0" , 113.445 , 41.18889 , "177.66" , "25.04" , 1.878 , "H " , 18.2 , 21.4 ,,
 38 , "SDSS J073701.86+284646.0" , 114.2575 , 28.77944 , "190.79" , "21.94" , 0.272 , "H " , 18.7 , 15.85 ,,
 39 , "SDSS J074054.60+322600.9" , 115.2275 , 32.43358 , "187.33" , "23.91" , 0.946 , "H " , 18.7 , 15.37 ,,
 40 , "SDSS J074242.93+301836.1" , 115.67875 , 30.31003 , "189.67" , "23.61" , 0.495 , "H " , 19.5 , 18.58 ,,
