_id , roxa_name , RA, Dec, Redshift , Rmag , Bjmag , Vmag , Gmag , Radio_Flux_Density , X-ray_Flux, Source_classification , aox , aro , arx , X-rayLuminosityat0.1-2.4 keV, Radio_powerat1.4 GHz, Alpha_radio, other_name, LII, BII
1 , "ROXA J000345.19-110818.49" , 0.93833 , -11.13847 , 1.57 , 19.6 , 0 , 0 , 20 , 354.1 , 3.7e-13 , "QSO RLoud steep radio sp." , 1.1 , 0.61 , 0.83 , "5.895e+45" , "5.641e+34" , 0.91 , "1RXS J000345.5-1108" , "85.61" , "-70.48"
2 , "ROXA J000416.6-290235.08" , 1.06917 , -29.04308 , 0.55 , 0 , 18.2 , 17.2 , 0 , 16.1 , 1.2e-12 , "QSO RLoud" , 1.33 , 0.24 , 0.63 , "1.468e+45" , "1.970e+32" , "--" , "1RXS J000416.8-2902" , "19.76" , "-79.43"
3 , "ROXA J000559.2+160948.99" , 1.49667 , 16.16361 , 0.45 , 15.5 , 0 , 0 , 15.4 , 805.3 , 8.7e-12 , "QSO RLoud steep radio sp." , 1.28 , 0.43 , 0.74 , "6.492e+45" , "6.009e+33" , "--" , "1RXS J000559.1+1609" , "107.31" , "-45.33"
4 , "ROXA J000558.49-275858.11" , 1.49375 , -27.98281 , 0.62 , 0 , 18 , 17 , 0 , 309.1 , 1e-12 , "QSO RLoud flat radio sp." , 1.39 , 0.47 , 0.81 , "1.646e+45" , "5.088e+33" , "--" , "1RXS J000558.2-2758" , "25.47" , "-79.9"
5 , "ROXA J000622.6-000424.38" , 1.59417 , -0.07344 , 1.04 , 19.5 , 0 , 0 , 20 , 3898.2 , 6.2e-13 , "QSO RLoud steep radio sp." , 1.04 , 0.89 , 0.98 , "3.542e+45" , "2.227e+35" , "--" , "1RXS J000623.0-0004" , "99.28" , "-60.86"
6 , "ROXA J001130.4+005751.8" , 2.87667 , 0.96439 , 1.49 , 20.3 , 0 , 0 , 20.4 , 167.3 , 5.4e-13 , "QSO RLoud flat radio sp." , 0.95 , 0.67 , 0.82 , "7.587e+45" , "2.350e+34" , 0.15 , "1RXS J001129.6+0058" , "102.44" , "-60.31"
7 , "ROXA J001339.1-322443.88" , 3.41292 , -32.41219 , 0.26 , 0 , 18.5 , 0 , 0 , 155.7 , 4.7e-13 , "Radio Galaxy-galaxy dominated" , 1.23 , 0.58 , 0.81 , "9.761e+43" , "3.234e+32" , "--" , "1RXS J001338.8-3224" , "357.85" , "-80.26"
8 , "ROXA J002300.6+144656.6" , 5.7525 , 14.78239 , 0.39 , 18.4 , 0 , 0 , 20.5 , 7.5 , 8.3e-13 , "BL Lac" , 1.08 , 0.34 , 0.61 , "4.307e+44" , "3.892e+31" , "--" , "1RXS J002302.3+1446" , "112.72" , "-47.53"
9 , "ROXA J002430.1-292855.3" , 6.12542 , -29.48203 , 0.41 , 0 , 17.5 , 20 , 0 , 2923.9 , 4.2e-12 , "QSO RLoud steep radio sp." , 0.7 , 0.91 , 0.85 , "2.455e+45" , "1.709e+34" , "--" , "1RXS J002430.5-2928" , "9.71" , "-83.63"
10 , "ROXA J002435.89-123541.89" , 6.14958 , -12.59497 , 0.19 , 0 , 18.8 , 0 , 0 , 62.3 , 4e-13 , "Radio Galaxy-galaxy dominated" , 1.22 , 0.53 , 0.77 , "4.244e+43" , "6.611e+31" , "--" , "1RXS J002435.3-1235" , "98.23" , "-74.17"
