other_name, _id , uhecr_name , Energy , Elevation , RA, Dec , Galactic_Longitude, Galactic_Latitude , MJD , DATE
---,1 , AUGER , 67 , 56.2 , 0 , -15.4 , 74.79 , -73.26 , 54863 , 2009-02-01
---,2 , AUGER , 70.3 , 56.2 , 0 , -15.4 , 74.79 , -73.26 , 54863 , 2009-02-01
---,3 , AUGER , 52.2 , 44.6 , 0.4 , -68.1 , 309.88 , -48.36 , 56455 , 2013-06-12
---,4 , HiRes , 14.3 , N/A , 0.57792 , 56.662 , 116.18 , -5.57 , 52968 , 2003-11-25
---,5 , HiRes , 28.4 , N/A , 1.68792 , 29.777 , 111.48 , -32.1 , 52643 , 2003-01-04
---,6 , HiRes , 21.3 , N/A , 1.82667 , 48.021 , 115.34 , -14.2 , 53614 , 2005-09-01
---,7 , AUGER , 54.9 , 41.7 , 2.3 , -49.2 , 320.38 , -66.48 , 56706 , 2014-02-18
---,8 , AGASA , 42.4 , N/A , 3 , 78.6 , 120.91 , 15.88 , 0 , ----------
---,9 , HiRes , 28.7 , N/A , 3.05167 , 78.963 , 120.98 , 16.24 , 53460 , 2005-03-31
---,10 , HiRes , 10.8 , N/A , 4.17083 , 4.237 , 106.63 , -57.53 , 53680 , 2005-11-06
---,11 , HiRes , 16.2 , N/A , 4.49375 , 12.863 , 110.39 , -49.2 , 52939 , 2003-10-27
---,12 , AUGER , 70.2 , 31 , 4.6 , -37.9 , 333.67 , -77.19 , 55877 , 2011-11-12
---,13 , HiRes , 11.8 , N/A , 5.18667 , 45.331 , 117.29 , -17.21 , 52934 , 2003-10-22
---,14 , AUGER , 57 , 31.4 , 5.4 , -5.6 , 103.34 , -67.33 , 55157 , 2009-11-22
---,15 , HiRes , 20.9 , N/A , 7.18292 , 11.138 , 113.99 , -51.34 , 52171 , 2001-09-19
---,16 , AUGER , 58 , 27.8 , 8.4 , -61.5 , 306.68 , -55.5 , 55491 , 2010-10-22
---,17 , AGASA , 55.3 , N/A , 8.5 , 17.7 , 117.05 , -44.98 , 0 , ----------
---,18 , Yakutsk , 41 , 54.9 , 8.7 , 36.3 , 119.18 , -26.45 , 0 , ----------
---,19 , HiRes , 44.4 , N/A , 9.50875 , 32.484 , 119.65 , -30.31 , 53434 , 2005-03-05
---,20 , HiRes , 30.8 , N/A , 9.56083 , 21.013 , 118.8 , -41.76 , 52994 , 2003-12-21
---,21 , HiRes , 28.1 , N/A , 9.89792 , 1.359 , 116.74 , -61.37 , 53285 , 2004-10-07
---,22 , HiRes , 85.6 , N/A , 10.57 , 14.982 , 119.63 , -47.83 , 52823 , 2003-07-03
---,23 , HiRes , 15.8 , N/A , 10.78 , -3.008 , 117.86 , -65.8 , 53642 , 2005-09-29
---,24 , AUGER , 73.7 , 31.1 , 12.3 , -40.7 , 304.73 , -76.43 , 55473 , 2010-10-04
---,25 , AUGER , 54.6 , 71.5 , 12.7 , -56.6 , 303.11 , -60.53 , 53181 , 2004-06-25
---,26 , HiRes , 10.1 , N/A , 13.70375 , 26.686 , 123.86 , -36.18 , 52963 , 2003-11-20
---,27 , AUGER , 62.4 , 31.8 , 15.3 , -3.6 , 129.01 , -66.36 , 55938 , 2012-01-12
---,28 , HiRes , 30.2 , N/A , 15.50375 , 7.122 , 127.58 , -55.66 , 51819 , 2000-10-02
---,29 , AUGER , 64.7 , 42.8 , 15.6 , -17.1 , 137.67 , -79.66 , 54761 , 2008-10-22
