_id , wdsdssdr10_name , RA , Dec , LII , BII , Umag , Gmag , Rmag , Imag , Zmag , Proper motion , Effective temperature , WD mass , LogCa , LogC , LogC1 , LogC2, other_name 
1 , "SDSS_J000111.59p000342.51" , 0.29833 , 0.06181 , "96.93" , "-60.25" , 19.21 , 19.26 , 19.33 , 19.39 , 19.55 , 0 , 11323 , "--" , "--" , "--" , "--" , "--" ,'---'
2 , "SDSS_J000116.39p000204.41" , 0.31833 , 0.03456 , "96.95" , "-60.29" , 18.87 , 18.78 , 18.9 , 19.04 , 19.23 , 5.46 , 11107 , "--" , "--" , "--" , "--" , "--" ,'---'
3 , "SDSS_J000216.0p120309.28" , 0.56667 , 12.05258 , "104.41" , "-49.05" , 22.88 , 22.02 , 21.97 , 22.2 , 22.38 , 0 , 10464 , "0.79+/-0.13" , "--" , "--" , "--" , "--" ,'---'
4 , "SDSS_J000243.09p073856.18" , 0.67958 , 7.64894 , "102.46" , "-53.28" , 17.67 , 17.52 , 17.86 , 18.11 , 18.38 , 1.41 , 20153 , "0.72+/-0" , "--" , "--" , "--" , "--" ,'---'
5 , "SDSS_J000247.2p101144.08" , 0.69667 , 10.19558 , "103.75" , "-50.86" , 20.84 , 19.71 , 19 , 18.88 , 18.76 , 0 , 6302 , "--" , "--" , "--" , "--" , "--" ,'---'
6 , "SDSS_J000257.79p114718.99" , 0.74083 , 11.78861 , "104.54" , "-49.35" , 23.05 , 22.21 , 21.94 , 22.32 , 22.57 , 0 , 12628 , "1.24+/-0.14" , "--" , "--" , "--" , "--" ,'---'
7 , "SDSS_J000307.79p111732.38" , 0.7825 , 11.29233 , "104.38" , "-49.84" , 22.71 , 21.95 , 21.79 , 21.93 , 21.04 , 0 , 10235 , "0.66+/-0.19" , "--" , "--" , "--" , "--" ,'---'
8 , "SDSS_J000310.3p071801.11" , 0.79292 , 7.30031 , "102.45" , "-53.65" , 18.11 , 18.28 , 18.68 , 18.96 , 19.24 , 1.89 , 30455 , "0.7+/-0" , "--" , "--" , "--" , "--" ,'---'
9 , "SDSS_J000316.3p133829.18" , 0.81792 , 13.64144 , "105.43" , "-47.59" , 23.03 , 22.2 , 22.21 , 22.62 , 21.96 , 0 , 11045 , "0.49+/-0.18" , "--" , "--" , "--" , "--" ,'---'
10 , "SDSS_J000321.59m015310.78" , 0.84 , -1.88633 , "96.37" , "-62.26" , 19.24 , 19.19 , 19.3 , 19.48 , 19.71 , 5 , 6039 , "0.58+/-0.22" , "--" , "--" , "--" , "--" ,'---'
11 , "SDSS_J000324.9p123608.78" , 0.85375 , 12.60244 , "105.05" , "-48.6" , 21.46 , 20.92 , 20.9 , 20.96 , 20.54 , 3.4 , 10133 , "0.95+/-0.11" , "--" , "--" , "--" , "--" ,'---'
12 , "SDSS_J000342.4p025502.31" , 0.92667 , 2.91731 , "100.11" , "-57.83" , 22.62 , 22.05 , 22.11 , 22.18 , 21.8 , 0 , 14136 , "0.94+/-0.14" , "--" , "--" , "--" , "--" ,'---'
13 , "SDSS_J000346.2m025433.01" , 0.9425 , -2.90917 , "95.68" , "-63.23" , 19.56 , 19.12 , 18.93 , 18.89 , 18.87 , 2.24 , 7111 , "0.5+/-0.04" , "--" , "--" , "--" , "--" ,'---'
14 , "SDSS_J000346.9p032528.7" , 0.94542 , 3.42464 , "100.47" , "-57.36" , 21.67 , 21.07 , 21.11 , 21.05 , 21.52 , 0 , 8597 , "0.77+/-0.14" , "--" , "--" , "--" , "--" ,'---'
15 , "SDSS_J000349.99p040511.5" , 0.95833 , 4.08653 , "100.9" , "-56.74" , 21.26 , 20.82 , 20.81 , 20.81 , 20.89 , 0 , 11484 , "0.61+/-0.09" , "--" , "--" , "--" , "--" ,'---'
16 , "SDSS_J000350.99p025721.59" , 0.9625 , 2.956 , "100.2" , "-57.8" , 21.18 , 20.82 , 20.9 , 20.85 , 20.81 , 0 , 9550 , "0.61+/-0.07" , "--" , "--" , "--" , "--" ,'---'
17 , "SDSS_J000426.59m003826.19" , 1.11083 , -0.64061 , "97.92" , "-61.21" , 16.15 , 16.45 , 16.98 , 17.35 , 17.68 , 0 , 41000 , "--" , "--" , "--" , "--" , "--" ,'---'
18 , "SDSS_J000428.6p062124.8" , 1.11917 , 6.35689 , "102.48" , "-54.64" , 18.92 , 18.88 , 19.21 , 19.5 , 19.7 , 0 , 22463 , "0.6+/-0" , "--" , "--" , "--" , "--" ,'---'
19 , "SDSS_J000436.7p011932.91" , 1.15292 , 1.32581 , "99.45" , "-59.4" , 22.08 , 21.39 , 21.33 , 21.51 , 21.63 , 0 , 10402 , "0.76+/-0.12" , "--" , "--" , "--" , "--" ,'---'
20 , "SDSS_J000440.39p125738.91" , 1.16833 , 12.96081 , "105.65" , "-48.34" , 23.01 , 22.34 , 22.59 , 22.42 , 21.7 , 0 , 10779 , "0.84+/-0.25" , "--" , "--" , "--" , "--" ,'---'
21 , "SDSS_J000502.5m031011.71" , 1.26042 , -3.16992 , "96.09" , "-63.6" , 17.76 , 17.69 , 17.99 , 18.27 , 18.56 , 1.34 , 19956 , "0.62+/-0.01" , "--" , "--" , "--" , "--" ,'---'
22 , "SDSS_J000502.69p112316.11" , 1.26125 , 11.38781 , "105.12" , "-49.88" , 22.68 , 21.93 , 21.79 , 22.08 , 22.23 , 0 , 11201 , "0.44+/-0.14" , "--" , "--" , "--" , "--" ,'---'
23 , "SDSS_J000510.39p074538.69" , 1.29333 , 7.76075 , "103.49" , "-53.36" , 19.56 , 19.14 , 19.27 , 19.45 , 19.65 , 6.88 , 15127 , "0.67+/-0" , "--" , "--" , "--" , "--" ,'---'
24 , "SDSS_J000515.49p054343.21" , 1.31458 , 5.72867 , "102.45" , "-55.3" , 21.01 , 20.47 , 20.45 , 20.57 , 20.58 , 0 , 9509 , "0.71+/-0.16" , "--" , "--" , "--" , "--" ,'---'
25 , "SDSS_J000515.49p071313.69" , 1.31458 , 7.22047 , "103.25" , "-53.88" , 17.88 , 17.94 , 18.24 , 18.53 , 18.72 , 5.92 , 18601 , "0.6+/-0.01" , "--" , "--" , "--" , "--" ,'---'
26 , "SDSS_J000544.8p072244.79" , 1.43667 , 7.37911 , "103.52" , "-53.77" , 19.6 , 19.23 , 19.28 , 19.36 , 19.5 , 6.49 , 9555 , "0.95+/-0.01" , "--" , "--" , "--" , "--" ,'---'
27 , "SDSS_J000552.0p064920.2" , 1.46667 , 6.82228 , "103.29" , "-54.31" , 16.74 , 16.62 , 16.97 , 17.23 , 17.46 , 0 , 25314 , "--" , "--" , "--" , "--" , "--" ,'---'
28 , "SDSS_J000603.7p075514.19" , 1.51542 , 7.92061 , "103.92" , "-53.27" , 18.34 , 18 , 18 , 18.04 , 18.12 , 5.28 , 9000 , "--" , "--" , "--" , "--" , "--" ,'---'
29 , "SDSS_J000607.79m010321.2" , 1.5325 , -1.05589 , "98.41" , "-61.76" , 17.02 , 17.48 , 17.92 , 18.26 , 18.51 , 0 , 49412 , "--" , "--" , "--" , "--" , "--" ,'---'
30 , "SDSS_J000612.89p120924.8" , 1.55375 , 12.15689 , "105.87" , "-49.21" , 22.36 , 21.99 , 21.92 , 21.83 , 21.75 , 0 , 11429 , "0.62+/-0.15" , "--" , "--" , "--" , "--" ,'---'
31 , "SDSS_J000639.9m002337.78" , 1.66625 , -0.39383 , "99.18" , "-61.19" , 20.73 , 20.25 , 20.59 , 20.79 , 20.88 , 3.62 , 13635 , "0.6+/-0.04" , "--" , "--" , "--" , "--" ,'---'
32 , "SDSS_J000652.8p064536.79" , 1.72 , 6.76022 , "103.67" , "-54.44" , 18.75 , 18.74 , 19.08 , 19.34 , 19.54 , 4.39 , 25819 , "0.62+/-0" , "--" , "--" , "--" , "--" ,'---'
33 , "SDSS_J000700.89m024956.89" , 1.75375 , -2.83247 , "97.41" , "-63.48" , 19.16 , 18.65 , 18.56 , 18.54 , 18.63 , 13.18 , 8377 , "0.54+/-0.02" , "--" , "--" , "--" , "--" ,'---'
34 , "SDSS_J000746.9p082236.01" , 1.94542 , 8.37667 , "104.81" , "-52.96" , 17.2 , 16.93 , 17.24 , 17.5 , 17.76 , 8.1 , 16624 , "0.68+/-0" , "--" , "--" , "--" , "--" ,'---'
35 , "SDSS_J000755.99p055723.4" , 1.98333 , 5.9565 , "103.69" , "-55.29" , 21.05 , 20.52 , 20.5 , 20.04 , 19.49 , 0 , 14393 , "0.4+/-0.2" , "--" , "--" , "--" , "--" ,'---'
36 , "SDSS_J000833.7m030201.78" , 2.14042 , -3.03383 , "98.04" , "-63.82" , 22.65 , 22.05 , 22.12 , 22.06 , 22.19 , 0 , 9953 , "0.34+/-0.17" , "--" , "--" , "--" , "--" ,'---'
37 , "SDSS_J000835.1p075324.5" , 2.14625 , 7.89014 , "104.91" , "-53.48" , 18.35 , 18.33 , 18.58 , 18.83 , 19.14 , 3 , 26747 , "0.65+/-0" , "--" , "--" , "--" , "--" ,'---'
38 , "SDSS_J000851.4p110241.2" , 2.21417 , 11.04478 , "106.38" , "-50.46" , 20.65 , 19.99 , 19.76 , 19.73 , 19.72 , 6 , 9629 , "--" , "--" , "--" , "--" , "--" ,'---'
39 , "SDSS_J000853.69m014412.8" , 2.22375 , -1.73689 , "99.26" , "-62.64" , 21.11 , 20.72 , 20.53 , 20.52 , 20.43 , 3.61 , 7475 , "0.63+/-0.17" , "--" , "--" , "--" , "--" ,'---'
40 , "SDSS_J000914.2p030206.0" , 2.30917 , 3.035 , "102.65" , "-58.17" , 22.18 , 21.57 , 21.73 , 21.73 , 21.67 , 0 , 11932 , "0.84+/-0.17" , "--" , "--" , "--" , "--" ,'---'
41 , "SDSS_J000914.29p092455.18" , 2.30958 , 9.41533 , "105.85" , "-52.05" , 24.21 , 24.37 , 22.49 , 21.5 , 20.39 , 0 , 6368 , "--" , "--" , "--" , "--" , "--" ,'---'
42 , "SDSS_J000933.29p082857.1" , 2.38875 , 8.48253 , "105.56" , "-52.97" , 19.7 , 19.22 , 19.29 , 19.38 , 19.57 , 5.6 , 10326 , "0.62+/-0" , "--" , "--" , "--" , "--" ,'---'
43 , "SDSS_J000947.8p061930.89" , 2.44917 , 6.32525 , "104.65" , "-55.07" , 20.96 , 20.46 , 20.54 , 20.59 , 20.48 , 0 , 16084 , "0.6+/-0" , "--" , "--" , "--" , "--" ,'---'
44 , "SDSS_J000949.99p015219.59" , 2.45833 , 1.87211 , "102.22" , "-59.32" , 20.69 , 20.01 , 19.95 , 20.06 , 19.94 , 1.52 , 8295 , "--" , 8.72 , "--" , "--" , "--" ,'---'
45 , "SDSS_J000957.19m013341.4" , 2.48833 , -1.5615 , "99.94" , "-62.57" , 20.94 , 20.47 , 20.59 , 20.34 , 20.04 , 0 , 10423 , "0.5+/-0.05" , "--" , "--" , "--" , "--" ,'---'
46 , "SDSS_J001004.49m003322.1" , 2.51875 , -0.55614 , "100.73" , "-61.64" , 22.73 , 22.16 , 22.07 , 21.94 , 21.69 , 0 , 9152 , "0.26+/-0.09" , "--" , "--" , "--" , "--" ,'---'
47 , "SDSS_J001023.69p122134.2" , 2.59875 , 12.3595 , "107.46" , "-49.28" , 22.07 , 21.6 , 21.31 , 21.54 , 21.69 , 0 , 9095 , "0.99+/-0.19" , "--" , "--" , "--" , "--" ,'---'
48 , "SDSS_J001036.49p023658.6" , 2.65208 , 2.61628 , "103.02" , "-58.67" , 20.37 , 19.96 , 19.95 , 19.99 , 20.03 , 0 , 8692 , "0.96+/-0.05" , "--" , "--" , "--" , "--" ,'---'
49 , "SDSS_J001050.2p242946.6" , 2.70917 , 24.49628 , "111.27" , "-37.46" , 20.38 , 19.67 , 19.35 , 19.28 , 19.3 , 4 , 6342 , "--" , "--" , "--" , "--" , "--" ,'---'
50 , "SDSS_J001058.69p115629.9" , 2.74458 , 11.94164 , "107.52" , "-49.72" , 21.73 , 21.12 , 21.09 , 20.98 , 21.47 , 32.84 , 10072 , "0.54+/-0.1" , "--" , "--" , "--" , "--" ,'---'
51 , "SDSS_J001219.09p101200.9" , 3.07958 , 10.20025 , "107.35" , "-51.49" , 22.83 , 21.72 , 21.6 , 21.38 , 20.87 , 0 , 8078 , "0.25+/-0.19" , "--" , "--" , "--" , "--" ,'---'
52 , "SDSS_J001232.59p062601.39" , 3.13583 , 6.43372 , "105.85" , "-55.15" , 19.04 , 18.91 , 19.22 , 19.48 , 19.71 , 0 , 19973 , "0.64+/-0" , "--" , "--" , "--" , "--" ,'---'
53 , "SDSS_J001405.99p110822.3" , 3.525 , 11.13953 , "108.38" , "-50.68" , 22.22 , 21.59 , 21.37 , 21.57 , 21.65 , 0 , 8441 , "0.9+/-0.2" , "--" , "--" , "--" , "--" ,'---'
54 , "SDSS_J001500.59p022300.38" , 3.7525 , 2.38344 , "104.93" , "-59.21" , 22.2 , 21.72 , 21.84 , 21.8 , 21.89 , 0 , 9991 , "0.5+/-0.17" , "--" , "--" , "--" , "--" ,'---'
55 , "SDSS_J001508.59p021130.8" , 3.78583 , 2.19189 , "104.89" , "-59.41" , 21.29 , 20.94 , 20.87 , 20.87 , 20.92 , 0 , 8450 , "0.68+/-0.11" , "--" , "--" , "--" , "--" ,'---'
56 , "SDSS_J001510.69p074105.49" , 3.79458 , 7.68486 , "107.49" , "-54.1" , 19.31 , 19.26 , 19.45 , 19.64 , 19.77 , 0 , 19000 , "0.63+/-0.07" , "--" , "--" , "--" , "--" ,'---'
57 , "SDSS_J001554.79p011609.08" , 3.97833 , 1.26919 , "104.75" , "-60.35" , 21.34 , 20.98 , 20.99 , 20.94 , 20.96 , 2.61 , 8282 , "0.66+/-0.16" , "--" , "--" , "--" , "--" ,'---'
58 , "SDSS_J001558.3p062732.0" , 3.99292 , 6.45889 , "107.31" , "-55.34" , 20.82 , 20.34 , 20.3 , 20.3 , 20.37 , 0 , 8910 , "0.52+/-0.06" , "--" , "--" , "--" , "--" ,'---'
59 , "SDSS_J001558.69p014034.6" , 3.99458 , 1.67628 , "105.01" , "-59.96" , 21.33 , 20.94 , 20.92 , 20.94 , 20.95 , 0 , 8275 , "0.59+/-0.19" , "--" , "--" , "--" , "--" ,'---'
60 , "SDSS_J001602.59m023149.4" , 4.01083 , -2.53039 , "102.42" , "-63.99" , 20.61 , 20.09 , 20.1 , 20.12 , 19.96 , 0 , 8761 , "0.96+/-0.06" , "--" , "--" , "--" , "--" ,'---'
61 , "SDSS_J001611.4m030806.61" , 4.0475 , -3.13517 , "102.06" , "-64.57" , 20.9 , 20.42 , 20.37 , 20.28 , 20.23 , 0 , 7623 , "0.24+/-0.04" , "--" , "--" , "--" , "--" ,'---'
62 , "SDSS_J001612.6p014216.7" , 4.0525 , 1.70464 , "105.14" , "-59.95" , 22.27 , 21.38 , 21.52 , 21.83 , 21.27 , 0 , 11742 , "0.45+/-0.13" , "--" , "--" , "--" , "--" ,'---'
63 , "SDSS_J001623.99p082156.98" , 4.1 , 8.36583 , "108.25" , "-53.51" , 18.56 , 18.3 , 18.59 , 18.83 , 19.1 , 0 , 16451 , "0.58+/-0" , "--" , "--" , "--" , "--" ,'---'
64 , "SDSS_J001654.19p070430.0" , 4.22583 , 7.075 , "107.95" , "-54.79" , 15.62 , 15.88 , 16.28 , 16.57 , 16.76 , 0.72 , 34123 , "--" , "--" , "--" , "--" , "--" ,'---'
65 , "SDSS_J001655.3p050442.09" , 4.23042 , 5.07836 , "107.12" , "-56.73" , 19.14 , 18.63 , 18.51 , 18.49 , 18.42 , 11.22 , 6889 , "0.47+/-0.04" , "--" , "--" , "--" , "--" ,'---'
66 , "SDSS_J001703.7p023008.71" , 4.26542 , 2.50242 , "105.96" , "-59.24" , 22.11 , 21.58 , 21.47 , 21.5 , 22.01 , 0 , 9561 , "--" , 7.73 , "--" , "--" , "--" ,'---'
67 , "SDSS_J001707.09p040145.3" , 4.27958 , 4.02925 , "106.73" , "-57.76" , 21.59 , 20.95 , 21.04 , 20.63 , 20.2 , 2.41 , 14868 , "0.76+/-0.1" , "--" , "--" , "--" , "--" ,'---'
68 , "SDSS_J001800.0p041135.3" , 4.5 , 4.19314 , "107.2" , "-57.66" , 21.15 , 20.71 , 20.66 , 20.81 , 20.58 , 0 , 10729 , "0.66+/-0.05" , "--" , "--" , "--" , "--" ,'---'
69 , "SDSS_J001808.5p090018.0" , 4.53542 , 9.005 , "109.19" , "-52.98" , 21.7 , 20.95 , 21.01 , 20.83 , 20.46 , 0 , 15964 , "0.38+/-0.07" , "--" , "--" , "--" , "--" ,'---'
70 , "SDSS_J001808.89p045747.01" , 4.53708 , 4.96306 , "107.61" , "-56.92" , 20.31 , 19.95 , 19.89 , 19.92 , 19.83 , 1.56 , 8988 , "0.48+/-0" , "--" , "--" , "--" , "--" ,'---'
