_id , wfccat_name, other_name , RA , Dec , LII , BII , 2-10keV_flux , ObsCode , Distance_Ref , Mean_distance_Ref , Num_detections , Classification , Ra_ref , Dec_ref , Error_radius , 2-8keV_SNR , 8-19keV_SNR , 2-8keV_SNR-sigthres_ratio , Emptyimage_sigthres , Quality_flag , Source_Name , Notes
1   , "SAXWFC J0025.5+6407.3"   ,  "Tycho"   ,  6.36958   ,  64.12189   ,  "120.1"   ,  "1.39"   ,  1.76e-10   ,  "2006000200"   ,  1.07   ,  1.73   ,  105   ,  "SNR Shell "   ,  "00 22 37.2"   ,  "+63 51 42.22"   ,  1.3   ,  24.89   ,  1.4   ,  13.02   ,  1.83677   ,  9   ,  "Tycho"   ,  "---"
2   , "SAXWFC J0028.7+5917.2"   ,  "V709Cas"   ,  7.18625   ,  59.28658   ,  "120.03"   ,  "-3.46"   ,  4.74e-11   ,  "5147200300"   ,  0.46   ,  1.37   ,  9   ,  "CV "   ,  "00 26 00.95"   ,  "+59 00 47.8"   ,  3.4   ,  7.78   ,  2.8   ,  4.95   ,  1.46473   ,  9   ,  "V709Cas"   ,  "---"
3   , "SAXWFC J0035.9+5949.7"   ,  "1ES0033+595"   ,  8.9675   ,  59.82839   ,  "120.97"   ,  "-2.99"   ,  8.25e-11   ,  "5135000100"   ,  0.4   ,  1.17   ,  10   ,  "BL Lac"   ,  "00 33 01.91"   ,  "+59 33 35.06"   ,  1.5   ,  12.66   ,  3.1   ,  5.92   ,  2.03712   ,  9   ,  "1ES0033+595"   ,  "---"
4   , "SAXWFC J0037.0+6121.0"   ,  "IGRJ00370+6122"   ,  9.25708   ,  61.35078   ,  "121.2"   ,  "-1.48"   ,  1.2e-10   ,  "5086300500"   ,  1.06   ,  1.3   ,  6   ,  "HMXRB"   ,  "00 34 17.03"   ,  "+61 05 01.39"   ,  1.4   ,  16.93   ,  5.4   ,  10.21   ,  1.56685   ,  9   ,  "IGRJ00370+6122"   ,  "---"
5   , "SAXWFC J0051.8-7217.5"   ,  "SMCX-3"   ,  12.9375   ,  -72.292   ,  "302.89"   ,  "-44.84"   ,  9.25e-11   ,  "5116100210"   ,  8.74   ,  0   ,  1   ,  "HMXRB"   ,  "00 50 19.43"   ,  "-72 42 24.33"   ,  1.4   ,  15.8   ,  6.4   ,  11.73   ,  1.34268   ,  9   ,  "SMCX-3"   ,  "---"
6   , "SAXWFC J0052.3-7319.3"   ,  "RXJ0052-7319"   ,  13.08375   ,  -73.32139   ,  "302.84"   ,  "-43.81"   ,  1.56e-10   ,  "5018200100"   ,  0.49   ,  0.85   ,  12   ,  "HMXRB Be star"   ,  "00 50 29.51"   ,  "-73 35 36.7"   ,  1.3   ,  26.82   ,  10.7   ,  13.14   ,  2.03089   ,  9   ,  "RXJ0052-7319"   ,  "---"
7   , "SAXWFC J0053.2-7438.8"   ,  "CFTuc"   ,  13.28958   ,  -74.64728   ,  "302.77"   ,  "-42.49"   ,  6.32e-11   ,  "6116900100"   ,  0.79   ,  0.56   ,  2   ,  "RS CVn star"   ,  "00 51 19.92"   ,  "-74 55 23.41"   ,  1.6   ,  11.05   ,  5.3   ,  5.81   ,  1.8664   ,  9   ,  "CFTuc"   ,  "---"
8   , "SAXWFC J0054.3-7340.2"   ,  "SMCX-2"   ,  13.58208   ,  -73.67019   ,  "302.65"   ,  "-43.46"   ,  1.31e-10   ,  "6084300200"   ,  1.28   ,  2.89   ,  2   ,  "HMXRB"   ,  "00 52 53.04"   ,  "-73 57 18.86"   ,  2   ,  5.74   ,  3.9   ,  3.08   ,  1.85122   ,  5   ,  "SMCX-2"   ,  "---"
9   , "SAXWFC J0056.7+6043.4"   ,  "GammaCas"   ,  14.18708   ,  60.72408   ,  "123.58"   ,  "-2.14"   ,  1.63e-10   ,  "6108700100"   ,  0.54   ,  0.95   ,  72   ,  "HMXRB Be star"   ,  "00 53 40.31"   ,  "+60 26 47.14"   ,  1.3   ,  32.25   ,  11.1   ,  10.84   ,  2.766   ,  9   ,  "GammaCas"   ,  "---"
10   , "SAXWFC J0111.3-7317.2"   ,  "XTEJ0111-7317"   ,  17.82542   ,  -73.287   ,  "300.95"   ,  "-43.77"   ,  5.72e-10   ,  "5070700100"   ,  0.68   ,  0.82   ,  17   ,  "HMXRB Be star"   ,  "01 09 45.6"   ,  "-73 32 39.83"   ,  1.3   ,  124.18   ,  59.2   ,  62.09   ,  1.91019   ,  9   ,  "XTEJ0111-7317"   ,  "---"
11   , "SAXWFC J0118.0+6517.7"   ,  "2S0114+65"   ,  19.50958   ,  65.29519   ,  "125.7"   ,  "2.56"   ,  2.83e-10   ,  "5089100200"   ,  0.4   ,  0.9   ,  48   ,  "HMXRB supergiant"   ,  "01 14 41.75"   ,  "+65 01 31.87"   ,  1.3   ,  57.7   ,  44.9   ,  41.8   ,  1.33846   ,  9   ,  "2S0114+65"   ,  "---"
12   , "SAXWFC J0118.5+6343.8"   ,  "4U0115+634"   ,  19.62417   ,  63.72978   ,  "125.92"   ,  "1.01"   ,  1.63e-9   ,  "2006100100"   ,  0.65   ,  1.24   ,  10   ,  "HMXRB Be star"   ,  "01 15 13.67"   ,  "+63 28 37.59"   ,  1.3   ,  79.19   ,  56.1   ,  27.95   ,  2.45736   ,  9   ,  "4U0115+634"   ,  "---"
