_id ,wmap3_name  , RA, Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
1 , "WMAP3 J0006-0622" , 1.5575 , -6.39306 , "93.5" , "-66.65" , 0.347 , "Blazar Q-type" , 2463 , 2051 , 2400 , 2200 , 2300 , 2300 , "2064" , 358.1758 , "PKS0003-066 "
2 , "WMAP3 J0012-3953" , 3.24958 , -39.90694 , "332.46" , "-74.95" , 0 , "Blazar B-type" , 921 , 828 , 1400 , 1300 , 1000 , 1500 , "1346" , 343.595 , "PKS0010-401 "
3 , "WMAP3 J0019+2019" , 4.9075 , 20.3625 , "112.89" , "-41.89" , 0 , "Blazar B-type" , 710 , 983 , 1100 , 1100 , 900 , 1900 , "1705" , 12.0905 , "PKS0017+200 "
4 , "WMAP3 J0019+2602" , 4.91333 , 26.04583 , "114.06" , "-36.28" , 0.284 , "Blazar Q-type" , 435 , 684 , 1100 , 1100 , 900 , 800 , "718" , 14.6265 , "4C25.01 "
5 , "WMAP3 J0025-2604" , 6.45458 , -26.03694 , "42.29" , "-84.17" , 0.322 , "Misd. NT-AGN RGal-type" , 3745 , 8753 , 1000 , 800 , 0 , 0 , "615" , 354.0551 , "PKS0023-26 "
6 , "WMAP3 J0026-3511" , 6.56833 , -35.21361 , "335" , "-80.3" , 0 , "Unidentified " , 121 , 0 , 1000 , 1000 , 1200 , 1200 , "1077" , 349.2622 , "PMNJ0026-3512 "
7 , "WMAP3 J0029+0555" , 7.44083 , 5.91139 , "113.12" , "-56.55" , 1.317 , "Blazar Q-type" , 348 , 294 , 1000 , 1400 , 1200 , 0 , "975" , 8.4682 , "PKS0027+056 "
8 , "WMAP3 J0042+5208" , 10.78625 , 52.05944 , "121.63" , "-10.79" , 0.174 , "Misd. NT-AGN RGal-type" , 4124 , 11535 , 900 , 600 , 0 , 0 , "461" , 34.0742 , "3C020 "
9 , "WMAP3 J0047-2515" , 11.88792 , -25.28806 , "97.39" , "-87.97" , 0.001 , "Starburst galaxy" , 2433 , 2994 , 1100 , 0 , 1100 , 0 , "893" , 359.361 , "NGC253 "
10 , "WMAP3 J0049-5740" , 12.4975 , -57.64083 , "303.31" , "-59.49" , 1.797 , "Blazar Q-type" , 1338 , 2111 , 1300 , 1200 , 1000 , 1200 , 900 , 335.5594 , "PKS0047-579 "
11 , "WMAP3 J0051-0927" , 12.67208 , -9.48472 , "122.32" , "-72.36" , 0.537 , "Blazar B-type" , 931 , 814 , 1000 , 900 , 800 , 0 , "650" , 7.1673 , "PKS0048-09 "
12 , "WMAP3 J0050-0647" , 12.78417 , -6.83389 , "122.71" , "-69.71" , 1.975 , "Blazar Q-type" , 841 , 904 , 1000 , 1200 , 800 , 1100 , 1900 , 8.3514 , "PKS0048-71 "
13 , "WMAP3 J0050-4223" , 12.78958 , -42.4425 , "303.12" , "-74.69" , 1.749 , "Blazar Q-type" , 926 , 676 , 1200 , 1200 , 900 , 800 , "718" , 349.9403 , "PKS0048-427 "
14 , "WMAP3 J0106-4035" , 16.68792 , -40.57222 , "290.66" , "-76.2" , 0.584 , "Blazar Q-type" , 2584 , 662 , 1800 , 2000 , 1800 , 1400 , 1300 , 354.6913 , "PKS0104-408 "
15 , "WMAP3 J0108+0135" , 17.15708 , 1.58333 , "131.81" , "-60.99" , 2.099 , "Blazar Q-type" , 2078 , 2621 , 2500 , 2500 , 2300 , 2400 , "2154" , 15.7246 , "PKS0106+01 "
16 , "WMAP3 J0108+1320" , 17.22 , 13.32028 , "129.45" , "-49.33" , 0.059 , "Misd. NT-AGN RGal-type" , 3691 , 1866 , 1400 , 1100 , 1000 , 0 , "812" , 20.2569 , "3C033 "
17 , "WMAP3 J0115-0126" , 18.82125 , -1.45139 , "136.48" , "-63.7" , 1.365 , "Blazar Q-type" , 1540 , 1076 , 1000 , 1200 , 800 , 500 , "448" , 16.1086 , "PKS0112-017 "
18 , "WMAP3 J0116-1137" , 19.05208 , -11.60417 , "144.66" , "-73.43" , 0.67 , "Blazar Unknown-type" , 1488 , 1785 , 1300 , 1100 , 1200 , 1400 , "1256" , 12.2758 , "PKS0113-118 "
19 , "WMAP3 J0121+1150" , 20.42292 , 11.83056 , "134.58" , "-50.36" , 0.57 , "Blazar Q-type" , 1126 , 1184 , 1200 , 1100 , 1200 , 0 , "975" , 22.5955 , "PKS0119+11 "
20 , "WMAP3 J0125-0010" , 21.37 , -0.09889 , "141.15" , "-61.76" , 1.076 , "Blazar Q-type" , 1234 , 1540 , 1200 , 1300 , 1300 , 1200 , "1077" , 19.0116 , "PKS0122-00 "
21 , "WMAP3 J0132-1653" , 23.18083 , -16.91333 , "168.11" , "-76.02" , 1.02 , "Blazar Q-type" , 746 , 830 , 1700 , 1800 , 1900 , 0 , "1544" , 13.9423 , "PKS0130-17 "
22 , "WMAP3 J0137+4752" , 24.24375 , 47.85806 , "130.78" , "-14.32" , 0.859 , "Blazar Q-type" , 2016 , 1138 , 4200 , 4400 , 4200 , 3700 , 2200 , 41.142 , "S40133+47 "
23 , "WMAP3 J0137-2428" , 24.40958 , -24.515 , "201.38" , "-79.29" , 0.837 , "Blazar Q-type" , 956 , 1181 , 1000 , 1100 , 1700 , 1400 , 1000 , 11.55 , "PKS0135-247 "
24 , "WMAP3 J0152+2208" , 28.075 , 22.11861 , "141.05" , "-38.6" , 1.32 , "Blazar Q-type" , 1073 , 1041 , 1200 , 1500 , 1200 , 1400 , "1256" , 33.2275 , "PKS0149+21 "
25 , "WMAP3 J0204+1513" , 31.20958 , 15.23639 , "147.92" , "-44.05" , 0.405 , "Blazar Q-type" , 3073 , 4068 , 1400 , 1600 , 1500 , 1700 , "1525" , 33.6167 , "4C15.05 "
26 , "WMAP3 J0204+3213" , 31.27042 , 32.20833 , "140.57" , "-28.13" , 1.446 , "Blazar Q-type" , 934 , 657 , 1500 , 1400 , 1200 , 700 , "628" , 39.6794 , "1JY0202+319 "
27 , "WMAP3 J0210-5100" , 32.69208 , -51.01722 , "276.1" , "-61.78" , 0.999 , "Blazar Q-type" , 3198 , 3493 , 2600 , 2800 , 2800 , 2600 , 3000 , 359.5661 , "PKS0208-512 "
28 , "WMAP3 J0220+3558" , 35.2725 , 35.93722 , "142.6" , "-23.49" , 0.685 , "Blazar Unknown-type" , 1480 , 1707 , 1100 , 1100 , 1000 , 0 , "812" , 44.364 , "1Jy0218+357 "
29 , "WMAP3 J0222-3441" , 35.735 , -34.69139 , "239.67" , "-69.03" , 1.49 , "Blazar Q-type" , 911 , 683 , 900 , 1000 , 0 , 800 , "718" , 17.0879 , "PKS0220-349 "
30 , "WMAP3 J0223+4304" , 35.7975 , 42.99194 , "140.25" , "-16.78" , 0.021 , "Misd. NT-AGN RGal-type" , 1866 , 1494 , 1800 , 1400 , 1400 , 1200 , 1700 , 47.514 , "3C66B "
31 , "WMAP3 J0231+1318" , 37.94083 , 13.38194 , "157.09" , "-42.74" , 2.059 , "Blazar Q-type" , 2608 , 1560 , 1400 , 1200 , 1300 , 0 , "1056" , 39.1729 , "4C13.14 "
32 , "WMAP3 J0237+2848" , 39.46833 , 28.8025 , "149.46" , "-28.53" , 1.213 , "Blazar Q-type" , 2794 , 2197 , 3500 , 3100 , 3500 , 2900 , 1800 , 45.3918 , "4C28.07 "
33 , "WMAP3 J0238+1636" , 39.66208 , 16.61639 , "156.76" , "-39.11" , 0.94 , "Blazar B-type" , 1935 , 1941 , 1300 , 1400 , 1400 , 1700 , "1525" , 41.7565 , "PKS0235+164 "
34 , "WMAP3 J0253-5441" , 43.37125 , -54.6975 , "272.49" , "-54.62" , 0.539 , "Blazar Q-type" , 1193 , 963 , 2500 , 2800 , 2800 , 2300 , 2500 , 4.656 , "PKS0252-549 "
35 , "WMAP3 J0303-6212" , 45.96083 , -62.19028 , "280.22" , "-48.7" , 0 , "Blazar Unknown-type" , 1862 , 2513 , 1400 , 1400 , 1400 , 1400 , "1256" , 351.5336 , "PKS0302-623 "
36 , "WMAP3 J0308+0404" , 47.10917 , 4.11111 , "174.85" , "-44.52" , 0.028 , "Misd. NT-AGN RGal-type" , 3773 , 5748 , 1300 , 1300 , 1400 , 900 , "807" , 45.1377 , "NGC1218 "
37 , "WMAP3 J0309-6103" , 47.48333 , -60.9775 , "278.11" , "-48.95" , 0 , "Blazar Unknown-type" , 1103 , 992 , 1000 , 1300 , 900 , 1000 , "897" , 355.8375 , "PKS0308-611 "
38 , "WMAP3 J0312-7647" , 47.98 , -76.86417 , "293.43" , "-37.56" , 0.223 , "Blazar Q-type" , 694 , 806 , 1100 , 1200 , 1100 , 1100 , 1200 , 302.4883 , "PKS0312-77 "
39 , "WMAP3 J0319+4131" , 49.95042 , 41.51167 , "150.57" , "-13.26" , 0.017 , "Misd. NT-AGN RGal-type" , 46894 , 22829 , 10800 , 8400 , 7000 , 4800 , 3000 , 57.9088 , "NGC1275 "
40 , "WMAP3 J0322-3711" , 50.67375 , -37.21083 , "240.16" , "-56.7" , 0.006 , "Misd. NT-AGN RGal-type" , 71133 , 255 , 18500 , 12600 , 10500 , 8300 , "7449" , 32.0471 , "NGC1316 "
41 , "WMAP3 J0325+2224" , 51.40333 , 22.4 , "163.66" , "-28.03" , 2.06 , "Blazar Q-type" , 817 , 525 , 1000 , 1200 , 1100 , 0 , "893" , 54.0001 , "GB6J0325+2223 "
42 , "WMAP3 J0329-2353" , 52.475 , -23.9525 , "216.88" , "-54.26" , 0.895 , "Blazar Q-type" , 866 , 683 , 1100 , 1300 , 1200 , 1000 , "897" , 41.427 , "PKS0327-241 "
43 , "WMAP3 J0334-4007" , 53.55667 , -40.14028 , "244.76" , "-54.08" , 0 , "Blazar B-type" , 1331 , 1042 , 1600 , 1700 , 1600 , 1500 , "1346" , 33.4229 , "PKS0332-403 "
44 , "WMAP3 J0336-1258" , 54.14583 , -13.03444 , "201.23" , "-48.97" , 1.303 , "Blazar Q-type" , 534 , 377 , 1000 , 0 , 1200 , 0 , "975" , 47.3443 , "PKS0334-131 "
45 , "WMAP3 J0339-0144" , 54.87875 , -1.77667 , "187.99" , "-42.46" , 0.852 , "Blazar Q-type" , 3014 , 2424 , 2600 , 2600 , 2700 , 1500 , 3400 , 51.3659 , "PKS0336-019 "
46 , "WMAP3 J0340-2121" , 55.14833 , -21.32528 , "213.79" , "-51.19" , 0.223 , "Blazar B-type" , 933 , 1075 , 1100 , 1100 , 1200 , 1400 , "1256" , 45.5808 , "PKS0338-214 "
47 , "WMAP3 J0348-2747" , 57.15875 , -27.80361 , "224.49" , "-50.91" , 0.991 , "Blazar Q-type" , 1444 , 0 , 1100 , 1000 , 800 , 1400 , "1256" , 45.2722 , "PKS0346-279 "
48 , "WMAP3 J0358+1029" , 59.72667 , 10.43417 , "179.83" , "-31.06" , 0.03 , "Misd. NT-AGN RGal-type" , 3132 , 248 , 1200 , 800 , 0 , 0 , "615" , 59.085 , "3C098 "
49 , "WMAP3 J0403-3604" , 60.97375 , -36.08389 , "237.74" , "-48.49" , 1.417 , "Blazar Q-type" , 1851 , 1151 , 4000 , 4600 , 4500 , 4300 , 3900 , 45.8542 , "PKS0402-362 "
50 , "WMAP3 J0405-1305" , 61.39167 , -13.13694 , "205.76" , "-42.66" , 0.57 , "Blazar Q-type" , 2748 , 4218 , 2000 , 2100 , 1800 , 1600 , "1436" , 55.4023 , "PKS0403-13 "
51 , "WMAP3 J0407-3824" , 61.74583 , -38.44111 , "241.28" , "-47.9" , 1.285 , "Blazar Unknown-type" , 830 , 861 , 1100 , 1100 , 1000 , 0 , "812" , 45.4249 , "PKS0405-385 "
52 , "WMAP3 J0408-7503" , 62.20167 , -75.12194 , "288.97" , "-36.13" , 0.693 , "Misd. NT-AGN RGal-type" , 4569 , 20989 , 800 , 400 , 600 , 0 , "487" , 303.5046 , "PKS0410-75 "
53 , "WMAP3 J0411+7655" , 62.69 , 76.94583 , "133.4" , "18.33" , 0.598 , "Misd. NT-AGN RGal-type" , 5620 , 5620 , 1000 , 700 , 800 , 0 , "650" , 79.0269 , "4C76.03 "
54 , "WMAP3 J0423+0219" , 65.7175 , 2.32417 , "191.59" , "-31.23" , 0 , "Blazar Q-type" , 1222 , 677 , 1200 , 1000 , 0 , 0 , "769" , 63.5475 , "PKS0420+022 "
55 , "WMAP3 J0423-0120" , 65.81542 , -1.3425 , "195.28" , "-33.14" , 0.914 , "Blazar Q-type" , 4357 , 2726 , 10000 , 10400 , 10100 , 9400 , 6400 , 62.9652 , "PKS0420-01 "
56 , "WMAP3 J0424-3757" , 66.17583 , -37.93889 , "240.65" , "-44.41" , 0.782 , "Blazar Q-type" , 1706 , 473 , 1600 , 1200 , 1300 , 1400 , 800 , 51.9423 , "PKS0422-380 "
57 , "WMAP3 J0424+0036" , 66.195 , 0.60167 , "193.58" , "-31.78" , 0.31 , "Blazar B-type" , 583 , 493 , 1600 , 1800 , 1800 , 1400 , "1256" , 63.7318 , "PKS0422+004 "
58 , "WMAP3 J0428-3757" , 67.16833 , -37.93889 , "240.7" , "-43.62" , 1.11 , "Blazar B-type" , 1202 , 737 , 2200 , 1500 , 1300 , 1300 , 1700 , 53.369 , "PKS0426-380 "
59 , "WMAP3 J0433+0521" , 68.29583 , 5.35417 , "190.37" , "-27.4" , 0.033 , "Blazar Q-type" , 5189 , 3439 , 2500 , 2700 , 2600 , 2500 , 3400 , 66.7306 , "3C120 "
60 , "WMAP3 J0440-4333" , 70.07125 , -43.5525 , "248.4" , "-41.57" , 2.863 , "Blazar Q-type" , 3933 , 6361 , 3000 , 2900 , 2800 , 2200 , "1974" , 54.1607 , "PKS0438-43 "
61 , "WMAP3 J0442-0018" , 70.66083 , -0.29528 , "197.19" , "-28.47" , 0.844 , "Blazar Q-type" , 1084 , 1773 , 1000 , 1000 , 1200 , 0 , "975" , 68.3222 , "PKS0440-00 "
62 , "WMAP3 J0449-8100" , 72.5225 , -81.01722 , "293.85" , "-31.38" , 0.444 , "Blazar Q-type" , 1357 , 821 , 1800 , 1800 , 1700 , 1700 , 1200 , 279.6651 , "PKS0454-81 "
63 , "WMAP3 J0453-2806" , 73.31083 , -28.12694 , "229.01" , "-37.02" , 2.559 , "Blazar Q-type" , 2172 , 2541 , 1500 , 1600 , 0 , 1300 , 1000 , 65.9797 , "PKS0451-28 "
64 , "WMAP3 J0455-4617" , 73.96125 , -46.26639 , "251.96" , "-38.82" , 0.853 , "Blazar Q-type" , 1653 , 2753 , 3700 , 4100 , 4000 , 3800 , 1800 , 58.6317 , "PKS0454-46 "
65 , "WMAP3 J0457-2322" , 74.26292 , -23.41444 , "223.7" , "-34.9" , 1.003 , "Blazar Q-type" , 1863 , 1727 , 2700 , 2700 , 2600 , 2200 , 1600 , 68.4152 , "PKS0454-234 "
