_id , wmap5_name , RA , Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
1 , "WMAP5 J0003-4752" , 1.14833 , -47.605 , "323.94" , "-67.57" , 0.88 , "Blazar Q-type" , 0 , 0 , 0 , 700 , 700 , 400 , "359" , 336.2034 , " "
2 , "WMAP5 J0006-0623" , 1.5575 , -6.39306 , "93.5" , "-66.65" , 0.347 , "Blazar Q-type" , 2463 , 2051 , 2300 , 2300 , 2300 , 2000 , "1795" , 358.1514 , "PKS0003-066 "
3 , "WMAP5 J0010+1101" , 2.62875 , 10.97917 , "106.98" , "-50.62" , 0.0891 , "Blazar Q-type" , 435 , 0 , 1100 , 1200 , 1200 , 1000 , 1600 , 6.1517 , "III ZW 2 "
4 , "WMAP5 J0012-3952" , 3.24958 , -39.90694 , "332.46" , "-74.95" , 0 , "Blazar B-type" , 921 , 494 , 1300 , 1300 , 1000 , 1300 , 800 , 343.587 , "PKS0010-401 "
5 , "WMAP5 J0019+2020" , 4.9075 , 20.3625 , "112.89" , "-41.89" , 0 , "Blazar B-type" , 710 , 983 , 1000 , 1100 , 900 , 1300 , "1166" , 12.0907 , "PKS0017+200 "
6 , "WMAP5 J0019+2603" , 4.91333 , 26.04583 , "114.06" , "-36.28" , 0.284 , "Blazar Q-type" , 435 , 684 , 1000 , 700 , 800 , 500 , 1400 , 14.552 , "4C25.01 "
7 , "WMAP5 J0025-2602" , 6.45458 , -26.03694 , "42.29" , "-84.17" , 0.322 , "Misd. NT-AGN RGal-type" , 3745 , 8753 , 900 , 700 , 500 , 0 , "406" , 353.949 , "PKS0023-26 "
8 , "WMAP5 J0026-3510" , 6.56833 , -35.21361 , "335" , "-80.3" , 0 , "Unidentified " , 121 , 0 , 1100 , 1100 , 1400 , 1000 , "897" , 349.2485 , "PMNJ0026-3512 "
9 , "WMAP5 J0029+0554" , 7.44083 , 5.91139 , "113.12" , "-56.55" , 1.317 , "Blazar Q-type" , 348 , 294 , 1100 , 1300 , 1000 , 700 , "628" , 8.4271 , "PKS0027+056 "
10 , "WMAP5 J0038-2459" , 9.56042 , -24.985 , "68.09" , "-86.35" , 1.196 , "Blazar Q-type" , 440 , 412 , 700 , 800 , 600 , 1100 , "987" , 357.3792 , " "
11 , "WMAP5 J0043+5208" , 10.78625 , 52.05944 , "121.63" , "-10.79" , 0.174 , "Misd. NT-AGN RGal-type" , 4124 , 11535 , 1000 , 600 , 500 , 500 , "448" , 34.1475 , "3C020 "
12 , "WMAP5 J0047-2514" , 11.88792 , -25.28806 , "97.39" , "-87.97" , 0.001 , "Starburst galaxy" , 2433 , 2994 , 1100 , 900 , 1100 , 1000 , 900 , 359.3303 , "NGC253 "
13 , "WMAP5 J0049-5739" , 12.4975 , -57.64083 , "303.31" , "-59.49" , 1.797 , "Blazar Q-type" , 1338 , 0 , 1400 , 1400 , 1200 , 1200 , 800 , 335.5049 , "PKS0047-579 "
14 , "WMAP5 J0051-0927" , 12.67208 , -9.48472 , "122.32" , "-72.36" , 0.537 , "Blazar B-type" , 931 , 814 , 1000 , 1000 , 800 , 1100 , "987" , 7.259 , "PKS0048-09 "
15 , "WMAP5 J0050-0649" , 12.78417 , -6.83389 , "122.71" , "-69.71" , 1.975 , "Blazar Q-type" , 841 , 904 , 1100 , 1100 , 700 , 1300 , 1200 , 8.2832 , "PKS0048-71 "
16 , "WMAP5 J0050-4224" , 12.78958 , -42.4425 , "303.12" , "-74.69" , 1.749 , "Blazar Q-type" , 926 , 0 , 1300 , 1300 , 1200 , 700 , 800 , 349.8914 , "PKS0048-427 "
17 , "WMAP5 J0100-5654" , 15.03625 , -56.915 , "300.54" , "-60.18" , 0 , "Unidentified " , 0 , 0 , 500 , 700 , 800 , 500 , "448" , 338.1997 , " "
18 , "WMAP5 J0106-4035" , 16.68792 , -40.57222 , "290.66" , "-76.2" , 0.584 , "Blazar Q-type" , 2584 , 0 , 2200 , 2400 , 2200 , 2000 , 1500 , 354.6753 , "PKS0104-408 "
19 , "WMAP5 J0108+0135" , 17.15708 , 1.58333 , "131.81" , "-60.99" , 2.099 , "Blazar Q-type" , 2078 , 2621 , 1900 , 1900 , 1700 , 1500 , "1346" , 15.7513 , "PKS0106+01 "
20 , "WMAP5 J0108+1319" , 17.22 , 13.32028 , "129.45" , "-49.33" , 0.059 , "Misd. NT-AGN RGal-type" , 3691 , 1866 , 1400 , 1100 , 800 , 0 , "650" , 20.1758 , "3C033 "
21 , "WMAP5 J0115-0129" , 18.82125 , -1.45139 , "136.48" , "-63.7" , 1.365 , "Blazar Q-type" , 1540 , 1076 , 900 , 1200 , 1000 , 1100 , "987" , 16.1083 , "PKS0112-017 "
22 , "WMAP5 J0116-1137" , 19.05208 , -11.60417 , "144.66" , "-73.43" , 0.67 , "Blazar Unknown-type" , 1488 , 1785 , 1300 , 1000 , 1000 , 1500 , "1346" , 12.2943 , "PKS0113-118 "
