_id , RA, Dec,xrtgrbdeep_cat_name  , Target Name , Exposure(s) , CountRate0.3-3keV(counts/s) , CountRate2-10keV(counts/s) , CountRate0.3-10keV(counts/s) , Flux0.5-2keV(erg/cm2/s) , Flux2-10keV(erg/cm2/s) , Flux0.5-10keV(erg/cm2/s) , HR , Start_date , End_date , Prob0.3-3KeV , Prob2-10KeV , Prob0.3-10KeV , SNR_soft , SNR_hard , SNR_full , OffaxisAngle(arcmin) , Error_rad90per(arcsec), other_name 
1 , 0.6445 , -53.0195 , "SWIFTFTJ000234.67-5301.1" , "GRB070110 " , "330058" , "1.1e-3" , "2.4e-4" , "1.2e-3" , "1.7e-14" , "2.0e-14" , "4.5e-14" , -0.63 , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "0.0e+0" , "0.0e+0" , "0.0e+0" , "13.8" , "5.7" , "13.0" , 9.1 , 3.9 ,'---'
2 , 0.65908 , -52.93172 , "SWIFTFTJ000238.17-5255.9" , "GRB070110 " , "330058" , "6.0e-4" , "<6.7e-4" , "6.3e-4" , "9.5e-15" , "< 5.4e-14" , "2.3e-14" , "-" , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "0.0e+0" , "-" , "0.0e+0" , "10.0" , "-" , "9.9" , 8.5 , 4.1 ,'---'
3 , 0.66325 , -53.02769 , "SWIFTFTJ000239.18-5301.6" , "GRB070110 " , "330058" , "3.8e-4" , "1.3e-4" , "4.3e-4" , "6.1e-15" , "1.1e-14" , "1.6e-14" , -0.49 , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "0.0e+0" , "3.6e-8" , "0.0e+0" , "7.1" , "3.9" , "7.8" , 8.6 , 4.3 ,'---'
4 , 0.68113 , -52.98972 , "SWIFTFTJ000243.47-5259.3" , "GRB070110 " , "330058" , "<2.1e-4" , "1.3e-4" , "1.4e-4" , "< 3.3e-15" , "1.0e-14" , "5.0e-15" , "-" , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "-" , "2.5e-8" , "2.6e-6" , "-" , "3.9" , "3.5" , 7.4 , 5.8 ,'---'
5 , 0.72029 , -52.99186 , "SWIFTFTJ000252.86-5259.5" , "GRB070110 " , "330058" , "1.4e-4" , "<4.4e-4" , "1.7e-4" , "2.2e-15" , "< 3.6e-14" , "6.4e-15" , "-" , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "1.3e-8" , "-" , "4.7e-9" , "3.9" , "-" , "4.2" , 6 , 5.2 ,'---'
6 , 0.73104 , -52.89772 , "SWIFTFTJ000255.44-5253.8" , "GRB070110 " , "330058" , "1.8e-4" , "1.4e-4" , "2.6e-4" , "2.9e-15" , "1.2e-14" , "9.4e-15" , -0.11 , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "5.8e-13" , "5.5e-11" , "0.0e+0" , "4.7" , "4.4" , "5.8" , 7.1 , 4.7 ,'---'
7 , 0.74192 , -53.022 , "SWIFTFTJ000258.06-5301.3" , "GRB070110 " , "330058" , "8.8e-5" , "<4.1e-4" , "1.4e-4" , "1.4e-15" , "< 3.3e-14" , "5.1e-15" , "-" , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "3.9e-5" , "-" , "4.4e-7" , "3.0" , "-" , "3.7" , 5.9 , 5.3 ,'---'
8 , 0.75388 , -52.99858 , "SWIFTFTJ000300.93-5259.9" , "GRB070110 " , "330058" , "1.5e-4" , "<1.9e-4" , "1.6e-4" , "2.4e-15" , "< 1.5e-14" , "5.9e-15" , "-" , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "8.6e-10" , "-" , "2.0e-8" , "4.2" , "-" , "4.1" , 4.9 , 5.3 ,'---'
9 , 0.76254 , -53.01767 , "SWIFTFTJ000303.0-5301.0" , "GRB070110 " , "330058" , "<5.3e-4" , "7.2e-5" , "1.3e-4" , "< 8.5e-15" , "5.8e-15" , "4.7e-15" , "-" , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "-" , "1.6e-4" , "1.8e-6" , "-" , "2.8" , "3.5" , 5.1 , 5.6 ,'---'
10 , 0.77854 , -52.82889 , "SWIFTFTJ000306.84-5249.7" , "GRB070110 " , "330058" , "6.3e-4" , "2.4e-4" , "7.9e-4" , "1.0e-14" , "2.0e-14" , "2.9e-14" , -0.44 , "2007-01-10 07:27:08 " , "2007-02-05 23:59:58 " , "0.0e+0" , "0.0e+0" , "0.0e+0" , "9.0" , "5.2" , "10.1" , 9.4 , 4.1 ,'---'
